topology,architecture,mean_mcc,mean_recall,mean_frr,mean_latency_p95_ms,mean_bytes_per_decision,mean_pdr,mean_consensus_success,mean_cpu_time_seconds,mean_peak_memory_kb,ledger_consistency_rate
smoke,ahmed_inspired_witness_vpuft,0.8469294750808704,0.8960000000000001,0.0300751879699248,14778.181223480246,143574.99746835444,0.9800567055850172,1.0,5.6078125,18081.74404296875,1.0
smoke,centralized_vpuft,0.8144092736351979,0.784,0.0157894736842105,14158.415214171022,24004.17215189873,0.9802548346934769,,1.4828125,4822.65771484375,1.0
smoke,distributed_rsu_vpuft,0.8144092736351979,0.784,0.0157894736842105,14310.454327710477,20791.230379746838,0.9803636292461176,1.0,1.45,4712.5125,1.0
corridor,ahmed_inspired_witness_vpuft,0.8607596270365544,0.92,0.0308270676691729,14894.107455132116,162256.06582278482,0.979946932075202,1.0,4.821875,19482.424609375,1.0
corridor,centralized_vpuft,0.8643491620892586,0.86,0.0157894736842105,14201.3856580029,30905.15443037975,0.9801065839584064,,1.621875,6169.07568359375,1.0
corridor,distributed_rsu_vpuft,0.8643491620892586,0.86,0.0157894736842105,14404.385400489478,29354.12658227848,0.9803178851639316,1.0,1.6640625,6155.88564453125,1.0
intersection,ahmed_inspired_witness_vpuft,0.8312433481915159,0.8824615384615384,0.0361897940071342,14562.769669830936,120612.42633368033,0.9802481236360536,1.0,4.16875,13026.36806640625,1.0
intersection,centralized_vpuft,0.8056887320424053,0.7724615384615385,0.0171117707268569,14226.235646694326,52904.59489626612,0.979849763892838,,3.128125,9428.36337890625,1.0
intersection,distributed_rsu_vpuft,0.8056887320424053,0.7724615384615385,0.0171117707268569,14356.040731109137,46526.37490105008,0.980180792511535,1.0,3.3453125,9233.3001953125,1.0
grid,ahmed_inspired_witness_vpuft,0.8507345849995908,0.8774581939799331,0.026631973909575,14495.937571873768,74737.64239551731,0.9808340376061662,1.0,2.353125,7872.71279296875,1.0
grid,centralized_vpuft,0.8367422828546005,0.8197753623188406,0.0172781040686147,14149.362470276985,27505.241294209874,0.9802768575323144,,1.6328125,4942.46865234375,1.0
grid,distributed_rsu_vpuft,0.8367422828546005,0.8197753623188406,0.0172781040686147,14355.52159826362,26445.00094437546,0.9803768380388572,1.0,1.640625,4948.526953125,1.0
