factor,delta,alpha_C,alpha_rho,alpha_F,alpha_Q,alpha_eta,TP,FP,TN,FN,recall,frr,precision,specificity,f1,mcc,balanced_accuracy
C,-0.15,0.21526738617532112,0.20022523742803586,0.07875998256560764,0.502056659536538,0.003690734294497358,329,47,1932,73,0.818407960199005,0.023749368367862556,0.875,0.9762506316321374,0.8457583547557841,0.8163293214245705,0.8973292959155712
C,-0.1,0.2652673861753211,0.18746769212530115,0.07374171384718761,0.4700676322747818,0.003455575577408411,333,47,1932,69,0.8283582089552238,0.023749368367862556,0.8763157894736842,0.9762506316321374,0.8516624040920715,0.823010509606513,0.9023044202936806
C,-0.05,0.31526738617532113,0.1747101468225664,0.06872344512876756,0.43807860501302553,0.0032204168603194635,333,47,1932,69,0.8283582089552238,0.023749368367862556,0.8763157894736842,0.9762506316321374,0.8516624040920715,0.823010509606513,0.9023044202936806
C,0.05,0.4152673861753211,0.1491950562170969,0.05868690769192747,0.374100550489513,0.0027500994261415684,337,47,1932,65,0.8383084577114428,0.023749368367862556,0.8776041666666666,0.9762506316321374,0.857506361323155,0.8296671085385663,0.9072795446717901
C,0.1,0.46526738617532115,0.13643751091436213,0.053668638973507425,0.34211152322775673,0.0025149407090526207,336,47,1932,66,0.835820895522388,0.023749368367862556,0.8772845953002611,0.9762506316321374,0.8560509554140127,0.8280052267183716,0.9060357635772627
C,0.15,0.5152673861753211,0.12367996561162739,0.04865037025508739,0.3101224959660005,0.002279781991963674,332,47,1932,70,0.8258706467661692,0.023749368367862556,0.8759894459102903,0.9762506316321374,0.8501920614596672,0.8213425446618425,0.9010606391991534
rho,-0.15,0.430645678650976,0.01195260151983163,0.07510760600905744,0.4787745318161101,0.003519582004024857,338,47,1932,64,0.8407960199004975,0.023749368367862556,0.8779220779220779,0.9762506316321374,0.8589580686149936,0.8313274959042976,0.9085233257663174
rho,-0.1,0.4088529144924244,0.06195260151983162,0.0713067961428208,0.45454621379449656,0.0033414740504267436,337,47,1932,65,0.8383084577114428,0.023749368367862556,0.8776041666666666,0.9762506316321374,0.857506361323155,0.8296671085385663,0.9072795446717901
rho,-0.05,0.38706015033387275,0.11195260151983162,0.06750598627658416,0.4303178957728829,0.0031633660968286297,337,47,1932,65,0.8383084577114428,0.023749368367862556,0.8776041666666666,0.9762506316321374,0.857506361323155,0.8296671085385663,0.9072795446717901
rho,0.05,0.3434746220167695,0.21195260151983164,0.059904366544110875,0.3818612597296557,0.0028071501896324022,333,47,1932,69,0.8283582089552238,0.023749368367862556,0.8763157894736842,0.9762506316321374,0.8516624040920715,0.823010509606513,0.9023044202936806
rho,0.1,0.32168185785821785,0.26195260151983163,0.05610355667787423,0.35763294170804205,0.0026290422360342883,333,47,1932,69,0.8283582089552238,0.023749368367862556,0.8763157894736842,0.9762506316321374,0.8516624040920715,0.823010509606513,0.9023044202936806
rho,0.15,0.2998890936996662,0.3119526015198316,0.05230274681163759,0.3334046236864285,0.002450934282436175,329,47,1932,73,0.818407960199005,0.023749368367862556,0.875,0.9762506316321374,0.8457583547557841,0.8163293214245705,0.8973292959155712
F,-0.15,0.3897299329180853,0.17279882878987202,0.001,0.43328605258990066,0.003185185702141955,335,47,1932,67,0.8333333333333334,0.023749368367862556,0.8769633507853403,0.9762506316321374,0.8545918367346937,0.8263418399892304,0.9047919824827354
F,-0.1,0.3897299329180853,0.17279882878987202,0.001,0.43328605258990066,0.003185185702141955,335,47,1932,67,0.8333333333333334,0.023749368367862556,0.8769633507853403,0.9762506316321374,0.8545918367346937,0.8263418399892304,0.9047919824827354
F,-0.05,0.3847733888238739,0.1706011915493547,0.013705176410347505,0.42777556636938235,0.0031446768470414243,335,47,1932,67,0.8333333333333334,0.023749368367862556,0.8769633507853403,0.9762506316321374,0.8545918367346937,0.8263418399892304,0.9047919824827354
