architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,seed,topology,cpu_time_seconds,peak_memory_kb,fault_activated_count,semantic_invalid_proposals,validator_recheck_failures,evidence_guard_checks,evidence_guard_rejections
distributed_extension_honest,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14414.250038141505,195.8370064026269,14204.249613899294,14475.902996560875,14583.074522099616,15.953300453148245,4272,27.037974683544306,5368896,33980.354430379746,90,4363.784975443892,0.9789325842696628,1.0,0,0,0,21,1,0,0,2.414211900002556,1001,smoke,2.375,4669.033203125,0,0,0,0,0
distributed_extension_false_accusation_rsu,19,3,130,6,0.8636363636363636,0.76,0.0225563909774436,0.24,0.9774436090225564,0.8085106382978724,0.7773987651228131,8000.0,14401.121760604286,181.244011502616,14198.363093102382,14468.380038893092,14571.26477003103,15.790236521474911,4854,30.72151898734177,5935552,37566.78481012658,105,4598.729227398557,0.9783683559950556,1.0,0,0,0,22,1,0,0,2.502686499996344,1001,smoke,2.484375,5146.0859375,0,0,0,0,0
distributed_extension_concealment_rsu,14,2,131,11,0.875,0.56,0.0150375939849624,0.44,0.9849624060150376,0.6829268292682927,0.6592622449481736,8000.0,14220.72011567688,170.570429032729,14152.385739202007,14291.614420939655,14312.897396541666,16.47855500553419,4195,26.550632911392405,4240896,26841.113924050635,88,4632.3751322571925,0.9790226460071514,1.0,0,0,0,16,1,0,0,1.8911479000089455,1001,smoke,1.890625,4631.58203125,0,0,0,0,0
distributed_extension_malicious_validator,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14660.69422253402,400.7189303831993,14397.252784517466,14821.29114523646,14890.907412163946,15.799710631597463,4308,27.26582278481013,5364352,33951.59493670886,90,4375.174710224245,0.979108635097493,1.0,0,0,12,21,1,0,0,2.40916890000517,1001,smoke,2.375,4603.28125,12,12,0,0,0
distributed_extension_guard_honest,11,2,131,14,0.8461538461538461,0.44,0.0150375939849624,0.56,0.9849624060150376,0.5789473684210525,0.5644047495599777,8000.0,14259.986798766644,145.53556897411528,14149.222241560596,14348.248660559506,14410.740426575312,16.232344672525297,3987,25.234177215189877,4190336,26521.113924050635,85,4616.596180071562,0.9786807123150238,1.0,0,0,0,13,1,0,0,1.9112888000090609,1001,smoke,1.890625,4502.9306640625,0,0,0,25,8
distributed_extension_guard_false_accusation_rsu,11,2,131,14,0.8461538461538461,0.44,0.0150375939849624,0.56,0.9849624060150376,0.5789473684210525,0.5644047495599777,8000.0,14245.596339288306,177.99031719524123,14129.260507247978,14383.90108038862,14458.050850563935,16.10096357316024,4530,28.670886075949365,4713728,29833.721518987342,96,4880.72182871447,0.9788079470198676,1.0,0,0,0,13,1,0,0,2.0551745999982813,1001,smoke,2.015625,5014.8271484375,0,0,0,26,9
distributed_extension_honest,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14445.80573768136,183.07582222784905,14191.653192259591,14502.09713475907,14605.516705517875,14.803563378826825,4252,26.91139240506329,5321280,33678.987341772154,95,4255.157168901546,0.9776575729068674,1.0,0,0,0,21,1,0,0,2.35667320000357,1002,smoke,2.34375,4624.5302734375,0,0,0,0,0
distributed_extension_false_accusation_rsu,19,3,130,6,0.8636363636363636,0.76,0.0225563909774436,0.24,0.9774436090225564,0.8085106382978724,0.7773987651228131,8000.0,14427.669075951206,179.58625464393236,14193.478791862148,14488.229994525662,14578.998536840953,14.428439995555918,4837,30.61392405063291,5811136,36779.3417721519,113,4474.114851170081,0.9766384122389912,1.0,0,0,0,22,1,0,0,2.595348999995622,1002,smoke,2.5625,5454.09375,0,0,0,0,0
distributed_extension_concealment_rsu,13,2,131,12,0.8666666666666667,0.52,0.0150375939849624,0.48,0.9849624060150376,0.65,0.6286967612254791,8000.0,14225.872252331495,177.69102530739855,14145.943396160705,14332.45516215958,14388.686574098072,15.086455480104274,4142,26.21518987341772,4330240,27406.58227848101,95,4550.0558791280255,0.9770642201834864,1.0,0,0,0,15,1,0,0,1.921501899996656,1002,smoke,1.890625,4753.6337890625,0,0,0,0,0
distributed_extension_malicious_validator,19,2,131,6,0.9047619047619048,0.76,0.0150375939849624,0.24,0.9849624060150376,0.8260869565217391,0.8008667271573939,8000.0,14672.239117183295,309.33952095780626,14326.244257901792,14851.67711608679,14992.220308305838,15.483199526912015,4282,27.10126582278481,5362912,33942.48101265823,95,4267.317665081101,0.9778141055581504,1.0,0,0,10,21,1,0,0,2.381344399997033,1002,smoke,2.34375,4720.3115234375,10,10,0,0,0
distributed_extension_guard_honest,9,2,131,16,0.8181818181818182,0.36,0.0150375939849624,0.64,0.9849624060150376,0.5,0.4946665948008856,8000.0,14190.277862943656,110.33634621854917,14129.38833258763,14273.94727680702,14321.093383094094,16.39676795009848,3895,24.651898734177216,3743776,23694.78481012658,88,4596.809810259075,0.9774069319640564,1.0,0,0,0,11,1,0,0,1.7454871999943862,1002,smoke,1.75,4523.060546875,0,0,0,23,10
distributed_extension_guard_false_accusation_rsu,9,2,131,16,0.8181818181818182,0.36,0.0150375939849624,0.64,0.9849624060150376,0.5,0.4946665948008856,8000.0,14209.825106364337,114.73419426625142,14133.5488333944,14305.360185841508,14345.918565786522,14.24097780370559,4443,28.120253164556964,4144160,26228.86075949367,104,4832.224903903972,0.9765923925275716,1.0,0,0,0,11,1,0,0,1.8569922000024237,1002,smoke,1.84375,5031.177734375,0,0,0,24,11
