topology,architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,seed,cpu_time_seconds,peak_memory_kb,fault_activated_count,semantic_invalid_proposals,validator_recheck_failures,evidence_guard_checks,evidence_guard_rejections
corridor,distributed_extension_concealment_rsu,15.7,2.1,130.9,9.3,0.8822497420020639,0.628,0.01578947368421052,0.372,0.9842105263157895,0.7335246149199637,0.7066917603967281,8000.0,14356.852380664917,123.12462509440039,14193.788051742109,14484.895833289429,14547.485958583016,15.116401024921888,5548.7,35.118354430379746,6402496.0,40522.12658227848,109.3,4774.734664601847,0.9802987876259024,1.0,0.0,0.0,0.0,17.8,1.0,0.0,0.0,2.7924121599993668,1005.5,2.7375,5991.228125,0.0,0.0,0.0,0.0,0.0
corridor,distributed_extension_false_accusation_rsu,21.5,3.8,129.2,3.5,0.8508521108521109,0.86,0.02857142857142856,0.13999999999999999,0.9714285714285715,0.8548198068097943,0.8277763294562795,8000.0,14561.956731386472,127.44954456738142,14239.016276180166,14665.75526983532,14723.108065014545,15.679310492302694,6256.0,39.59493670886076,8325347.2,52692.07088607595,122.1,4696.141328507115,0.9804738794029022,1.0,0.0,0.0,0.0,25.3,1.0,0.0,0.0,3.6176421100011793,1005.5,3.55,6496.8693359375,0.0,0.0,0.0,0.0,0.0
corridor,distributed_extension_guard_false_accusation_rsu,18.1,2.1,130.9,6.9,0.8960469355206196,0.724,0.01578947368421052,0.276,0.9842105263157895,0.8005214027415691,0.7739189591132554,8000.0,14392.629910289936,126.95888464562384,14223.15500151852,14507.976127503867,14550.772651973286,15.166377354451583,6074.5,38.44620253164557,7153750.4,45276.90126582279,119.1,4817.810895843099,0.9803902778184241,1.0,0.0,0.0,0.0,20.2,1.0,0.0,0.0,3.2011886799999045,1005.5,3.1484375,6426.5572265625,0.0,0.0,0.0,55.9,5.1
corridor,distributed_extension_guard_honest,18.1,2.1,130.9,6.9,0.8960469355206196,0.724,0.01578947368421052,0.276,0.9842105263157895,0.8005214027415691,0.7739189591132554,8000.0,14395.45033948012,128.82623242855945,14225.31556497057,14511.458770308911,14545.060917908195,15.853322037951099,5532.2,35.01392405063291,6746534.4,42699.58481012659,108.8,4783.341858895131,0.9803280412878186,1.0,0.0,0.0,0.0,20.2,1.0,0.0,0.0,2.9912970400007906,1005.5,2.94375,5890.33896484375,0.0,0.0,0.0,51.2,3.4
corridor,distributed_extension_honest,21.5,2.1,130.9,3.5,0.911155467720685,0.86,0.01578947368421052,0.13999999999999999,0.9842105263157895,0.8845859748154581,0.8643491620892586,8000.0,14571.4021572698,128.64790385871123,14242.923313337593,14678.836941224794,14735.531443408185,15.513010848861128,5653.3,35.78037974683544,7764000.0,49139.240506329115,110.9,4698.613590969079,0.9803738713239966,1.0,0.0,0.0,0.0,23.6,1.0,0.0,0.0,3.3094210500014016,1005.5,3.225,5954.43642578125,0.0,0.0,0.0,0.0,0.0
corridor,distributed_extension_malicious_validator,21.5,2.1,130.9,3.5,0.911155467720685,0.86,0.01578947368421052,0.13999999999999999,0.9842105263157895,0.8845859748154581,0.8643491620892586,8000.0,14672.217218029395,196.29723404939818,14324.388712813088,14815.323325294827,14909.613332137673,15.796464036269489,5669.0,35.87974683544304,7785936.0,49278.07594936709,111.3,4723.896550067975,0.9803570430652343,1.0,0.0,0.0,5.1,23.6,1.0,0.0,0.0,3.334821670000383,1005.5,3.2921875,5943.83173828125,5.1,5.1,0.0,0.0,0.0
grid,distributed_extension_concealment_rsu,14.4,2.0,113.8,10.6,0.8775816993464052,0.5759593088071349,0.01727810406861475,0.4240406911928651,0.9827218959313851,0.695025259293552,0.6651603526229037,8039.9999999999945,14294.998927618613,127.76593796124769,14167.352915633823,14402.970772493418,14469.302307208007,15.300385727297208,4175.3,29.652592800853387,4876793.6,34628.13210103831,81.5,4271.178813328359,0.980484821813229,1.0,0.0,0.0,0.0,16.4,1.0,0.0,0.0,2.2352204199982224,1005.5,2.209375,4756.5728515625,0.0,0.0,0.0,0.0,0.0
grid,distributed_extension_false_accusation_rsu,20.5,2.5,113.3,4.5,0.8912635046113306,0.8197753623188406,0.02154618020288894,0.1802246376811594,0.9784538197971111,0.853375268948159,0.8250024296034052,8039.9999999999945,14439.511792956091,208.33867923619223,14224.485688125755,14534.47726346158,14600.397637245671,15.785035502433809,4782.6,33.96517570765549,6377171.2,45286.38588275671,94.6,4131.903266227345,0.9802123073478516,1.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,2.807134909997694,1005.5,2.765625,5199.70498046875,0.0,0.0,0.0,0.0,0.0
grid,distributed_extension_guard_false_accusation_rsu,13.5,2.0,113.8,11.5,0.8703011204481793,0.5397251950947604,0.01727810406861475,0.4602748049052397,0.9827218959313851,0.6657407652926655,0.6375576833273493,8039.9999999999945,14360.640711721213,115.108947641438,14161.590178435592,14461.889160009101,14533.06338533118,15.840365489084059,4514.2,32.061014428661444,5023897.6,35684.345645867244,88.7,4235.936994074776,0.9803386108755058,1.0,0.0,0.0,0.0,15.5,1.0,0.0,0.0,2.3028487099974884,1005.5,2.2578125,5104.63056640625,0.0,0.0,0.0,42.5,7.5
grid,distributed_extension_guard_honest,13.5,2.0,113.8,11.5,0.8703011204481793,0.5397251950947604,0.01727810406861475,0.4602748049052397,0.9827218959313851,0.6657407652926655,0.6375576833273493,8039.9999999999945,14368.265513014116,110.71997877628398,14161.77575188409,14467.011078593587,14536.54622781114,15.154296601434627,4041.6,28.704601468782293,4663168.0,33119.12460599193,79.3,4225.532179400262,0.9803738537466075,1.0,0.0,0.0,0.0,15.5,1.0,0.0,0.0,2.196491620001325,1005.5,2.1640625,4628.41689453125,0.0,0.0,0.0,41.7,7.0
