seed,vehicle_count,ttl_seconds,interactions,cache_hits,cache_misses,cache_hit_rate,v2i_queries,v2i_queries_avoided,query_failures,accepted,rejected,anomaly_escalations,stale_trust_acceptances,stale_acceptance_rate,authorization_latency_mean_ms,authorization_latency_p95_ms,messages_total,bytes_total,cache_entries_final,cache_entries_peak,messages_per_interaction,bytes_per_interaction,queries_per_interaction
1001,20,0.0,240,0,240,0.0,240,0,0,227,13,6,0,0.0,16.956449928966904,24.130610030185547,489,342912,57,57,2.0375,1428.8,1.0
1001,20,1.0,240,20,220,0.08333333333333333,220,20,0,228,12,5,0,0.0,15.532724816002476,23.96407954727815,448,314496,60,60,1.8666666666666667,1310.4,0.9166666666666666
1001,20,2.0,240,25,215,0.10416666666666667,215,25,0,229,11,4,1,0.004166666666666667,15.160292016804354,23.96407954727815,438,307456,57,57,1.825,1281.0666666666666,0.8958333333333334
1001,20,5.0,240,54,186,0.225,186,54,0,227,13,4,1,0.004166666666666667,13.159671554262115,23.4959703039717,379,265472,59,59,1.5791666666666666,1106.1333333333334,0.775
1001,20,10.0,240,89,151,0.37083333333333335,151,89,0,231,9,4,3,0.0125,10.950814373740231,23.405268647063686,307,215680,59,59,1.2791666666666666,898.6666666666666,0.6291666666666667
1001,20,30.0,240,145,95,0.6041666666666666,95,145,0,226,14,2,6,0.025,7.135894206782201,22.78194248637355,194,136576,59,59,0.8083333333333333,569.0666666666667,0.3958333333333333
1001,40,0.0,480,0,480,0.0,480,0,0,454,26,11,0,0.0,16.885801744984466,23.933243315790875,975,685952,119,119,2.03125,1429.0666666666666,1.0
1001,40,1.0,480,22,458,0.04583333333333333,458,22,0,444,36,10,0,0.0,16.20697740117225,23.853112197522726,931,654976,117,117,1.9395833333333334,1364.5333333333333,0.9541666666666667
1001,40,2.0,480,36,444,0.075,444,36,0,450,30,10,0,0.0,15.678243349147682,23.753734579231796,902,635008,115,115,1.8791666666666667,1322.9333333333334,0.925
1001,40,5.0,480,57,423,0.11875,423,57,0,456,24,9,0,0.0,14.938964975219722,23.73372333784305,859,604288,118,118,1.7895833333333333,1258.9333333333334,0.88125
1001,40,10.0,480,114,366,0.2375,366,114,0,452,28,9,0,0.0,12.983329332531826,23.391860058489296,744,523776,117,117,1.55,1091.2,0.7625
1001,40,30.0,480,221,259,0.46041666666666664,259,221,0,454,26,12,2,0.004166666666666667,9.282185807092336,22.77252101837135,528,370816,118,118,1.1,772.5333333333333,0.5395833333333333
1001,60,0.0,720,0,720,0.0,720,0,0,672,48,13,0,0.0,16.903391242972035,23.853112197523437,1457,1025280,178,178,2.0236111111111112,1424.0,1.0
1001,60,1.0,720,9,711,0.0125,711,9,0,678,42,8,0,0.0,16.68920180233001,23.812666205132604,1439,1012608,178,178,1.9986111111111111,1406.4,0.9875
1001,60,2.0,720,22,698,0.030555555555555555,698,22,0,664,56,17,0,0.0,16.367599127977407,23.812666205132604,1413,994304,176,176,1.9625,1380.9777777777779,0.9694444444444444
1001,60,5.0,720,55,665,0.0763888888888889,665,55,0,664,56,21,0,0.0,15.659954554087516,23.812666205132604,1347,947840,175,175,1.8708333333333333,1316.4444444444443,0.9236111111111112
1001,60,10.0,720,118,602,0.1638888888888889,602,118,0,670,50,20,0,0.0,14.209552332005241,23.60652188464485,1220,857984,178,178,1.6944444444444444,1191.6444444444444,0.8361111111111111
1001,60,30.0,720,273,447,0.37916666666666665,447,273,0,675,45,17,1,0.001388888888888889,10.587248763713564,22.897681185386173,908,639232,173,173,1.261111111111111,887.8222222222222,0.6208333333333333
1001,80,0.0,960,0,960,0.0,960,0,0,890,70,21,0,0.0,16.87427659314644,23.909540902285187,1944,1368576,235,235,2.025,1425.6,1.0
1001,80,1.0,960,16,944,0.016666666666666666,944,16,0,896,64,16,0,0.0,16.610054851785364,23.909540902285187,1912,1346048,237,237,1.9916666666666667,1402.1333333333334,0.9833333333333333
1001,80,2.0,960,33,927,0.034375,927,33,0,903,57,15,0,0.0,16.31357883798973,23.851988612455607,1878,1322112,234,234,1.95625,1377.2,0.965625
1001,80,5.0,960,75,885,0.078125,885,75,0,890,70,21,0,0.0,15.548966240137114,23.612414855843156,1792,1261568,236,236,1.8666666666666667,1314.1333333333334,0.921875
1001,80,10.0,960,131,829,0.13645833333333332,829,131,0,901,59,16,2,0.0020833333333333333,14.59447955418366,23.52448375329601,1678,1181312,232,232,1.7479166666666666,1230.5333333333333,0.8635416666666667
1001,80,30.0,960,296,664,0.30833333333333335,664,296,0,892,68,27,1,0.0010416666666666667,11.785084932646635,23.06782684069545,1345,946432,237,237,1.4010416666666667,985.8666666666667,0.6916666666666667
1001,100,0.0,1200,0,1200,0.0,1200,0,0,1113,87,25,0,0.0,16.872834286964686,23.93233477397132,2431,1708288,295,295,2.0258333333333334,1423.5733333333333,1.0
1001,100,1.0,1200,19,1181,0.015833333333333335,1181,19,0,1122,78,21,0,0.0,16.570633033940155,23.851988612455607,2392,1681280,296,296,1.9933333333333334,1401.0666666666666,0.9841666666666666
1001,100,2.0,1200,28,1172,0.023333333333333334,1172,28,0,1119,81,31,0,0.0,16.44883215787207,23.851988612455607,2373,1668352,295,295,1.9775,1390.2933333333333,0.9766666666666667
1001,100,5.0,1200,65,1135,0.05416666666666667,1135,65,0,1126,74,18,0,0.0,15.966502181839209,23.812666205132604,2299,1616256,293,293,1.9158333333333333,1346.88,0.9458333333333333
1001,100,10.0,1200,133,1067,0.11083333333333334,1067,133,0,1109,91,27,0,0.0,15.024927229694459,23.63922976651338,2162,1520256,294,294,1.8016666666666667,1266.88,0.8891666666666667
1001,100,30.0,1200,338,862,0.2816666666666667,862,338,0,1118,82,22,1,0.0008333333333333334,12.168513282688679,22.872569506634477,1745,1228928,293,293,1.4541666666666666,1024.1066666666666,0.7183333333333334
1002,20,0.0,240,0,240,0.0,240,0,0,222,18,7,0,0.0,17.03197033225833,24.292712303864224,493,346624,58,58,2.0541666666666667,1444.2666666666667,1.0
1002,20,1.0,240,14,226,0.058333333333333334,226,14,0,224,16,8,0,0.0,16.079800843673002,24.259351351043,465,326912,60,60,1.9375,1362.1333333333334,0.9416666666666667
1002,20,2.0,240,30,210,0.125,210,30,0,224,16,7,0,0.0,14.964543634339062,24.259351351042824,430,303616,60,60,1.7916666666666667,1265.0666666666666,0.875
1002,20,5.0,240,57,183,0.2375,183,57,0,218,22,4,0,0.0,13.258998715066776,24.259351351042824,374,263296,60,60,1.5583333333333333,1097.0666666666666,0.7625
1002,20,10.0,240,92,148,0.38333333333333336,148,92,0,226,14,5,1,0.004166666666666667,10.913774788286997,24.259351351042824,303,213760,58,58,1.2625,890.6666666666666,0.6166666666666667
1002,20,30.0,240,144,96,0.6,96,144,0,230,10,2,1,0.004166666666666667,7.2110820420443345,22.196535822457967,197,139136,60,60,0.8208333333333333,579.7333333333333,0.4
1002,40,0.0,480,0,480,0.0,480,0,0,454,26,5,0,0.0,16.83140805624379,24.258487104340176,978,688512,117,117,2.0375,1434.4,1.0
1002,40,1.0,480,14,466,0.029166666666666667,466,14,0,443,37,11,0,0.0,16.383504227430315,24.258487104340176,950,668800,120,120,1.9791666666666667,1393.3333333333333,0.9708333333333333
1002,40,2.0,480,30,450,0.0625,450,30,0,445,35,7,0,0.0,15.810635394562139,24.22503022214677,918,646272,119,119,1.9125,1346.4,0.9375
1002,40,5.0,480,65,415,0.13541666666666666,415,65,0,454,26,7,0,0.0,14.679492704487984,23.963944954112282,848,596992,116,116,1.7666666666666666,1243.7333333333333,0.8645833333333334
1002,40,10.0,480,120,360,0.25,360,120,0,453,27,6,1,0.0020833333333333333,12.805542538644882,23.786122765562016,734,516736,119,119,1.5291666666666666,1076.5333333333333,0.75
1002,40,30.0,480,215,265,0.4479166666666667,265,215,0,449,31,12,2,0.004166666666666667,9.492780784000862,22.523865710952503,543,381824,119,119,1.13125,795.4666666666667,0.5520833333333334
1002,60,0.0,720,0,720,0.0,720,0,0,675,45,11,0,0.0,16.833733176533197,24.095691923997716,1463,1029504,178,178,2.0319444444444446,1429.8666666666666,1.0
1002,60,1.0,720,22,698,0.030555555555555555,698,22,0,677,43,13,0,0.0,16.308254011552453,23.95727961394342,1419,998528,175,175,1.9708333333333334,1386.8444444444444,0.9694444444444444
1002,60,2.0,720,23,697,0.03194444444444444,697,23,0,681,39,9,0,0.0,16.286695662171432,23.95727961394342,1417,997120,173,173,1.9680555555555554,1384.888888888889,0.9680555555555556
1002,60,5.0,720,65,655,0.09027777777777778,655,65,0,670,50,13,0,0.0,15.34530029364202,23.783959154731253,1332,937728,177,177,1.85,1302.4,0.9097222222222222
1002,60,10.0,720,123,597,0.17083333333333334,597,123,0,662,58,15,0,0.0,13.99233893293882,23.437015212445807,1214,854656,179,179,1.6861111111111111,1187.0222222222221,0.8291666666666667
1002,60,30.0,720,259,461,0.3597222222222222,461,259,0,675,45,13,3,0.004166666666666667,10.88809932130328,22.920234313325228,940,661760,177,177,1.3055555555555556,919.1111111111111,0.6402777777777777
1002,80,0.0,960,0,960,0.0,960,0,0,874,86,23,0,0.0,16.754267057448672,24.013110211632235,1952,1375104,237,237,2.033333333333333,1432.4,1.0
1002,80,1.0,960,13,947,0.013541666666666667,947,13,0,901,59,20,0,0.0,16.523267655393546,23.990631214995517,1925,1355648,233,233,2.0052083333333335,1412.1333333333334,0.9864583333333333
1002,80,2.0,960,35,925,0.036458333333333336,925,35,0,892,68,16,0,0.0,16.168475739124894,23.990631214995517,1881,1324672,236,236,1.959375,1379.8666666666666,0.9635416666666666
1002,80,5.0,960,65,895,0.06770833333333333,895,65,0,885,75,26,0,0.0,15.63585607102732,23.909186212862462,1820,1281280,234,234,1.8958333333333333,1334.6666666666667,0.9322916666666666
1002,80,10.0,960,145,815,0.15104166666666666,815,145,0,889,71,15,0,0.0,14.281531316919663,23.696852878519167,1657,1166080,236,236,1.7260416666666667,1214.6666666666667,0.8489583333333334
1002,80,30.0,960,312,648,0.325,648,312,0,889,71,30,1,0.0010416666666666667,11.456828754511376,23.085690230468,1318,927872,236,236,1.3729166666666666,966.5333333333333,0.675
1002,100,0.0,1200,0,1200,0.0,1200,0,0,1112,88,17,0,0.0,16.730896672623295,24.103635318846273,2441,1718912,293,293,2.0341666666666667,1432.4266666666667,1.0
1002,100,1.0,1200,17,1183,0.014166666666666666,1183,17,0,1104,96,32,0,0.0,16.5032032828146,24.09064599945623,2407,1694976,297,297,2.0058333333333334,1412.48,0.9858333333333333
1002,100,2.0,1200,34,1166,0.028333333333333332,1166,34,0,1131,69,17,0,0.0,16.289594550661185,24.09064599945623,2372,1670784,293,293,1.9766666666666666,1392.32,0.9716666666666667
1002,100,5.0,1200,75,1125,0.0625,1125,75,0,1118,82,25,0,0.0,15.739761273892594,23.870393747921526,2288,1611648,296,296,1.9066666666666667,1343.04,0.9375
1002,100,10.0,1200,133,1067,0.11083333333333334,1067,133,0,1116,84,20,1,0.0008333333333333334,14.982368487004356,23.801279646981754,2169,1528320,296,296,1.8075,1273.6,0.8891666666666667
1002,100,30.0,1200,316,884,0.2633333333333333,884,316,0,1115,85,24,3,0.0025,12.400874634846197,23.382814923824565,1798,1265792,295,295,1.4983333333333333,1054.8266666666666,0.7366666666666667
1003,20,0.0,240,0,240,0.0,240,0,0,220,20,9,0,0.0,16.891176413552905,23.68775423187257,484,339840,56,56,2.0166666666666666,1416.0,1.0
1003,20,1.0,240,13,227,0.05416666666666667,227,13,0,218,22,7,0,0.0,15.996843849768053,23.687754231870883,458,321536,59,59,1.9083333333333334,1339.7333333333333,0.9458333333333333
1003,20,2.0,240,26,214,0.10833333333333334,214,26,0,222,18,3,0,0.0,15.150873495718733,23.687754231870883,432,303232,58,58,1.8,1263.4666666666667,0.8916666666666667
1003,20,5.0,240,49,191,0.20416666666666666,191,49,0,224,16,9,0,0.0,13.56095057088903,23.634956669068785,385,270592,58,58,1.6041666666666667,1127.4666666666667,0.7958333333333333
1003,20,10.0,240,82,158,0.3416666666666667,158,82,0,222,18,7,0,0.0,11.282883580927338,23.14853348347334,319,224128,60,60,1.3291666666666666,933.8666666666667,0.6583333333333333
1003,20,30.0,240,141,99,0.5875,99,141,0,233,7,1,7,0.029166666666666667,6.967377033255955,21.605594738711527,200,139904,60,60,0.8333333333333334,582.9333333333333,0.4125
1003,40,0.0,480,0,480,0.0,480,0,0,443,37,12,0,0.0,16.848438128973065,23.882295237686613,971,681344,118,118,2.0229166666666667,1419.4666666666667,1.0
1003,40,1.0,480,13,467,0.027083333333333334,467,13,0,446,34,10,0,0.0,16.37047241586026,23.780490544005946,944,662784,116,116,1.9666666666666666,1380.8,0.9729166666666667
1003,40,2.0,480,30,450,0.0625,450,30,0,447,33,7,0,0.0,15.764137334778832,23.72497659579551,909,638592,117,117,1.89375,1330.4,0.9375
1003,40,5.0,480,75,405,0.15625,405,75,0,458,22,3,1,0.0020833333333333333,14.222795773890374,23.38900058826069,817,573824,117,117,1.7020833333333334,1195.4666666666667,0.84375
1003,40,10.0,480,111,369,0.23125,369,111,0,451,29,8,0,0.0,12.903564245299863,23.254231420137117,744,522880,118,118,1.55,1089.3333333333333,0.76875
1003,40,30.0,480,214,266,0.44583333333333336,266,214,0,446,34,11,4,0.008333333333333333,9.431989256214962,22.94734748778069,536,376448,119,119,1.1166666666666667,784.2666666666667,0.5541666666666667
1003,60,0.0,720,0,720,0.0,720,0,0,672,48,11,0,0.0,17.021124800909224,24.39573665122161,1471,1030656,178,178,2.0430555555555556,1431.4666666666667,1.0
1003,60,1.0,720,8,712,0.011111111111111112,712,8,0,674,46,9,0,0.0,16.853875753877713,24.39573665122161,1455,1019392,176,176,2.0208333333333335,1415.8222222222223,0.9888888888888889
1003,60,2.0,720,35,685,0.04861111111111111,685,35,0,681,39,11,0,0.0,16.18175633839671,23.933957705740024,1398,980608,178,178,1.9416666666666667,1361.9555555555555,0.9513888888888888
1003,60,5.0,720,66,654,0.09166666666666666,654,66,0,672,48,17,0,0.0,15.445374573216052,23.908685336698454,1334,936448,180,180,1.8527777777777779,1300.6222222222223,0.9083333333333333
1003,60,10.0,720,130,590,0.18055555555555555,590,130,0,656,64,12,0,0.0,13.92626293331861,23.88229523768519,1197,841344,177,177,1.6625,1168.5333333333333,0.8194444444444444
