topology,seed,requested_vehicle_count,observed_vehicle_count,ttl_seconds,interactions,mean_active_vehicles,peak_active_vehicles,cache_hits,cache_misses,cache_hit_rate,v2i_queries,v2i_queries_avoided,query_failures,accepted,rejected,anomaly_escalations,stale_trust_acceptances,stale_acceptance_rate,authorization_latency_mean_ms,authorization_latency_p95_ms,messages_total,messages_per_interaction,bytes_total,bytes_per_interaction,cache_entries_final,cache_entries_peak
smoke,1001,20,20,0.0,1689,17.8,20,0,1689,0.0,1689,0,0,1256,433,36,0,0.0,16.89148564470369,24.038468375471027,3458,2.0473653049141505,2434432,1441.345174659562,74,74
smoke,1001,20,20,1.0,1689,17.8,20,701,988,0.41503848431024276,988,701,0,1256,433,39,2,0.0011841326228537595,10.046539563786935,22.652445513882924,2005,1.1870929544108941,1406592,832.7957371225577,74,74
smoke,1001,20,20,2.0,1689,17.8,20,973,716,0.576080521018354,716,973,0,1253,436,44,5,0.002960331557134399,7.377800629299628,22.56185468777403,1476,0.8738898756660746,1041792,616.809946714032,74,74
smoke,1001,20,20,5.0,1689,17.8,20,1272,417,0.7531083481349912,417,1272,0,1280,409,28,18,0.010657193605683837,4.370710205280323,20.580403016315074,850,0.5032563647128478,599296,354.82297217288334,74,74
smoke,1001,20,20,10.0,1689,17.8,20,1396,293,0.8265245707519242,293,1396,0,1279,410,44,36,0.021314387211367674,3.127579182978931,19.082106575712032,596,0.35287152161042035,420480,248.95204262877442,74,74
smoke,1001,20,20,30.0,1689,17.8,20,1535,154,0.9088217880402605,154,1535,0,1326,363,37,73,0.04322084073416223,1.7923545168928212,16.262613319529606,313,0.1853167554766134,221696,131.25873297809355,74,74
smoke,1002,20,20,0.0,1689,17.8,20,0,1689,0.0,1689,0,0,1197,492,42,0,0.0,17.018491391263133,24.15783765753758,3456,2.0461811722912966,2434816,1441.5725281231498,73,73
smoke,1002,20,20,1.0,1689,17.8,20,770,919,0.45589105979869743,919,770,0,1202,487,33,0,0.0,9.485103923610183,22.874453215470677,1879,1.1124925991711072,1321472,782.3990526939017,73,73
smoke,1002,20,20,2.0,1689,17.8,20,1041,648,0.6163410301953819,648,1041,0,1200,489,42,7,0.0041444641799881585,6.611869197324836,21.70104762344156,1318,0.7803433984606276,930560,550.9532267613973,73,73
smoke,1002,20,20,5.0,1689,17.8,20,1308,381,0.7744227353463587,381,1308,0,1215,474,37,17,0.010065127294256957,3.9508248393377445,19.605906838521037,779,0.46121965660153935,548864,324.963883955003,73,73
smoke,1002,20,20,10.0,1689,17.8,20,1446,243,0.8561278863232682,243,1446,0,1226,463,28,17,0.010065127294256957,2.5960551682651314,18.013885965378048,492,0.2912966252220249,346368,205.0728241563055,73,73
smoke,1002,20,20,30.0,1689,17.8,20,1542,147,0.9129662522202486,147,1542,0,1277,412,35,77,0.045589105979869746,1.7570206340117005,16.799435642502647,301,0.17821195973949083,211456,125.1959739490823,73,73
smoke,1003,20,20,0.0,1689,17.8,20,0,1689,0.0,1689,0,0,1287,402,32,0,0.0,16.84034723514733,24.091130108934063,3441,2.0373001776198936,2419328,1432.4026050917703,72,72
smoke,1003,20,20,1.0,1689,17.8,20,793,896,0.4695085849615157,896,793,0,1292,397,27,4,0.002368265245707519,8.951591155488854,22.162777461386433,1823,1.0793368857312018,1286528,761.7098875074008,72,72
smoke,1003,20,20,2.0,1689,17.8,20,1057,632,0.625814091178212,632,1057,0,1290,399,31,7,0.0041444641799881585,6.497373362809709,21.664613022210233,1297,0.7679100059206632,910848,539.2824156305506,72,72
smoke,1003,20,20,5.0,1689,17.8,20,1326,363,0.7850799289520426,363,1326,0,1296,393,32,14,0.008288928359976317,3.888898939597383,20.46367000574953,743,0.4399052693901717,522624,309.42806394316165,72,72
smoke,1003,20,20,10.0,1689,17.8,20,1453,236,0.8602723505032563,236,1453,0,1305,384,39,28,0.016577856719952634,2.5365208072577676,17.937311614510065,484,0.28656009473060984,339840,201.20781527531082,72,72
