topology,requested_vehicle_count,ttl_seconds,seed,observed_vehicle_count,interactions,mean_active_vehicles,peak_active_vehicles,cache_hits,cache_misses,cache_hit_rate,v2i_queries,v2i_queries_avoided,query_failures,accepted,rejected,anomaly_escalations,stale_trust_acceptances,stale_acceptance_rate,authorization_latency_mean_ms,authorization_latency_p95_ms,messages_total,messages_per_interaction,bytes_total,bytes_per_interaction,cache_entries_final,cache_entries_peak
corridor,20,0.0,1005.5,20.0,1686.0,17.8,20.0,0.0,1686.0,0.0,1686.0,0.0,0.0,1242.8,443.2,33.0,0.0,0.0,16.966065004046026,24.194941529100532,3442.8,2.0419928825622775,2424179.2,1437.828706998814,222.9,222.9
corridor,20,1.0,1005.5,20.0,1686.0,17.8,20.0,725.3,960.7,0.4301897983392645,960.7,725.3,0.0,1242.8,443.2,36.5,3.3,0.00195729537366543,9.744845775132273,22.617123210272982,1957.2,1.1608540925266904,1378316.8,817.5069988137604,222.9,222.9
corridor,20,2.0,1005.5,20.0,1686.0,17.8,20.0,952.9,733.1,0.5651838671411625,733.1,952.9,0.0,1250.0,436.0,33.4,7.6,0.00450771055753256,7.52718142316363,22.113521994120823,1498.8,0.8889679715302492,1055961.6,626.3117437722419,222.9,222.9
corridor,20,5.0,1005.5,20.0,1686.0,17.8,20.0,1189.7,496.3,0.7056346381969159,496.3,1189.7,0.0,1257.3,428.7,35.9,16.7,0.00990510083036769,5.164088216110341,21.020299387688503,1012.6,0.6005931198102017,711436.8,421.9672597864769,222.9,222.9
corridor,20,10.0,1005.5,20.0,1686.0,17.8,20.0,1302.5,383.5,0.7725385527876631,383.5,1302.5,0.0,1275.2,410.8,33.5,33.3,0.01975088967971526,4.0094297247025334,20.132776401849473,782.5,0.4641162514827995,550118.4,326.2861209964413,222.9,222.9
corridor,20,30.0,1005.5,20.0,1686.0,17.8,20.0,1394.7,291.3,0.8272241992882563,291.3,1394.7,0.0,1313.1,372.9,36.3,71.7,0.042526690391459024,3.1527856378934587,19.258835553940703,594.4,0.3525504151838671,418368.0,248.1423487544484,222.9,222.9
corridor,40,0.0,1005.5,40.0,3378.0,35.589473684210525,40.0,0.0,3378.0,0.0,3378.0,0.0,0.0,2454.4,923.6,65.6,0.0,0.0,16.902672468473092,24.17746326829883,6897.4,2.0418590882178806,4855500.8,1437.389224393132,477.1,477.1
corridor,40,1.0,1005.5,40.0,3378.0,35.589473684210525,40.0,1382.3,1995.7,0.40920663114268796,1995.7,1382.3,0.1,2462.0,916.0,65.0,5.1,0.00150976909413848,10.109518247126712,22.820446916930827,4070.4,1.204973357015986,2865472.0,848.2747187685021,477.1,477.1
corridor,40,2.0,1005.5,40.0,3378.0,35.589473684210525,40.0,1855.6,1522.4,0.5493191237418591,1522.4,1855.6,0.1,2462.6,915.4,70.3,11.3,0.0033451746595618004,7.787218023350879,22.25683794557669,3110.7,0.9208703374777976,2191769.6,648.8364712847839,477.1,477.1
corridor,40,5.0,1005.5,40.0,3378.0,35.589473684210525,40.0,2343.6,1034.4,0.6937833037300177,1034.4,2343.6,0.0,2483.7,894.3,67.1,29.0,0.0085849615156897,5.359803175820975,21.111557472364712,2111.6,0.6251036116044997,1485939.2,439.88727057430435,477.1,477.1
corridor,40,10.0,1005.5,40.0,3378.0,35.589473684210525,40.0,2574.2,803.8,0.7620485494375371,803.8,2574.2,0.0,2513.5,864.5,64.0,57.2,0.016933096506808708,4.203079042235688,20.337341415377576,1640.7,0.4857015985790408,1154918.4,341.8941385435169,477.1,477.1
corridor,40,30.0,1005.5,40.0,3378.0,35.589473684210525,40.0,2765.0,613.0,0.8185316755476613,613.0,2765.0,0.0,2624.5,753.5,69.6,170.3,0.05041444641799877,3.2882463823550716,19.444861351576904,1251.0,0.3703374777975133,880883.2,260.7706335109532,477.1,477.1
corridor,60,0.0,1005.5,60.0,4952.1,52.148421052631576,60.0,0.0,4952.1,0.0,4952.1,0.0,0.0,3591.2,1360.9,97.3,0.0,0.0,16.91614410590369,24.172126560676713,10112.2,2.0419994338028773,7117734.4,1437.3124353988328,570.4,570.4
corridor,60,1.0,1005.5,60.0,4952.1,52.148421052631576,60.0,2145.1,2807.0,0.4331730476926497,2807.0,2145.1,0.2,3602.4,1349.7,97.4,10.2,0.0020601343970214,9.701357400030126,22.776200023356523,5726.8,1.1564266284511426,4032025.6,814.1976322396622,570.3,570.3
corridor,60,2.0,1005.5,60.0,4952.1,52.148421052631576,60.0,2866.0,2086.1,0.578754463712382,2086.1,2866.0,0.1,3614.3,1337.8,97.0,17.6,0.0035543650033188295,7.287743654207721,22.078134859460942,4261.0,0.8604245086490014,3001804.8,606.1547951713998,570.4,570.4
corridor,60,5.0,1005.5,60.0,4952.1,52.148421052631576,60.0,3598.5,1353.6,0.7266698483505846,1353.6,3598.5,0.1,3635.7,1316.4,99.2,40.8,0.008235448984673249,4.812256292079626,20.795176992518268,2761.4,0.5576054641378101,1942592.0,392.2648011470808,570.4,570.4
corridor,60,10.0,1005.5,60.0,4952.1,52.148421052631576,60.0,3942.4,1009.7,0.796115994117871,1009.7,3942.4,0.0,3685.5,1266.6,92.6,85.8,0.01732497104485681,3.6413069909362092,19.788705928979354,2060.2,0.4160054079552954,1450201.6,292.83040937727174,570.4,570.4
corridor,60,30.0,1005.5,60.0,4952.1,52.148421052631576,60.0,4202.6,749.5,0.8486649759321876,749.5,4202.6,0.0,3866.2,1085.9,100.6,274.8,0.055498602405945376,2.7830256041337544,18.79764557981257,1529.6,0.3088466938860203,1077734.4,217.6082066983061,570.4,570.4
corridor,80,0.0,1005.5,80.0,6293.3,66.25578947368422,80.0,0.0,6293.3,0.0,6293.3,0.0,0.0,4573.3,1720.0,129.0,0.0,0.0,16.92101705765243,24.1793465512044,12855.0,2.0426451651740223,9048576.0,1437.8073785787224,685.4,685.4
corridor,80,1.0,1005.5,80.0,6293.3,66.25578947368422,80.0,2745.1,3548.2,0.43616289917964324,3548.2,2745.1,0.2,4590.1,1703.2,124.3,11.9,0.00189144841125331,9.658364530956081,22.780938826860382,7239.7,1.1504421598980599,5097779.2,810.0749949877403,685.4,685.4
corridor,80,2.0,1005.5,80.0,6293.3,66.25578947368422,80.0,3667.3,2626.0,0.5826890767142154,2626.0,3667.3,0.1,4600.9,1692.4,127.4,24.2,0.0038469646508088305,7.227214304689332,22.067757180737747,5364.3,0.8524718729739936,3778841.6,600.5175990238376,685.4,685.4
corridor,80,5.0,1005.5,80.0,6293.3,66.25578947368422,80.0,4612.1,1681.2,0.7328044504382376,1681.2,4612.1,0.1,4632.3,1661.0,129.1,57.4,0.00912225868546661,4.714461713214059,20.732251889800143,3430.6,0.545230815495394,2414336.0,383.7147100986793,685.4,685.4
corridor,80,10.0,1005.5,80.0,6293.3,66.25578947368422,80.0,5042.9,1250.4,0.8012576050382887,1250.4,5042.9,0.0,4703.9,1589.4,129.3,131.4,0.02087623871197873,3.5519678867192637,19.669996342167536,2550.4,0.40536653837834813,1794406.4,285.2064000342452,685.4,685.4
corridor,80,30.0,1005.5,80.0,6293.3,66.25578947368422,80.0,5381.3,912.0,0.8550254071804364,912.0,5381.3,0.0,4959.9,1333.4,126.0,383.0,0.060855854289091404,2.6743372709824635,18.49533400734059,1860.7,0.29578255230071077,1310425.6,208.30825058930319,685.4,685.4
corridor,100,0.0,1005.5,100.0,7454.7,78.48105263157895,100.0,0.0,7454.7,0.0,7454.7,0.0,0.0,5439.3,2015.4,146.5,0.0,0.0,16.93094521741907,24.179459912420675,15224.5,2.0422700530836706,10717196.8,1437.6434856404915,1019.6,1019.6
corridor,100,1.0,1005.5,100.0,7454.7,78.48105263157895,100.0,3134.3,4320.4,0.420441531039041,4320.4,3134.3,0.2,5454.8,1999.9,145.8,14.4,0.00193198586509833,9.917607822259221,22.83632390434395,8815.4,1.1825377958092922,6207654.4,832.7239938033283,1019.6,1019.6
corridor,100,2.0,1005.5,100.0,7454.7,78.48105263157895,100.0,4194.1,3260.6,0.562604938895813,3260.6,4194.1,0.1,5467.9,1986.8,149.7,31.0,0.0041593444598122505,7.559502706387265,22.196608973571976,6662.8,0.8937857893756899,4691417.6,629.3338788871164,1019.6,1019.6
corridor,100,5.0,1005.5,100.0,7454.7,78.48105263157895,100.0,5284.4,2170.3,0.7088608572281594,2170.3,5284.4,0.1,5512.3,1942.4,144.2,74.1,0.0099405302920021,5.113962464204359,21.02964097532499,4427.4,0.5939222262049386,3116531.2,418.07302225996943,1019.5,1019.5
corridor,100,10.0,1005.5,100.0,7454.7,78.48105263157895,100.0,5782.6,1672.1,0.775689777086331,1672.1,5782.6,0.0,5574.9,1879.8,149.4,139.3,0.018690344904052032,3.984369181591886,20.089689924869628,3411.2,0.4576066380217013,2400678.4,322.0464787304978,1019.6,1019.6
corridor,100,30.0,1005.5,100.0,7454.7,78.48105263157895,100.0,6178.6,1276.1,0.8288111284811205,1276.1,6178.6,0.0,5897.5,1557.2,147.7,456.4,0.06123343045758506,3.1197501123042697,19.223780668143583,2603.8,0.3493000141854856,1834060.8,246.03903741362183,1019.6,1019.6
grid,20,0.0,1005.5,20.0,1380.9,15.84,20.0,0.0,1380.9,0.0,1380.9,0.0,0.0,1014.6,366.3,27.4,0.0,0.0,16.972886308987356,24.216200928424776,2821.2,2.0429746285436314,1987200.0,1439.0380981822595,115.7,115.7
grid,20,1.0,1005.5,20.0,1380.9,15.84,20.0,643.5,737.4,0.4659917223864093,737.4,643.5,0.0,1016.8,364.1,27.8,3.0,0.00218909282083785,9.159986715694396,22.514652644874094,1502.8,1.0883148732934904,1058240.0,766.376764480302,115.7,115.7
grid,20,2.0,1005.5,20.0,1380.9,15.84,20.0,854.6,526.3,0.6188516792688479,526.3,854.6,0.0,1023.1,357.8,26.6,7.6,0.00552963712645585,6.603088748891386,21.686609153015866,1075.6,0.7789219520028564,757580.8,548.6088545479824,115.7,115.7
grid,20,5.0,1005.5,20.0,1380.9,15.84,20.0,1066.8,314.1,0.7725169837312562,314.1,1066.8,0.0,1030.9,350.0,25.9,15.8,0.01148366035663909,4.059271174941821,20.170965926291462,641.1,0.4643381897289989,450304.0,326.1453128778863,115.7,115.7
grid,20,10.0,1005.5,20.0,1380.9,15.84,20.0,1156.5,224.4,0.8374360900044981,224.4,1156.5,0.0,1046.5,334.4,28.4,32.3,0.02340974699943585,2.92411242104877,18.844935054303498,457.3,0.33129068969951975,320998.4,232.531430377677,115.7,115.7
grid,20,30.0,1005.5,20.0,1380.9,15.84,20.0,1212.4,168.5,0.8778702066667663,168.5,1212.4,0.0,1083.4,297.5,30.3,71.5,0.051725267930258126,2.2938383688709396,17.75630403532888,344.1,0.2494232695586176,242291.2,175.61840548894622,115.7,115.7
grid,40,0.0,1005.5,40.0,2999.0,32.05684210526316,40.0,0.0,2999.0,0.0,2999.0,0.0,0.0,2178.5,820.5,58.7,0.0,0.0,16.89787877507021,24.177319064947863,6124.0,2.04203333553217,4310937.6,1437.4707947182583,349.0,349.0
grid,40,1.0,1005.5,40.0,2999.0,32.05684210526316,40.0,1346.0,1653.0,0.44883173302060103,1653.0,1346.0,0.1,2186.8,812.2,57.4,7.0,0.00233349697909466,9.436618458885178,22.59516307656046,3369.6,1.1235318801585232,2372825.6,791.1713008464098,349.0,349.0
grid,40,2.0,1005.5,40.0,2999.0,32.05684210526316,40.0,1771.8,1227.2,0.5907896756621354,1227.2,1771.8,0.0,2187.5,811.5,57.1,8.1,0.00270006921705226,7.097733800202697,22.018809062375084,2508.1,0.8363265711420838,1767718.4,589.4540614217282,349.0,349.0
grid,40,5.0,1005.5,40.0,2999.0,32.05684210526316,40.0,2197.1,801.9,0.7325887544534538,801.9,2197.1,0.0,2209.3,789.7,53.4,25.4,0.00846382433711231,4.7175823701435915,20.6931130072618,1636.3,0.5456663992586568,1150387.2,383.6215061719287,349.0,349.0
grid,40,10.0,1005.5,40.0,2999.0,32.05684210526316,40.0,2385.2,613.8,0.7953377338151744,613.8,2385.2,0.0,2222.1,776.9,61.2,43.9,0.01465714673420516,3.6435499117871246,19.800326581479126,1253.6,0.41799068490278,881459.2,293.90291315788926,349.0,349.0
grid,40,30.0,1005.5,40.0,2999.0,32.05684210526316,40.0,2532.0,467.0,0.8442602111372475,467.0,2532.0,0.0,2320.1,678.9,60.1,143.4,0.047750160479177864,2.864571335557415,18.97645762381067,953.8,0.31807724399962123,671654.4,223.98904432102367,349.0,349.0
grid,60,0.0,1005.5,60.0,4588.7,48.63578947368421,60.0,0.0,4588.7,0.0,4588.7,0.0,0.0,3361.8,1226.9,89.9,0.0,0.0,16.913511560164345,24.15000073488887,9371.4,2.042277631317115,6596928.0,1437.64200170903,706.5,706.5
grid,60,1.0,1005.5,60.0,4588.7,48.63578947368421,60.0,1942.5,2646.2,0.42333571486843746,2646.2,1942.5,0.2,3368.7,1220.0,92.6,8.7,0.00189858692850612,9.86360411986959,22.811392743113608,5398.4,1.1764125091274218,3800921.6,828.2917384413525,706.4,706.4
grid,60,2.0,1005.5,60.0,4588.7,48.63578947368421,60.0,2551.0,2037.7,0.5559315148159388,2037.7,2551.0,0.1,3384.4,1204.3,86.7,19.8,0.00431564903947995,7.6706046084262285,22.235103436324124,4161.9,0.9069909699289364,2932172.8,639.0040916664891,706.5,706.5
grid,60,5.0,1005.5,60.0,4588.7,48.63578947368421,60.0,3165.3,1423.4,0.6898074485209178,1423.4,3165.3,0.1,3409.5,1179.2,90.6,45.5,0.00992230796779086,5.430328563448599,21.186187669940573,2904.9,0.6330471241899017,2043481.6,445.32300054180826,706.5,706.5
grid,60,10.0,1005.5,60.0,4588.7,48.63578947368421,60.0,3451.9,1136.8,0.7522565329543509,1136.8,3451.9,0.0,3428.2,1160.5,92.3,69.0,0.0150452487447682,4.369203868049526,20.435077774733,2319.5,0.5054863658466004,1631897.6,355.63496350632124,706.5,706.5
grid,60,30.0,1005.5,60.0,4588.7,48.63578947368421,60.0,3692.0,896.7,0.8045746695402082,896.7,3692.0,0.0,3583.9,1004.8,93.7,227.1,0.04946712641151538,3.515498526630233,19.692093791077077,1829.5,0.3987155011236467,1288460.8,280.8043016628961,706.5,706.5
grid,80,0.0,1005.5,80.0,6217.4,65.65473684210527,80.0,0.0,6217.4,0.0,6217.4,0.0,0.0,4557.2,1660.2,123.2,0.0,0.0,16.916836110388623,24.17144709429708,12700.3,2.0426936394471715,8939622.4,1437.8314362286342,1129.2,1129.2
