topology,vehicle_count,seed,observed_vehicle_count,peak_concurrent_vehicles,cases,v2x_messages,detection_events,attack_vehicle_count,attack_vehicle_ratio,trace_path
smoke,20,1001,20,20,133,1904,18457,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_20\seed_1001\shared_detection_trace.jsonl
smoke,20,1002,20,20,133,1904,15821,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_20\seed_1002\shared_detection_trace.jsonl
smoke,20,1003,20,20,133,1904,15902,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_20\seed_1003\shared_detection_trace.jsonl
smoke,20,1004,20,20,133,1904,16593,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_20\seed_1004\shared_detection_trace.jsonl
smoke,20,1005,20,20,133,1904,15910,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_20\seed_1005\shared_detection_trace.jsonl
smoke,20,1006,20,20,133,1904,16701,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_20\seed_1006\shared_detection_trace.jsonl
smoke,20,1007,20,20,133,1904,16790,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_20\seed_1007\shared_detection_trace.jsonl
smoke,20,1008,20,20,133,1904,16880,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_20\seed_1008\shared_detection_trace.jsonl
smoke,20,1009,20,20,133,1904,16986,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_20\seed_1009\shared_detection_trace.jsonl
smoke,20,1010,20,20,133,1904,17187,7,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_20\seed_1010\shared_detection_trace.jsonl
smoke,40,1001,40,40,248,3473,34851,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_40\seed_1001\shared_detection_trace.jsonl
smoke,40,1002,40,40,250,3497,33736,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_40\seed_1002\shared_detection_trace.jsonl
smoke,40,1003,40,40,249,3479,33662,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_40\seed_1003\shared_detection_trace.jsonl
smoke,40,1004,40,40,250,3503,33822,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_40\seed_1004\shared_detection_trace.jsonl
smoke,40,1005,40,40,250,3516,33783,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_40\seed_1005\shared_detection_trace.jsonl
smoke,40,1006,40,40,250,3501,34155,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_40\seed_1006\shared_detection_trace.jsonl
smoke,40,1007,40,40,250,3486,33473,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_40\seed_1007\shared_detection_trace.jsonl
smoke,40,1008,40,40,249,3480,33721,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_40\seed_1008\shared_detection_trace.jsonl
smoke,40,1009,40,40,252,3516,34223,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_40\seed_1009\shared_detection_trace.jsonl
smoke,40,1010,40,40,249,3462,34036,14,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_40\seed_1010\shared_detection_trace.jsonl
smoke,60,1001,60,60,339,4512,45622,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_60\seed_1001\shared_detection_trace.jsonl
smoke,60,1002,60,60,341,4516,44081,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_60\seed_1002\shared_detection_trace.jsonl
smoke,60,1003,60,60,338,4487,44168,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_60\seed_1003\shared_detection_trace.jsonl
smoke,60,1004,60,60,341,4525,44553,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_60\seed_1004\shared_detection_trace.jsonl
smoke,60,1005,60,60,341,4536,44322,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_60\seed_1005\shared_detection_trace.jsonl
smoke,60,1006,60,60,343,4557,45233,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_60\seed_1006\shared_detection_trace.jsonl
smoke,60,1007,60,60,344,4595,45622,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_60\seed_1007\shared_detection_trace.jsonl
smoke,60,1008,60,60,339,4484,43998,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_60\seed_1008\shared_detection_trace.jsonl
smoke,60,1009,60,60,344,4558,45217,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_60\seed_1009\shared_detection_trace.jsonl
smoke,60,1010,60,60,338,4472,44658,21,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_60\seed_1010\shared_detection_trace.jsonl
smoke,80,1001,80,80,407,5158,52437,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_80\seed_1001\shared_detection_trace.jsonl
smoke,80,1002,80,80,409,5156,50895,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_80\seed_1002\shared_detection_trace.jsonl
smoke,80,1003,80,80,406,5126,50927,28,0.35,C:\Users\reemg\VPUFT_density_results\traces\smoke\vehicles_80\seed_1003\shared_detection_trace.jsonl
