central_comparator,topology,vehicle_count,model_implied_breakeven_one_way_ms,inside_tested_0_to_max_delay,reporting_status
central_crn_available_0ms,corridor,20,267.0274018386608,False,outside_sweep_model_extrapolation
central_crn_available_0ms,corridor,40,515.0576415464457,False,outside_sweep_model_extrapolation
central_crn_available_0ms,corridor,60,800.7120390326872,False,outside_sweep_model_extrapolation
central_crn_available_0ms,corridor,80,875.1633851112747,False,outside_sweep_model_extrapolation
central_crn_available_0ms,corridor,100,982.7644070195238,False,outside_sweep_model_extrapolation
central_crn_available_0ms,grid,20,231.4670038087388,False,outside_sweep_model_extrapolation
central_crn_available_0ms,grid,40,670.3117709736562,False,outside_sweep_model_extrapolation
central_crn_available_0ms,grid,60,924.7158382887901,False,outside_sweep_model_extrapolation
central_crn_available_0ms,grid,80,1236.0946012802415,False,outside_sweep_model_extrapolation
central_crn_available_0ms,grid,100,1409.9470865353705,False,outside_sweep_model_extrapolation
central_crn_available_0ms,intersection,20,358.49674135369423,False,outside_sweep_model_extrapolation
central_crn_available_0ms,intersection,40,914.7336443769491,False,outside_sweep_model_extrapolation
central_crn_available_0ms,intersection,60,1274.0472076772548,False,outside_sweep_model_extrapolation
central_crn_available_0ms,intersection,80,1322.1578615110939,False,outside_sweep_model_extrapolation
central_crn_available_0ms,intersection,100,1352.3940571045732,False,outside_sweep_model_extrapolation
central_crn_available_0ms,smoke,20,166.84783171372146,True,inside_sweep_model_intersection
central_crn_available_0ms,smoke,40,294.99306147775314,False,outside_sweep_model_extrapolation
central_crn_available_0ms,smoke,60,271.8960583597618,False,outside_sweep_model_extrapolation
central_crn_available_0ms,smoke,80,189.18785361380287,True,inside_sweep_model_intersection
central_crn_available_0ms,smoke,100,140.3664057410988,True,inside_sweep_model_intersection
central_crn_operational_0ms,corridor,20,266.9640993027515,False,outside_sweep_model_extrapolation
central_crn_operational_0ms,corridor,40,514.9306043027173,False,outside_sweep_model_extrapolation
central_crn_operational_0ms,corridor,60,800.5213297349255,False,outside_sweep_model_extrapolation
central_crn_operational_0ms,corridor,80,875.3933868629138,False,outside_sweep_model_extrapolation
central_crn_operational_0ms,corridor,100,983.1831265303335,False,outside_sweep_model_extrapolation
central_crn_operational_0ms,grid,20,231.38558971486054,False,outside_sweep_model_extrapolation
central_crn_operational_0ms,grid,40,670.112289502249,False,outside_sweep_model_extrapolation
central_crn_operational_0ms,grid,60,924.4664699483783,False,outside_sweep_model_extrapolation
central_crn_operational_0ms,grid,80,1236.063774878612,False,outside_sweep_model_extrapolation
central_crn_operational_0ms,grid,100,1410.7686762599315,False,outside_sweep_model_extrapolation
central_crn_operational_0ms,intersection,20,358.38272433386373,False,outside_sweep_model_extrapolation
central_crn_operational_0ms,intersection,40,914.5292220417068,False,outside_sweep_model_extrapolation
central_crn_operational_0ms,intersection,60,1273.8022255069845,False,outside_sweep_model_extrapolation
central_crn_operational_0ms,intersection,80,1321.6657424066125,False,outside_sweep_model_extrapolation
central_crn_operational_0ms,intersection,100,1352.8303717992494,False,outside_sweep_model_extrapolation
central_crn_operational_0ms,smoke,20,166.74139352836391,True,inside_sweep_model_intersection
central_crn_operational_0ms,smoke,40,295.0451607137111,False,outside_sweep_model_extrapolation
central_crn_operational_0ms,smoke,60,271.79191975560934,False,outside_sweep_model_extrapolation
central_crn_operational_0ms,smoke,80,189.08313536079913,True,inside_sweep_model_intersection
central_crn_operational_0ms,smoke,100,140.80031791591682,True,inside_sweep_model_intersection
