central_comparator,topology,vehicle_count,metric,paired_seed_count,distributed_mean,central_mean,mean_difference_distributed_minus_central,ci95_lower,ci95_upper,wilcoxon_raw_p,rank_biserial,holm_adjusted_p_within_comparator_metric_20_cells,holm_reject_0_05,analysis_family
central_crn_available_0ms,corridor,20,trust_precision,10,0.9214951714951715,0.9214951714951715,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,20,malicious_revocation_recall,10,0.7125,0.7125,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,20,false_revocation_rate,10,0.0085470085470085,0.0085470085470085,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,20,trust_f1,10,0.8019331115882841,0.8019331115882841,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,20,mcc,10,0.7878964778288545,0.7878964778288545,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,20,latency_p95_ms,10,14412.226846305144,14145.199444466483,267.02740183866047,248.67118245537208,285.32397480665514,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,20,messages_per_decision,10,32.594736842105256,41.739097744360905,-9.144360902255638,-9.305263157894737,-9.000751879699248,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,20,bytes_per_decision,10,37550.0030075188,29384.32481203007,8165.678195488721,7548.757894736841,8827.459248120298,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,20,mean_queue_delay_ms,10,4275.9392536603345,5655.432653476702,-1379.4933998163688,-1415.6287281595964,-1344.8379777531711,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,20,packet_delivery_ratio,10,0.9802821913536984,0.9799741926970368,0.00030799865666176763,-0.00024871389573967093,0.0009476366604986248,0.556640625,0.23636363636363636,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,20,cpu_time_seconds,10,2.2578125,1.409375,0.8484375,0.821875,0.875,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,20,peak_memory_kb,10,4795.0021484375,4919.4501953125,-124.448046875,-139.76001708984373,-113.6764599609375,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,40,trust_precision,10,0.9174177929350342,0.9174177929350342,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,40,malicious_revocation_recall,10,0.79375,0.79375,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,40,false_revocation_rate,10,0.00982905982905979,0.00982905982905979,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,40,trust_f1,10,0.8506764403204737,0.8506764403204737,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,40,mcc,10,0.8349878041975195,0.8349878041975195,0.0,0.0,0.0,1.0,,1.0,False,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,40,latency_p95_ms,10,14772.668044429529,14257.610402883083,515.0576415464478,485.64006635542813,547.5892687870293,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,40,messages_per_decision,10,32.57105263157895,41.56015037593985,-8.989097744360901,-9.098505639097745,-8.862406015037593,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,40,bytes_per_decision,10,36063.89172932331,29258.345864661656,6805.5458646616535,6148.057443609024,7536.53203007519,0.001953125,1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,40,mean_queue_delay_ms,10,4813.976253085551,5967.563818768042,-1153.5875656824915,-1175.5370359692809,-1132.6618393662825,0.001953125,-1.0,0.0390625,True,post_hoc_supplementary_sensitivity
central_crn_available_0ms,corridor,40,packet_delivery_ratio,10,0.9805540772642786,0.980191717093587,0.0003623601706916446,-0.00010162108425510629,0.0008364017693274522,0.10546875,0.6,1.0,False,post_hoc_supplementary_sensitivity
