topology,vehicle_count,seed,architecture,backhaul_extra_latency_ms,message_type,messages,delivered,dropped,bytes_total,retransmissions,mean_queue_delay_ms
smoke,20,1001,distributed_crn_honest,0.0,COMMIT,147,144,3,51744,3,0.0
smoke,20,1001,distributed_crn_honest,0.0,LEDGER_REPLICATION,37,36,1,41440,1,0.0
smoke,20,1001,distributed_crn_honest,0.0,PREPARE,147,144,3,51744,3,0.0
smoke,20,1001,distributed_crn_honest,0.0,PRE_PREPARE,38,36,2,20672,2,0.0
smoke,20,1001,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,2943,2896,47,2071872,47,4890.972887242417
smoke,20,1001,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,27,24,3,30240,3,0.0
smoke,20,1001,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,36,36,0,1458432,0,35.78745114637637
smoke,20,1001,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,4382,4316,66,3084928,66,5732.71106891838
smoke,20,1001,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,4382,4316,66,3084928,66,5732.71106891838
smoke,20,1002,distributed_crn_honest,0.0,COMMIT,134,132,2,47168,2,0.0
smoke,20,1002,distributed_crn_honest,0.0,LEDGER_REPLICATION,33,33,0,36960,0,0.0
smoke,20,1002,distributed_crn_honest,0.0,PREPARE,133,132,1,46816,1,0.0
smoke,20,1002,distributed_crn_honest,0.0,PRE_PREPARE,33,33,0,17952,0,0.0
smoke,20,1002,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,2971,2919,52,2091584,52,4859.056258558448
smoke,20,1002,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,22,22,0,24640,0,0.0
smoke,20,1002,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,33,33,0,1279872,0,35.02385407042687
smoke,20,1002,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,4436,4357,79,3122944,79,5642.27844544643
smoke,20,1002,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,4436,4357,79,3122944,79,5642.27844544643
smoke,20,1003,distributed_crn_honest,0.0,COMMIT,134,132,2,47168,2,0.0
smoke,20,1003,distributed_crn_honest,0.0,LEDGER_REPLICATION,34,33,1,38080,1,0.0
smoke,20,1003,distributed_crn_honest,0.0,PREPARE,139,132,7,48928,7,0.0
smoke,20,1003,distributed_crn_honest,0.0,PRE_PREPARE,33,33,0,17952,0,0.0
smoke,20,1003,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,2931,2871,60,2063424,60,4799.365976644404
smoke,20,1003,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,24,22,2,26880,2,0.0
smoke,20,1003,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,34,33,1,1616064,1,37.20138953349776
smoke,20,1003,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,4442,4354,88,3127168,88,5626.608742008185
smoke,20,1003,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,4442,4354,88,3127168,88,5626.608742008185
smoke,20,1004,distributed_crn_honest,0.0,COMMIT,135,132,3,47520,3,0.0
smoke,20,1004,distributed_crn_honest,0.0,LEDGER_REPLICATION,33,33,0,36960,0,0.0
smoke,20,1004,distributed_crn_honest,0.0,PREPARE,134,132,2,47168,2,0.0
smoke,20,1004,distributed_crn_honest,0.0,PRE_PREPARE,33,33,0,17952,0,0.0
smoke,20,1004,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,2910,2864,46,2048640,46,4874.070268948246
smoke,20,1004,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,22,22,0,24640,0,0.0
smoke,20,1004,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,34,33,1,1281664,1,40.39053619133285
smoke,20,1004,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,4394,4320,74,3093376,74,5658.663098771138
smoke,20,1004,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,4394,4320,74,3093376,74,5658.663098771138
smoke,20,1005,distributed_crn_honest,0.0,COMMIT,84,84,0,29568,0,0.0
smoke,20,1005,distributed_crn_honest,0.0,LEDGER_REPLICATION,21,21,0,23520,0,0.0
smoke,20,1005,distributed_crn_honest,0.0,PREPARE,85,84,1,29920,1,0.0
smoke,20,1005,distributed_crn_honest,0.0,PRE_PREPARE,22,21,1,11968,1,0.0
smoke,20,1005,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,2913,2847,66,2050752,66,4864.940172589681
smoke,20,1005,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,15,14,1,16800,1,0.0
smoke,20,1005,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,21,21,0,865536,0,32.03766652507817
smoke,20,1005,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,4404,4312,92,3100416,92,5624.743921889265
smoke,20,1005,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,4404,4312,92,3100416,92,5624.743921889265
smoke,20,1006,distributed_crn_honest,0.0,COMMIT,122,120,2,42944,2,0.0
smoke,20,1006,distributed_crn_honest,0.0,LEDGER_REPLICATION,31,30,1,34720,1,0.0
smoke,20,1006,distributed_crn_honest,0.0,PREPARE,124,120,4,43648,4,0.0
smoke,20,1006,distributed_crn_honest,0.0,PRE_PREPARE,30,30,0,16320,0,0.0
smoke,20,1006,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,2919,2862,57,2054976,57,4822.683853182696
smoke,20,1006,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,20,20,0,22400,0,0.0
smoke,20,1006,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,30,30,0,1240704,0,30.450041295196684
smoke,20,1006,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,4438,4345,93,3124352,93,5596.893775574669
smoke,20,1006,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,4438,4345,93,3124352,93,5596.893775574669
smoke,20,1007,distributed_crn_honest,0.0,COMMIT,134,132,2,47168,2,0.0
smoke,20,1007,distributed_crn_honest,0.0,LEDGER_REPLICATION,33,33,0,36960,0,0.0
smoke,20,1007,distributed_crn_honest,0.0,PREPARE,135,132,3,47520,3,0.0
smoke,20,1007,distributed_crn_honest,0.0,PRE_PREPARE,33,33,0,17952,0,0.0
smoke,20,1007,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,2917,2866,51,2053568,51,4955.870725631022
smoke,20,1007,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,23,22,1,25760,1,0.0
smoke,20,1007,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,34,33,1,1308416,1,37.38642189434765
smoke,20,1007,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,4430,4340,90,3118720,90,5614.298298871422
smoke,20,1007,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,4430,4340,90,3118720,90,5614.298298871422
smoke,20,1008,distributed_crn_honest,0.0,COMMIT,122,120,2,42944,2,0.0
smoke,20,1008,distributed_crn_honest,0.0,LEDGER_REPLICATION,30,30,0,33600,0,0.0
smoke,20,1008,distributed_crn_honest,0.0,PREPARE,120,120,0,42240,0,0.0
smoke,20,1008,distributed_crn_honest,0.0,PRE_PREPARE,30,30,0,16320,0,0.0
smoke,20,1008,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,2868,2817,51,2019072,51,4930.813460855559
smoke,20,1008,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,20,20,0,22400,0,0.0
smoke,20,1008,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,30,30,0,1240704,0,31.853909073048452
smoke,20,1008,central_crn_available_0ms,0.0,ATTESTATION_TO_SERVER,4388,4307,81,3089152,81,5637.0382734731875
smoke,20,1008,central_crn_operational_0ms,0.0,ATTESTATION_TO_SERVER,4388,4307,81,3089152,81,5637.0382734731875
smoke,20,1009,distributed_crn_honest,0.0,COMMIT,135,132,3,47520,3,0.0
smoke,20,1009,distributed_crn_honest,0.0,LEDGER_REPLICATION,33,33,0,36960,0,0.0
smoke,20,1009,distributed_crn_honest,0.0,PREPARE,133,132,1,46816,1,0.0
smoke,20,1009,distributed_crn_honest,0.0,PRE_PREPARE,34,33,1,18496,1,0.0
smoke,20,1009,distributed_crn_honest,0.0,RSU_EVIDENCE_EXCHANGE,2944,2879,65,2072576,65,4619.267694165904
smoke,20,1009,distributed_crn_honest,0.0,RSU_READ_CACHE_SYNC,24,22,2,26880,2,0.0
smoke,20,1009,distributed_crn_honest,0.0,VPUFT_EVIDENCE_BUNDLE,34,33,1,1456960,1,39.39968706112939
