architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,topology,vehicle_count,seed,backhaul_extra_latency_ms,cpu_time_seconds,peak_memory_kb
distributed_crn_honest,10,2,115,6,0.8333333333333334,0.625,0.017094017094017096,0.375,0.9829059829059829,0.7142857142857143,0.6902493902658681,7399.999999999992,14205.872284373432,198.40105845412842,14152.810568597122,14308.118772290278,14337.604729679437,15.764610839947224,3375,25.37593984962406,3726144,28016.120300751878,59,4265.3100904876155,0.9825185185185186,1.0,0,0,0,12,1,0,0,2.43565940001281,smoke,20,1001,0.0,2.328125,3862.423828125
central_crn_available_0ms,10,2,115,6,0.8333333333333334,0.625,0.017094017094017096,0.375,0.9829059829059829,0.7142857142857143,0.6902493902658681,7399.999999999992,14116.762534208041,0.0,14052.124445432142,14138.294407249843,14157.74745506583,1.0000000000012221,4382,32.94736842105263,3084928,23194.947368421053,66,5732.71106891838,0.9849383842994066,,0,0,0,12,1,0,0,1.3441493000136688,smoke,20,1001,0.0,1.3125,3940.697265625
central_crn_operational_0ms,10,2,115,6,0.8333333333333334,0.625,0.017094017094017096,0.375,0.9829059829059829,0.7142857142857143,0.6902493902658681,7399.999999999992,14116.762534208041,0.0,14052.124445432142,14138.294407249843,14157.74745506583,1.0000000000012221,4382,32.94736842105263,3084928,23194.947368421053,66,5732.71106891838,0.9849383842994066,,0,0,0,12,1,0,0,1.2631921999854967,smoke,20,1001,0.0,1.25,3936.365234375
distributed_crn_honest,10,1,116,6,0.9090909090909091,0.625,0.008547008547008548,0.375,0.9914529914529915,0.7407407407407406,0.7280758546857721,7399.999999999992,14107.561561687855,176.69892193701742,14145.338271264769,14280.465993473816,14292.787754925072,13.74368042829488,3359,25.25563909774436,3544992,26654.075187969924,55,4298.127993855752,0.9836260791902351,1.0,0,0,0,11,1,0,0,2.357263799989596,smoke,20,1002,0.0,2.265625,3933.0458984375
central_crn_available_0ms,10,1,116,6,0.9090909090909091,0.625,0.008547008547008548,0.375,0.9914529914529915,0.7407407407407406,0.7280758546857721,7399.999999999992,14114.610946658078,0.0,14055.983583485726,14143.320753368613,14164.977992769089,1.0000000000012221,4436,33.35338345864662,3122944,23480.781954887218,79,5642.278445446431,0.9821911632100991,,0,0,0,11,1,0,0,1.296129900001688,smoke,20,1002,0.0,1.234375,3971.025390625
central_crn_operational_0ms,10,1,116,6,0.9090909090909091,0.625,0.008547008547008548,0.375,0.9914529914529915,0.7407407407407406,0.7280758546857721,7399.999999999992,14114.610946658078,0.0,14055.483934376356,14143.407534422402,14165.04352070809,1.0000000000012221,4436,33.35338345864662,3122944,23480.781954887218,79,5642.278445446431,0.9821911632100991,,0,0,0,11,1,0,0,1.336001399991801,smoke,20,1002,0.0,1.265625,3971.908203125
distributed_crn_honest,10,1,116,6,0.9090909090909091,0.625,0.008547008547008548,0.375,0.9914529914529915,0.7407407407407406,0.7280758546857721,7399.999999999992,14218.950787801186,230.32623348001914,14170.492714999276,14363.466416838077,14371.110000774308,14.990008586922343,3329,25.030075187969924,3858496,29011.248120300752,73,4225.955699846466,0.9780714929408231,1.0,0,0,0,11,1,0,0,2.2052227999956813,smoke,20,1003,0.0,2.09375,3863.654296875
central_crn_available_0ms,10,1,116,6,0.9090909090909091,0.625,0.008547008547008548,0.375,0.9914529914529915,0.7407407407407406,0.7280758546857721,7399.999999999992,14130.911833418853,0.0,14052.722226391354,14137.945855246202,14165.606849630936,1.0000000000012221,4442,33.3984962406015,3127168,23512.541353383458,88,5626.608742008185,0.9801891040072039,,0,0,0,11,1,0,0,1.5234875000023749,smoke,20,1003,0.0,1.453125,3974.0576171875
central_crn_operational_0ms,10,1,116,6,0.9090909090909091,0.625,0.008547008547008548,0.375,0.9914529914529915,0.7407407407407406,0.7280758546857721,7399.999999999992,14130.911833418853,0.0,14052.737212510423,14138.268219810963,14165.942295392288,1.0000000000012221,4442,33.3984962406015,3127168,23512.541353383458,88,5626.608742008185,0.9801891040072039,,0,0,0,11,1,0,0,1.219678199995542,smoke,20,1003,0.0,1.1875,3972.3271484375
distributed_crn_honest,10,1,116,6,0.9090909090909091,0.625,0.008547008547008548,0.375,0.9914529914529915,0.7407407407407406,0.7280758546857721,7399.999999999992,14123.66957615783,188.4780777009123,14156.583760454168,14294.591348781276,14313.444696247967,14.441721203205304,3301,24.81954887218045,3504544,26349.954887218046,52,4297.1577585186005,0.9842471978188427,1.0,0,0,0,11,1,0,0,2.3941102999961004,smoke,20,1004,0.0,2.359375,3824.162109375
central_crn_available_0ms,10,1,116,6,0.9090909090909091,0.625,0.008547008547008548,0.375,0.9914529914529915,0.7407407407407406,0.7280758546857721,7399.999999999992,14124.386632908838,0.0,14056.251483532009,14141.068697922927,14153.521170398999,1.0000000000012221,4394,33.037593984962406,3093376,23258.466165413534,74,5658.663098771138,0.9831588529813382,,0,0,0,11,1,0,0,1.731312899995828,smoke,20,1004,0.0,1.734375,3937.302734375
central_crn_operational_0ms,9,1,116,7,0.9,0.5625,0.008547008547008548,0.4375,0.9914529914529915,0.6923076923076923,0.6833973312109892,7399.999999999992,14125.10260009579,0.0,14056.159212460563,14141.099474126984,14153.535227565006,1.0000000000012221,4394,33.037593984962406,3093376,23258.466165413534,74,5658.663098771138,0.9831588529813382,,0,0,0,10,1,0,0,1.534206099982839,smoke,20,1004,0.0,1.484375,3936.3232421875
distributed_crn_honest,7,0,117,9,1.0,0.4375,0.0,0.5625,1.0,0.6086956521739131,0.6373774391990981,7399.999999999992,14118.292339069247,176.44487961367793,14153.770045890433,14260.7957434401,14265.547232288805,14.994576099838495,3161,23.76691729323308,3028064,22767.398496240603,69,4483.468368791765,0.9781714647263524,1.0,0,0,0,7,1,0,0,2.2803592999989633,smoke,20,1005,0.0,2.25,3679.3798828125
central_crn_available_0ms,7,0,117,9,1.0,0.4375,0.0,0.5625,1.0,0.6086956521739131,0.6373774391990981,7399.999999999992,14104.231140271542,0.0,14053.130751091572,14152.234321259071,14175.478134641984,1.0000000000012221,4404,33.11278195488722,3100416,23311.398496240603,92,5624.743921889266,0.9791099000908265,,0,0,0,7,1,0,0,1.6854772999940906,smoke,20,1005,0.0,1.65625,4033.36328125
central_crn_operational_0ms,7,0,117,9,1.0,0.4375,0.0,0.5625,1.0,0.6086956521739131,0.6373774391990981,7399.999999999992,14104.231140271542,0.0,14052.384662232536,14152.530422019809,14175.528485685025,1.0000000000012221,4404,33.11278195488722,3100416,23311.398496240603,92,5624.743921889266,0.9791099000908265,,0,0,0,7,1,0,0,1.5786077000084333,smoke,20,1005,0.0,1.578125,3929.98828125
distributed_crn_honest,9,1,116,7,0.9,0.5625,0.008547008547008548,0.4375,0.9914529914529915,0.6923076923076923,0.6833973312109892,7399.999999999992,14223.06823252199,205.62856345851887,14165.962710927353,14313.616583512146,14334.41635920252,15.13333284749585,3276,24.63157894736842,3455712,25982.796992481202,64,4297.413818278127,0.9804639804639804,1.0,0,0,0,10,1,0,0,2.519803300005151,smoke,20,1006,0.0,2.484375,3763.8505859375
central_crn_available_0ms,9,1,116,7,0.9,0.5625,0.008547008547008548,0.4375,0.9914529914529915,0.6923076923076923,0.6833973312109892,7399.999999999992,14115.559947902018,0.0,14054.548971592161,14140.026564702437,14171.265914687978,1.0000000000012221,4438,33.36842105263158,3124352,23491.36842105263,93,5596.893775574669,0.9790446146913024,,0,0,0,10,1,0,0,1.9072952000133228,smoke,20,1006,0.0,1.875,4065.01171875
central_crn_operational_0ms,9,1,116,7,0.9,0.5625,0.008547008547008548,0.4375,0.9914529914529915,0.6923076923076923,0.6833973312109892,7399.999999999992,14115.559947902018,0.0,14054.687640389884,14140.354923972674,14171.29226404858,1.0000000000012221,4438,33.36842105263158,3124352,23491.36842105263,93,5596.893775574669,0.9790446146913024,,0,0,0,10,1,0,0,1.626406199997291,smoke,20,1006,0.0,1.625,3961.99609375
distributed_crn_honest,10,1,116,6,0.9090909090909091,0.625,0.008547008547008548,0.375,0.9914529914529915,0.7407407407407406,0.7280758546857721,7399.999999999992,14202.342172846224,190.9533134312973,14182.355982026764,14321.967854453416,14338.37588484552,13.229542496175029,3309,24.8796992481203,3537344,26596.571428571428,58,4369.158671807222,0.9824720459353279,1.0,0,0,0,11,1,0,0,2.750559100008104,smoke,20,1007,0.0,2.71875,3752.443359375
