architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,topology,vehicle_count,seed,backhaul_extra_latency_ms,cpu_time_seconds,peak_memory_kb,source_architecture,derivation
central_crn_available_0ms,10,2,115,6,0.8333333333333334,0.625,0.017094017094017,0.375,0.9829059829059827,0.7142857142857143,0.6902493902658681,7399.999999999992,14116.76253420804,0.0,14052.124445432142,14138.294407249845,14157.74745506583,1.000000000001222,4382,32.94736842105263,3084928,23194.947368421053,66,5732.71106891838,0.9849383842994066,,0,0,0,12,1,0,0,1.3441493000136688,smoke,20,1001,0.0,1.3125,3940.697265625,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,10,1,116,6,0.9090909090909092,0.625,0.0085470085470085,0.375,0.9914529914529916,0.7407407407407406,0.7280758546857721,7399.999999999992,14114.610946658078,0.0,14055.983583485726,14143.320753368613,14164.977992769089,1.000000000001222,4436,33.35338345864662,3122944,23480.781954887218,79,5642.278445446431,0.9821911632100992,,0,0,0,11,1,0,0,1.296129900001688,smoke,20,1002,0.0,1.234375,3971.025390625,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,10,1,116,6,0.9090909090909092,0.625,0.0085470085470085,0.375,0.9914529914529916,0.7407407407407406,0.7280758546857721,7399.999999999992,14130.911833418852,0.0,14052.722226391354,14137.945855246202,14165.606849630936,1.000000000001222,4442,33.3984962406015,3127168,23512.541353383454,88,5626.608742008185,0.980189104007204,,0,0,0,11,1,0,0,1.5234875000023749,smoke,20,1003,0.0,1.453125,3974.0576171875,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,10,1,116,6,0.9090909090909092,0.625,0.0085470085470085,0.375,0.9914529914529916,0.7407407407407406,0.7280758546857721,7399.999999999992,14124.386632908838,0.0,14056.251483532007,14141.068697922929,14153.521170399,1.000000000001222,4394,33.037593984962406,3093376,23258.46616541353,74,5658.663098771138,0.9831588529813382,,0,0,0,11,1,0,0,1.731312899995828,smoke,20,1004,0.0,1.734375,3937.302734375,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,7,0,117,9,1.0,0.4375,0.0,0.5625,1.0,0.6086956521739131,0.6373774391990981,7399.999999999992,14104.231140271542,0.0,14053.130751091572,14152.234321259071,14175.478134641984,1.000000000001222,4404,33.11278195488722,3100416,23311.398496240603,92,5624.743921889266,0.9791099000908264,,0,0,0,7,1,0,0,1.6854772999940906,smoke,20,1005,0.0,1.65625,4033.36328125,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,9,1,116,7,0.9,0.5625,0.0085470085470085,0.4375,0.9914529914529916,0.6923076923076923,0.6833973312109892,7399.999999999992,14115.559947902018,0.0,14054.54897159216,14140.026564702435,14171.265914687978,1.000000000001222,4438,33.36842105263158,3124352,23491.36842105263,93,5596.893775574669,0.9790446146913024,,0,0,0,10,1,0,0,1.9072952000133228,smoke,20,1006,0.0,1.875,4065.01171875,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,10,1,116,6,0.9090909090909092,0.625,0.0085470085470085,0.375,0.9914529914529916,0.7407407407407406,0.7280758546857721,7399.999999999992,14118.63146085342,0.0,14057.533393468617,14172.775194090344,14189.425023892409,1.000000000001222,4430,33.30827067669173,3118720,23449.022556390977,90,5614.298298871423,0.979683972911964,,0,0,0,11,1,0,0,1.7462634000112305,smoke,20,1007,0.0,1.71875,4011.5849609375,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,9,1,116,7,0.9,0.5625,0.0085470085470085,0.4375,0.9914529914529916,0.6923076923076923,0.6833973312109892,7399.999999999992,14114.397684848442,0.0,14056.643199409296,14135.05279085177,14162.312550045852,1.000000000001222,4388,32.99248120300752,3089152,23226.70676691729,81,5637.038273473188,0.9815405651777576,,0,0,0,10,1,0,0,2.2834135000011884,smoke,20,1008,0.0,2.265625,3931.6064453125,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,10,1,116,6,0.9090909090909092,0.625,0.0085470085470085,0.375,0.9914529914529916,0.7407407407407406,0.7280758546857721,7399.999999999992,14139.306955766486,0.0,14056.068891460736,14158.226126158766,14184.709925147368,1.000000000001222,4407,33.13533834586466,3102528,23327.27819548872,89,5606.185933288039,0.9798048559110506,,0,0,0,11,1,0,0,2.219659700000193,smoke,20,1009,0.0,2.203125,3936.16015625,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,10,1,116,6,0.9090909090909092,0.625,0.0085470085470085,0.375,0.9914529914529916,0.7407407407407406,0.7280758546857721,7399.999999999992,14149.3190179551,0.0,14060.465642892954,14159.243738339686,14178.139595757297,1.000000000001222,4431,33.31578947368421,3119424,23454.315789473683,95,5623.775978334543,0.9785601444369216,,0,0,0,11,1,0,0,1.6545874000003096,smoke,20,1010,0.0,1.65625,3957.3671875,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,16,2,216,14,0.8888888888888888,0.5333333333333333,0.0091743119266055,0.4666666666666667,0.9908256880733946,0.6666666666666667,0.6587972361823574,8000.0,14272.931421139863,0.0,14084.656076349844,14255.459032080971,14337.441000659566,1.000000000001222,7915,31.91532258064516,5572160,22468.387096774197,141,6018.462901326789,0.9821857233101704,,0,0,0,18,1,0,0,3.451349299983121,smoke,40,1001,0.0,3.390625,7033.384765625,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
