event_id,case_id,observation_root_id,seed,vehicle_id,pseudonym,message_id,attack_type,detected_by,source_kind,validator_rsu_id,detected_at,ground_truth_malicious,direction,detector_confidence,source_reliability,freshness,verifiability,independence,raw_evidence_hash,geographic_cell,administrative_domain_id,sensor_modality,reason_codes,payload
det-7ccbbfc88cfcaafe7aa3d41f,case-corridor-1006-veh_000-benign,root-4a1c8957b699497d4fb4842d,1006,veh_000,ps-d23e9a2e8e32761c,cam-1006-veh_000-000000,benign,rsu-1,rsu,rsu-1,1.0,False,-1,0.78,0.96,0.99,0.76,0.92,e18a72fdacaa192109b79d99f1fc9e547984527c359d231c07d35d2c53f0e998,cell-0-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 1.0, ""compromised_rsu"": false, ""observer_distance_m"": 99.46883934177578}"
det-21691295dfae570fd8d2f597,case-corridor-1006-veh_000-benign,root-4a1c8957b699497d4fb4842d,1006,veh_000,ps-d23e9a2e8e32761c,cam-1006-veh_000-000000,benign,rsu-2,rsu,rsu-2,1.0,False,-1,0.78,0.948,0.99,0.76,0.68,f4941405f952d985b5c5110260dabc1183e6396b61c8f85d150c2d7b06c5cf2b,cell-1-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 1.0, ""compromised_rsu"": false, ""observer_distance_m"": 376.08250424607627}"
det-046b7db32dcf173490cfad61,case-corridor-1006-veh_000-benign,root-f975213e732eee5228f6744b,1006,veh_000,ps-d23e9a2e8e32761c,cam-1006-veh_000-000001,benign,rsu-1,rsu,rsu-1,2.0,False,-1,0.78,0.96,0.99,0.76,0.92,dbd648feb6f8e8870b55bf930d3663c2c8d18808a866ad9c402e8d86f795ae2b,cell-0-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 85.71042308375638}"
det-820edcd9bc7bbb90f40acd69,case-corridor-1006-veh_000-benign,root-f975213e732eee5228f6744b,1006,veh_000,ps-d23e9a2e8e32761c,cam-1006-veh_000-000001,benign,rsu-2,rsu,rsu-2,2.0,False,-1,0.78,0.948,0.99,0.76,0.68,b06d27d2e76eb569fbc91714fb5d05ee54f3a7a5df8e0364a9c0717133726fae,cell-1-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 361.5932013033937}"
det-bb480d7641c8f8a8634a7078,case-corridor-1006-veh_001-benign,root-4e5ad2f10deb2b34124cf7e9,1006,veh_001,ps-bc1c02440651b6a5,cam-1006-veh_001-000000,benign,rsu-5,rsu,rsu-5,2.0,False,-1,0.78,0.9119999999999999,0.99,0.76,0.92,27d8f07c9d3d0b6a86a3cace9be184204e5f360e1756cdf91ed0db3001b5fb4e,cell-5-0,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 315.5472230903008}"
det-a9bdc9f9368189e60f22e022,case-corridor-1006-veh_001-benign,root-4e5ad2f10deb2b34124cf7e9,1006,veh_001,ps-bc1c02440651b6a5,cam-1006-veh_001-000000,benign,rsu-6,rsu,rsu-6,2.0,False,-1,0.78,0.8999999999999999,0.99,0.76,0.68,f43dc798e7618aa50594594756b53af85907175d6e67a6765c5c1c7d198b03c0,cell-6-0,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 49.23464227553612}"
det-e9e7c0d7785b411f63530fbc,case-corridor-1006-veh_000-benign,root-fe6f98ef3029962c9169441b,1006,veh_000,ps-d23e9a2e8e32761c,cam-1006-veh_000-000002,benign,rsu-1,rsu,rsu-1,3.0,False,-1,0.78,0.96,0.99,0.76,0.92,24763f3970895c3a280470e1e3d7c39e4462a8773e5987390d5aa88d36bd9aef,cell-0-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 70.35969644123838}"
det-829d0a55baa1297bd669649d,case-corridor-1006-veh_000-benign,root-fe6f98ef3029962c9169441b,1006,veh_000,ps-d23e9a2e8e32761c,cam-1006-veh_000-000002,benign,rsu-2,rsu,rsu-2,3.0,False,-1,0.78,0.948,0.99,0.76,0.68,2f717a8e0727c3c4ab4ab8609e57474590ec5b291f24b7d1562bc9dc1b80a537,cell-1-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 345.0266513415524}"
wdet-59a2bd720b0c3d8860ae78ea,case-corridor-1006-veh_000-benign,wroot-6e2c75a8c6d66984661c38b5,1006,veh_000,ps-d23e9a2e8e32761c,cam-1006-veh_000-000002,benign,veh_002,vehicle_witness,rsu-1,3.0,False,-1,0.78,0.6880042733428119,0.99,0.76,0.9480987921241802,23cc5df41398cb96fc737541ca80988b1291ebac2643a673327790cc28324cb7,cell-0--1,domain-1,vehicle_witness_observation,clean_observation,"{""case_opened_at"": 3.0, ""compromised_witness"": false, ""witness_distance_m"": 31.16267276310362}"
det-2863eab8b5f184c6a346a7fa,case-corridor-1006-veh_001-benign,root-ddedf8857c11cc37a52f9564,1006,veh_001,ps-bc1c02440651b6a5,cam-1006-veh_001-000001,benign,rsu-5,rsu,rsu-5,3.0,False,-1,0.78,0.9119999999999999,0.99,0.76,0.92,e83aac49d930271a214dbb79a1bef5d855a73bfc8935fb40af0d20ae17cf713e,cell-5-0,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 300.31340680128335}"
