event_id,case_id,observation_root_id,seed,vehicle_id,pseudonym,message_id,attack_type,detected_by,source_kind,validator_rsu_id,detected_at,ground_truth_malicious,direction,detector_confidence,source_reliability,freshness,verifiability,independence,raw_evidence_hash,geographic_cell,administrative_domain_id,sensor_modality,reason_codes,payload
det-8b654d3061177d60e6226d66,case-corridor-1007-veh_000-benign,root-82ca7de2390510653c9c38f4,1007,veh_000,ps-6b902019cc4e2318,cam-1007-veh_000-000000,benign,rsu-1,rsu,rsu-1,1.0,False,-1,0.78,0.96,0.99,0.76,0.92,fe76b7487f2c9ed1215b76d566943d5a9313b99baf31044257e57e9546562c64,cell-0-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 1.0, ""compromised_rsu"": false, ""observer_distance_m"": 99.46883934177578}"
det-8293d07766ab72a9276ea9de,case-corridor-1007-veh_000-benign,root-82ca7de2390510653c9c38f4,1007,veh_000,ps-6b902019cc4e2318,cam-1007-veh_000-000000,benign,rsu-2,rsu,rsu-2,1.0,False,-1,0.78,0.948,0.99,0.76,0.68,705544db9852ed719fa2c674d66883b01c7ed14986f2ae0e3d580e083cc6c046,cell-1-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 1.0, ""compromised_rsu"": false, ""observer_distance_m"": 376.08250424607627}"
det-cb06bb6a9863428ebcaa9f1b,case-corridor-1007-veh_000-benign,root-e2da95b6ee085b3d024ba1aa,1007,veh_000,ps-6b902019cc4e2318,cam-1007-veh_000-000001,benign,rsu-1,rsu,rsu-1,2.0,False,-1,0.78,0.96,0.99,0.76,0.92,1ca945c8507c84c133c8205f14618ece4c4a7f6fbf7a3bce247be2b47ea13bcc,cell-0-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 85.88812816687035}"
det-d7c94b64cb190955aa098922,case-corridor-1007-veh_000-benign,root-e2da95b6ee085b3d024ba1aa,1007,veh_000,ps-6b902019cc4e2318,cam-1007-veh_000-000001,benign,rsu-2,rsu,rsu-2,2.0,False,-1,0.78,0.948,0.99,0.76,0.68,5dfe6ca4672e690a24a3de5e6430a239ed827b32369280b5b7cd92f6dcd4ff6c,cell-1-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 361.78205941648696}"
det-5c8c92b187b031202443f339,case-corridor-1007-veh_001-benign,root-1ac3604d633b7548190393eb,1007,veh_001,ps-13e9c71e5c2d7b79,cam-1007-veh_001-000000,benign,rsu-5,rsu,rsu-5,2.0,False,-1,0.78,0.9119999999999999,0.99,0.76,0.92,a773091b1f67e3a504140bdcf2799bf672cfe67faf1cc642c5824a660a71468f,cell-5-0,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 315.5472230903008}"
det-c806379185b7b85e797821eb,case-corridor-1007-veh_001-benign,root-1ac3604d633b7548190393eb,1007,veh_001,ps-13e9c71e5c2d7b79,cam-1007-veh_001-000000,benign,rsu-6,rsu,rsu-6,2.0,False,-1,0.78,0.8999999999999999,0.99,0.76,0.68,6aca95b1c1ada7e754f910cae4f16fdce7b387fe1bbcb37df6a179b52b80b6f1,cell-6-0,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 49.23464227553612}"
det-1db79039200aa723dfb1e745,case-corridor-1007-veh_000-benign,root-5ea6192466b8686bf8fecd36,1007,veh_000,ps-6b902019cc4e2318,cam-1007-veh_000-000002,benign,rsu-1,rsu,rsu-1,3.0,False,-1,0.78,0.96,0.99,0.76,0.92,5bf0048bb1a145967f153868db45487a9c7bc5c26011ce6b0c7cc191daa73ea0,cell-0-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 70.64533546349732}"
det-1a9b0d74dcfb6cbe3e0f4909,case-corridor-1007-veh_000-benign,root-5ea6192466b8686bf8fecd36,1007,veh_000,ps-6b902019cc4e2318,cam-1007-veh_000-000002,benign,rsu-2,rsu,rsu-2,3.0,False,-1,0.78,0.948,0.99,0.76,0.68,8c9e1d15d542ae1bc0593bc529886046e4f1405799dc6651bdb56576a1e9441b,cell-1-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 345.3406525972547}"
wdet-dbc698446a91e4e1c654665a,case-corridor-1007-veh_000-benign,wroot-f3bc769e47dd6b82097dfacb,1007,veh_000,ps-6b902019cc4e2318,cam-1007-veh_000-000002,benign,veh_002,vehicle_witness,rsu-1,3.0,False,-1,0.78,0.8614626375641913,0.99,0.76,0.9012048598297684,aaa08240ed1eb7327caadce121a8c9eff4c1e04df9f0112c15a6cac4abb92779,cell-0--1,domain-1,vehicle_witness_observation,clean_observation,"{""case_opened_at"": 3.0, ""compromised_witness"": false, ""witness_distance_m"": 30.847494797236287}"
det-1b99ceec2a376ef3d5e69dc3,case-corridor-1007-veh_001-benign,root-9b6d0ced05002bea17a1fb40,1007,veh_001,ps-13e9c71e5c2d7b79,cam-1007-veh_001-000001,benign,rsu-5,rsu,rsu-5,3.0,False,-1,0.78,0.9119999999999999,0.99,0.76,0.92,3349661bb0f814c165f0b6063b065e2ee9c03ac7a2e63ae1b1581b015b989275,cell-5-0,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 300.35982934309817}"
det-ef94e3d37049646b37c5f198,case-corridor-1007-veh_001-benign,root-9b6d0ced05002bea17a1fb40,1007,veh_001,ps-13e9c71e5c2d7b79,cam-1007-veh_001-000001,benign,rsu-6,rsu,rsu-6,3.0,False,-1,0.78,0.8999999999999999,0.99,0.76,0.68,6cd2944cd46fe7f3e6b82a847a7caca1846f9428ce4ffe6de52325ab5759b8e9,cell-6-0,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 35.90168490694239}"
det-08455df012ac7bacbc967a2f,case-corridor-1007-veh_002-benign,root-25f97912d9304dced4fb159f,1007,veh_002,ps-e4ac452de5477b38,cam-1007-veh_002-000000,benign,rsu-1,rsu,rsu-1,3.0,False,-1,0.78,0.96,0.99,0.76,0.92,8183600bb7bc0e96163b3dfbdb8dbbda91bba03ae7ae3e2ce3a8f4c086dd8ec6,cell-0-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 99.46883934177578}"
det-8011d7ac92873d327d6186d6,case-corridor-1007-veh_002-benign,root-25f97912d9304dced4fb159f,1007,veh_002,ps-e4ac452de5477b38,cam-1007-veh_002-000000,benign,rsu-2,rsu,rsu-2,3.0,False,-1,0.78,0.948,0.99,0.76,0.68,680e757e37edf157cb34a915a9d7b407c75e6412b3defd68953654cd511426ad,cell-1-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 376.08250424607627}"
