case_id,vehicle_id,attack_type,ground_truth_malicious,first_message_at,last_message_at
case-grid-1005-veh_000-benign,veh_000,benign,0,1.0,95.0
case-grid-1005-veh_001-benign,veh_001,benign,0,2.0,95.0
case-grid-1005-veh_002-benign,veh_002,benign,0,3.0,95.0
case-grid-1005-veh_002-position_offset,veh_002,position_offset,1,18.0,70.0
case-grid-1005-veh_003-benign,veh_003,benign,0,4.0,95.0
case-grid-1005-veh_004-benign,veh_004,benign,0,5.0,74.0
case-grid-1005-veh_004-speed_offset,veh_004,speed_offset,1,20.0,72.0
case-grid-1005-veh_005-benign,veh_005,benign,0,6.0,71.0
case-grid-1005-veh_006-benign,veh_006,benign,0,7.0,21.0
case-grid-1005-veh_006-replay,veh_006,replay,1,22.0,66.0
case-grid-1005-veh_007-benign,veh_007,benign,0,8.0,67.0
case-grid-1005-veh_008-benign,veh_008,benign,0,9.0,95.0
case-grid-1005-veh_008-certificate_tamper,veh_008,certificate_tamper,1,24.0,76.0
case-grid-1005-veh_009-benign,veh_009,benign,0,10.0,95.0
case-grid-1005-veh_010-benign,veh_010,benign,0,11.0,95.0
case-grid-1005-veh_010-flood,veh_010,flood,1,26.0,78.0
case-grid-1005-veh_011-benign,veh_011,benign,0,12.0,95.0
case-grid-1005-veh_012-benign,veh_012,benign,0,13.0,84.0
case-grid-1005-veh_012-false_denm,veh_012,false_denm,1,28.0,80.0
case-grid-1005-veh_013-benign,veh_013,benign,0,14.0,84.0
case-grid-1005-veh_014-benign,veh_014,benign,0,15.0,29.0
case-grid-1005-veh_014-mixed,veh_014,mixed,1,30.0,79.0
case-grid-1005-veh_015-benign,veh_015,benign,0,16.0,68.0
case-grid-1005-veh_016-benign,veh_016,benign,0,17.0,95.0
case-grid-1005-veh_017-benign,veh_017,benign,0,18.0,95.0
case-grid-1005-veh_018-benign,veh_018,benign,0,19.0,95.0
case-grid-1005-veh_019-benign,veh_019,benign,0,20.0,95.0
case-grid-1005-veh_020-benign,veh_020,benign,0,21.0,85.0
case-grid-1005-veh_021-benign,veh_021,benign,0,22.0,85.0
case-grid-1005-veh_022-benign,veh_022,benign,0,23.0,81.0
case-grid-1005-veh_023-benign,veh_023,benign,0,24.0,78.0
