event_id,case_id,observation_root_id,seed,vehicle_id,pseudonym,message_id,attack_type,detected_by,source_kind,validator_rsu_id,detected_at,ground_truth_malicious,direction,detector_confidence,source_reliability,freshness,verifiability,independence,raw_evidence_hash,geographic_cell,administrative_domain_id,sensor_modality,reason_codes,payload
det-c8b099e8a8a3e6940ded257c,case-grid-1005-veh_000-benign,root-63120c563e05bdcf854b9729,1005,veh_000,ps-e26fbc5b00543bc6,cam-1005-veh_000-000000,benign,rsu-1,rsu,rsu-1,1.0,False,-1,0.78,0.96,0.99,0.76,0.92,86c49257f336a25c06b574a32b4131457c53c6d6a9890aa6abe12d4494a7e20b,cell-0-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 1.0, ""compromised_rsu"": false, ""observer_distance_m"": 191.7066769833539}"
det-941e6773079cd5cc90a886d5,case-grid-1005-veh_000-benign,root-63120c563e05bdcf854b9729,1005,veh_000,ps-e26fbc5b00543bc6,cam-1005-veh_000-000000,benign,rsu-6,rsu,rsu-6,1.0,False,-1,0.78,0.8999999999999999,0.99,0.76,0.68,d149c6929295673e853ae1fad81177899b7661a1dde8369bbaa880baa64a85b3,cell-0-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 1.0, ""compromised_rsu"": false, ""observer_distance_m"": 401.6857602654095}"
det-9ceec32e213f6df5cb26509e,case-grid-1005-veh_000-benign,root-5ba81a295f38f65d0aaeaea1,1005,veh_000,ps-e26fbc5b00543bc6,cam-1005-veh_000-000001,benign,rsu-1,rsu,rsu-1,2.0,False,-1,0.78,0.96,0.99,0.76,0.92,85b645747ba89b10ae8d8749efa39690e50ccb13de5b72cbe9fbb18c7014e928,cell-0-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 177.40526211816643}"
det-67965fb691701ba534d2792e,case-grid-1005-veh_000-benign,root-5ba81a295f38f65d0aaeaea1,1005,veh_000,ps-e26fbc5b00543bc6,cam-1005-veh_000-000001,benign,rsu-6,rsu,rsu-6,2.0,False,-1,0.78,0.8999999999999999,0.99,0.76,0.68,97082ed770220cda800415ff9c4e9ce7ba247d5b0e7f7f89bcc9289d5cfb1c96,cell-0-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 402.2355134570601}"
det-556e2460bae6a7ae901ec70f,case-grid-1005-veh_001-benign,root-1e97471f7ad2b22033b3e1fe,1005,veh_001,ps-54653f2b2619718e,cam-1005-veh_001-000000,benign,rsu-3,rsu,rsu-3,2.0,False,-1,0.78,0.9359999999999999,0.99,0.76,0.92,948c0df7528a6ef717642d4946bc866f16894617851fe5dc498b2005f532e573,cell-3-1,domain-2,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 391.70326779336415}"
det-3b0e8e99a59268d0ba6cd222,case-grid-1005-veh_001-benign,root-1e97471f7ad2b22033b3e1fe,1005,veh_001,ps-54653f2b2619718e,cam-1005-veh_001-000000,benign,rsu-4,rsu,rsu-4,2.0,False,-1,0.78,0.9239999999999999,0.99,0.76,0.68,9fcf4e1ce637d992656239f2c032251fabc41d028bb8504cdb630fd0c078831a,cell-2-3,domain-2,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 198.57353801551704}"
det-752a90077f4c8dc20b2a3f98,case-grid-1005-veh_000-benign,root-3edad6acb605e07ae338c301,1005,veh_000,ps-e26fbc5b00543bc6,cam-1005-veh_000-000002,benign,rsu-1,rsu,rsu-1,3.0,False,-1,0.78,0.96,0.99,0.76,0.92,ff7f3e3416262bd89c779e7ecf5e969c68a50191b136f9f346823dfd5411a81e,cell-0-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 162.82572495530587}"
det-d10fe1b23648cb2209cfeb62,case-grid-1005-veh_000-benign,root-3edad6acb605e07ae338c301,1005,veh_000,ps-e26fbc5b00543bc6,cam-1005-veh_000-000002,benign,rsu-6,rsu,rsu-6,3.0,False,-1,0.78,0.8999999999999999,0.99,0.76,0.68,9cd74d9c6279988874ac93df86fb2d91a9761274d238d1af12239cdee6daba5b,cell-0-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 403.3175811532136}"
det-5b7493ba558173f0dc650987,case-grid-1005-veh_001-benign,root-ec3b8a5af57df814f083a227,1005,veh_001,ps-54653f2b2619718e,cam-1005-veh_001-000001,benign,rsu-3,rsu,rsu-3,3.0,False,-1,0.78,0.9359999999999999,0.99,0.76,0.92,40e71561090841aad08296d72397e0392e6caab0777fe0b9054116f7faec84ff,cell-3-1,domain-2,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 378.7192413818083}"
det-7859fcff0183233ebef434f1,case-grid-1005-veh_001-benign,root-ec3b8a5af57df814f083a227,1005,veh_001,ps-54653f2b2619718e,cam-1005-veh_001-000001,benign,rsu-4,rsu,rsu-4,3.0,False,-1,0.78,0.9239999999999999,0.99,0.76,0.68,cf0d170f8cfc59c15638a704a175dcd7fb277bb29cda9cd520fbb12573304586,cell-2-3,domain-2,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 199.53840369556912}"
