event_id,case_id,observation_root_id,seed,vehicle_id,pseudonym,message_id,attack_type,detected_by,source_kind,validator_rsu_id,detected_at,ground_truth_malicious,direction,detector_confidence,source_reliability,freshness,verifiability,independence,raw_evidence_hash,geographic_cell,administrative_domain_id,sensor_modality,reason_codes,payload
det-7ccbbfc88cfcaafe7aa3d41f,case-grid-1006-veh_000-benign,root-4a1c8957b699497d4fb4842d,1006,veh_000,ps-d23e9a2e8e32761c,cam-1006-veh_000-000000,benign,rsu-1,rsu,rsu-1,1.0,False,-1,0.78,0.96,0.99,0.76,0.92,e18a72fdacaa192109b79d99f1fc9e547984527c359d231c07d35d2c53f0e998,cell-0-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 1.0, ""compromised_rsu"": false, ""observer_distance_m"": 191.7066769833539}"
det-982044bc3c657e40b25bf1be,case-grid-1006-veh_000-benign,root-4a1c8957b699497d4fb4842d,1006,veh_000,ps-d23e9a2e8e32761c,cam-1006-veh_000-000000,benign,rsu-6,rsu,rsu-6,1.0,False,-1,0.78,0.8999999999999999,0.99,0.76,0.68,2d3ce70a81a18bc5bcb1c0eb2994a5b739e64d33914eb3de2e9129133b5ca267,cell-0-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 1.0, ""compromised_rsu"": false, ""observer_distance_m"": 401.6857602654095}"
det-046b7db32dcf173490cfad61,case-grid-1006-veh_000-benign,root-f975213e732eee5228f6744b,1006,veh_000,ps-d23e9a2e8e32761c,cam-1006-veh_000-000001,benign,rsu-1,rsu,rsu-1,2.0,False,-1,0.78,0.96,0.99,0.76,0.92,dbd648feb6f8e8870b55bf930d3663c2c8d18808a866ad9c402e8d86f795ae2b,cell-0-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 177.37811046606146}"
det-c73b67b93e3f919e7615af01,case-grid-1006-veh_000-benign,root-f975213e732eee5228f6744b,1006,veh_000,ps-d23e9a2e8e32761c,cam-1006-veh_000-000001,benign,rsu-6,rsu,rsu-6,2.0,False,-1,0.78,0.8999999999999999,0.99,0.76,0.68,f657b66164918fa219720ea1e8ab7761e538bfbb486898ca377258ee1862cc85,cell-0-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 402.23704010695263}"
det-65e16493cb87e90165d87449,case-grid-1006-veh_001-benign,root-4e5ad2f10deb2b34124cf7e9,1006,veh_001,ps-bc1c02440651b6a5,cam-1006-veh_001-000000,benign,rsu-3,rsu,rsu-3,2.0,False,-1,0.78,0.9359999999999999,0.99,0.76,0.92,b61f3016185b85d2df2d90773624788f1c4099abecdf4b206bdd53ee9479fda3,cell-3-1,domain-2,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 391.70326779336415}"
det-8e4590d5e0b2229612e6ae33,case-grid-1006-veh_001-benign,root-4e5ad2f10deb2b34124cf7e9,1006,veh_001,ps-bc1c02440651b6a5,cam-1006-veh_001-000000,benign,rsu-4,rsu,rsu-4,2.0,False,-1,0.78,0.9239999999999999,0.99,0.76,0.68,1f3c5b52057baa6b990b07ab3f47ec56292beac52c9e34f37a5e63901079060a,cell-2-3,domain-2,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 198.57353801551704}"
det-e9e7c0d7785b411f63530fbc,case-grid-1006-veh_000-benign,root-fe6f98ef3029962c9169441b,1006,veh_000,ps-d23e9a2e8e32761c,cam-1006-veh_000-000002,benign,rsu-1,rsu,rsu-1,3.0,False,-1,0.78,0.96,0.99,0.76,0.92,24763f3970895c3a280470e1e3d7c39e4462a8773e5987390d5aa88d36bd9aef,cell-0-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 163.39956339256162}"
det-e7aa1f29963f47924c8d5deb,case-grid-1006-veh_000-benign,root-fe6f98ef3029962c9169441b,1006,veh_000,ps-d23e9a2e8e32761c,cam-1006-veh_000-000002,benign,rsu-6,rsu,rsu-6,3.0,False,-1,0.78,0.8999999999999999,0.99,0.76,0.68,77fb6c70ef4eb51ad209641e9933911275c830cfb67020adc17d67d667b13cfd,cell-0-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 403.26508088138985}"
det-a86db5386e67ae75417bae66,case-grid-1006-veh_001-benign,root-ddedf8857c11cc37a52f9564,1006,veh_001,ps-bc1c02440651b6a5,cam-1006-veh_001-000001,benign,rsu-3,rsu,rsu-3,3.0,False,-1,0.78,0.9359999999999999,0.99,0.76,0.92,b0e85b1021fc115e296deb43e38ec4f70343ce0d113a33c4c1386716625f322a,cell-3-1,domain-2,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 379.1695707607623}"
det-c6a7d609aeea254067e0e842,case-grid-1006-veh_001-benign,root-ddedf8857c11cc37a52f9564,1006,veh_001,ps-bc1c02440651b6a5,cam-1006-veh_001-000001,benign,rsu-4,rsu,rsu-4,3.0,False,-1,0.78,0.9239999999999999,0.99,0.76,0.68,cbfdf3c8ad0195d10bbd07ba1f8ec3e007510aefcf8491a909378af12020f023,cell-2-3,domain-2,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 199.49087055043177}"
