event_id,case_id,observation_root_id,seed,vehicle_id,pseudonym,message_id,attack_type,detected_by,source_kind,validator_rsu_id,detected_at,ground_truth_malicious,direction,detector_confidence,source_reliability,freshness,verifiability,independence,raw_evidence_hash,geographic_cell,administrative_domain_id,sensor_modality,reason_codes,payload
det-4e028f6fd2e08b443a56d295,case-smoke-1002-veh_000-benign,root-b8ecc4158ff5283a0d670a7f,1002,veh_000,ps-d597c8f9a277d176,cam-1002-veh_000-000000,benign,rsu-1,rsu,rsu-1,1.0,False,-1,0.78,0.96,0.99,0.76,0.92,c60879cc6b4142ed87c7446279ab7034b33a8814ba48bbcf0704973ee9477931,cell-1-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 1.0, ""compromised_rsu"": false, ""observer_distance_m"": 241.70529576324967}"
det-26520e91c0dd5e360e859464,case-smoke-1002-veh_000-benign,root-b8ecc4158ff5283a0d670a7f,1002,veh_000,ps-d597c8f9a277d176,cam-1002-veh_000-000000,benign,rsu-6,rsu,rsu-6,1.0,False,-1,0.78,0.88,0.99,0.76,0.68,5cbdf2339da13a5528578601491299918491e2575f08277adcba8bfd045aab36,cell-0-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 1.0, ""compromised_rsu"": false, ""observer_distance_m"": 251.7368665889047}"
det-d52e6e78b45a91bdde6bb7a4,case-smoke-1002-veh_000-benign,root-ebecf551dbb2d482cc06ce92,1002,veh_000,ps-d597c8f9a277d176,cam-1002-veh_000-000001,benign,rsu-1,rsu,rsu-1,2.0,False,-1,0.78,0.96,0.99,0.76,0.92,8432273af26418ce566c4596726a347ba1265614c9e98355fd0eb3beea3f09af,cell-1-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 227.2864352843924}"
det-d861f7f6007da56031e7a3f8,case-smoke-1002-veh_000-benign,root-ebecf551dbb2d482cc06ce92,1002,veh_000,ps-d597c8f9a277d176,cam-1002-veh_000-000001,benign,rsu-6,rsu,rsu-6,2.0,False,-1,0.78,0.88,0.99,0.76,0.68,5c738b7eaa11c7668d7dfb886d10fb0c78dedf56db51021ffa7c43478dfe31f6,cell-0-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 252.62367641838028}"
wdet-e9ddb3f7bcd54fc1ff6be84f,case-smoke-1002-veh_000-benign,wroot-793f5f157d1a6e759c577b51,1002,veh_000,ps-d597c8f9a277d176,cam-1002-veh_000-000001,benign,veh_001,vehicle_witness,rsu-6,2.0,False,1,0.62,0.42234774384761964,0.99,0.86,0.8000004209710522,6a5e58653122efe3880de2d9f0027b9cadb095f01f8df1ad14d16b49ec14be2b,cell-0-0,domain-3,vehicle_witness_observation,compromised_witness_false_report,"{""case_opened_at"": 2.0, ""compromised_witness"": true, ""witness_distance_m"": 23.324460519211478}"
det-8a2acd61c7aacb149fde0811,case-smoke-1002-veh_001-benign,root-72209ca715d0e8981981d327,1002,veh_001,ps-77d642c9a0d48215,cam-1002-veh_001-000000,benign,rsu-1,rsu,rsu-1,2.0,False,-1,0.78,0.96,0.99,0.76,0.92,502868fb3dece01d2cf6019090cde264a58ad4a5fdf9de5f08ebebe0bef89f63,cell-1-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 248.5386287883636}"
det-8f0b708bb9f230847013c8ba,case-smoke-1002-veh_001-benign,root-72209ca715d0e8981981d327,1002,veh_001,ps-77d642c9a0d48215,cam-1002-veh_001-000000,benign,rsu-6,rsu,rsu-6,2.0,False,-1,0.78,0.88,0.99,0.76,0.68,97d7af2b1886b0a3f33325ee1705cd6d944eb85cbb841c862d798c823c359f5d,cell-0-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 241.70529576324967}"
wdet-976d4b1de1ffbf29757703c4,case-smoke-1002-veh_001-benign,wroot-2409829c31d589dba5a2653f,1002,veh_001,ps-77d642c9a0d48215,cam-1002-veh_001-000000,benign,veh_000,vehicle_witness,rsu-1,2.0,False,-1,0.78,0.9100530965270845,0.99,0.76,0.803581947294724,d58827e552b7ead38bbb9a842d82821bdf46fbe159d2c3bafdc599c710df3157,cell-0--1,domain-1,vehicle_witness_observation,clean_observation,"{""case_opened_at"": 2.0, ""compromised_witness"": false, ""witness_distance_m"": 23.324460519211478}"
det-5c17e6599e97733abcb10c47,case-smoke-1002-veh_000-benign,root-29dc78342da8cb56adffb2ec,1002,veh_000,ps-d597c8f9a277d176,cam-1002-veh_000-000002,benign,rsu-1,rsu,rsu-1,3.0,False,-1,0.78,0.96,0.99,0.76,0.92,2f0e34675d20c8265e7b02524b4296ef3c62a01d6bd3e4f7ead5d1c107442a4e,cell-1-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 210.90085693706763}"
det-344c548cf65040cdf5bd9535,case-smoke-1002-veh_000-benign,root-29dc78342da8cb56adffb2ec,1002,veh_000,ps-d597c8f9a277d176,cam-1002-veh_000-000002,benign,rsu-6,rsu,rsu-6,3.0,False,-1,0.78,0.88,0.99,0.76,0.68,1d7d75499c602485935803b464cf7680f8c8192a885a28edd76ad2a2fb507544,cell-0-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 254.6208507431229}"
