event_id,case_id,observation_root_id,seed,vehicle_id,pseudonym,message_id,attack_type,detected_by,source_kind,validator_rsu_id,detected_at,ground_truth_malicious,direction,detector_confidence,source_reliability,freshness,verifiability,independence,raw_evidence_hash,geographic_cell,administrative_domain_id,sensor_modality,reason_codes,payload
det-23eb32a76c892c83112c06c8,case-smoke-1003-veh_000-benign,root-1372a2e9fdbf236a9fce8dc6,1003,veh_000,ps-9fde33d38ecdbfb0,cam-1003-veh_000-000000,benign,rsu-1,rsu,rsu-1,1.0,False,-1,0.78,0.96,0.99,0.76,0.92,6e5fe26884540b2c227fa2214144096be4d087f115546eb8cd98cb7c8bd72303,cell-1-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 1.0, ""compromised_rsu"": false, ""observer_distance_m"": 241.70529576324967}"
det-9fbbbc163856315ce5a0466a,case-smoke-1003-veh_000-benign,root-1372a2e9fdbf236a9fce8dc6,1003,veh_000,ps-9fde33d38ecdbfb0,cam-1003-veh_000-000000,benign,rsu-6,rsu,rsu-6,1.0,False,-1,0.78,0.88,0.99,0.76,0.68,5416b0babfb7e4d8e9a25d3f87f3b1622dbc08c89e30db9b697c619974cb7544,cell-0-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 1.0, ""compromised_rsu"": false, ""observer_distance_m"": 251.7368665889047}"
det-88818f2a49fd9c4ef35879ab,case-smoke-1003-veh_000-benign,root-f3b75de632be1096b786a679,1003,veh_000,ps-9fde33d38ecdbfb0,cam-1003-veh_000-000001,benign,rsu-1,rsu,rsu-1,2.0,False,-1,0.78,0.96,0.99,0.76,0.92,6b44f27b68fe6216369c78528971c286bd01c73acf77f29a61bf0f1c66ebacbd,cell-1-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 227.59508303998328}"
det-456be40ecbd5141ed0ee9dd2,case-smoke-1003-veh_000-benign,root-f3b75de632be1096b786a679,1003,veh_000,ps-9fde33d38ecdbfb0,cam-1003-veh_000-000001,benign,rsu-6,rsu,rsu-6,2.0,False,-1,0.78,0.88,0.99,0.76,0.68,b323095906af19dcf47ed16e4996369a16f158bc92effcc271f43adb6f3e77b7,cell-0-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 252.59610517636574}"
wdet-e97169986167377e7300474b,case-smoke-1003-veh_000-benign,wroot-352bccba19cb653b2e7eebd6,1003,veh_000,ps-9fde33d38ecdbfb0,cam-1003-veh_000-000001,benign,veh_001,vehicle_witness,rsu-6,2.0,False,-1,0.78,0.6557060757019606,0.99,0.76,0.9239504839377961,564328b859747bae11c57596c6fe33180eebb0738c46d586657b7df4982c3005,cell-0-0,domain-3,vehicle_witness_observation,clean_observation,"{""case_opened_at"": 2.0, ""compromised_witness"": false, ""witness_distance_m"": 23.04536002976185}"
det-32b1fe7c285500351539aa97,case-smoke-1003-veh_001-benign,root-92406b8dc64709369b75548b,1003,veh_001,ps-f81289df65d05ff0,cam-1003-veh_001-000000,benign,rsu-1,rsu,rsu-1,2.0,False,-1,0.78,0.96,0.99,0.76,0.92,015574e2b4ab63a8858ad9d1ca4af12e445a9c642f5e0d4a8ff1edaf2b808a5d,cell-1-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 248.5386287883636}"
det-92deb73dfd3cda216dc36c96,case-smoke-1003-veh_001-benign,root-92406b8dc64709369b75548b,1003,veh_001,ps-f81289df65d05ff0,cam-1003-veh_001-000000,benign,rsu-6,rsu,rsu-6,2.0,False,-1,0.78,0.88,0.99,0.76,0.68,aa18e8c58d0fa2dd5be1e5a4f91acd909b732bfe0821a93afa1739cf9ba1ee34,cell-0-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 2.0, ""compromised_rsu"": false, ""observer_distance_m"": 241.70529576324967}"
wdet-f106a1da9727644c300fea23,case-smoke-1003-veh_001-benign,wroot-da7662cf2cccfcd12792705c,1003,veh_001,ps-f81289df65d05ff0,cam-1003-veh_001-000000,benign,veh_000,vehicle_witness,rsu-1,2.0,False,1,0.62,0.47520877357989116,0.99,0.86,0.908287010097358,33dae85442f633f524c1c53bc93556d2e1ccd7b0b2c71e2b8aa7cf4e2938bc20,cell-0--1,domain-1,vehicle_witness_observation,compromised_witness_false_report,"{""case_opened_at"": 2.0, ""compromised_witness"": true, ""witness_distance_m"": 23.04536002976185}"
det-335303743decc5122eb239e9,case-smoke-1003-veh_000-benign,root-efdd47ae1bdd5228c3e866a6,1003,veh_000,ps-9fde33d38ecdbfb0,cam-1003-veh_000-000002,benign,rsu-1,rsu,rsu-1,3.0,False,-1,0.78,0.96,0.99,0.76,0.92,50dfddd741f1ab5ac94417b7be3cc68f0b29e3d45970a6734daf7a3f607f45a4,cell-1-0,domain-1,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 212.31824610542316}"
det-1c1327802047cb533646df76,case-smoke-1003-veh_000-benign,root-efdd47ae1bdd5228c3e866a6,1003,veh_000,ps-9fde33d38ecdbfb0,cam-1003-veh_000-000002,benign,rsu-6,rsu,rsu-6,3.0,False,-1,0.78,0.88,0.99,0.76,0.68,0b99b88abd8cd097a8dc6e9e9babd8bcf1044ea3a4a52d412f31f1e4f3b8796e,cell-0-1,domain-3,rsu_cam_plausibility,clean_observation,"{""case_opened_at"": 3.0, ""compromised_rsu"": false, ""observer_distance_m"": 254.40701437318714}"
