case_id,observation_root_id,seed,attack_type,label,validity,direction,source_id,source_kind,validator_rsu_id,administrative_domain_id,geographic_cell,sensor_modality,detector_confidence,source_reliability,freshness,verifiability,independence,observed_at,reason_codes
case-smoke-1005-veh_000-benign,root-63120c563e05bdcf854b9729,1005,benign,0,1,-1,rsu-1,rsu,rsu-1,domain-1,cell-1-0,rsu_cam_plausibility,0.78,0.96,0.99,0.76,0.92,1.0,clean_observation
case-smoke-1005-veh_000-benign,root-63120c563e05bdcf854b9729,1005,benign,0,1,-1,rsu-6,rsu,rsu-6,domain-3,cell-0-1,rsu_cam_plausibility,0.78,0.88,0.99,0.76,0.68,1.0,clean_observation
case-smoke-1005-veh_000-benign,root-5ba81a295f38f65d0aaeaea1,1005,benign,0,1,-1,rsu-1,rsu,rsu-1,domain-1,cell-1-0,rsu_cam_plausibility,0.78,0.96,0.99,0.76,0.92,2.0,clean_observation
case-smoke-1005-veh_000-benign,root-5ba81a295f38f65d0aaeaea1,1005,benign,0,1,-1,rsu-6,rsu,rsu-6,domain-3,cell-0-1,rsu_cam_plausibility,0.78,0.88,0.99,0.76,0.68,2.0,clean_observation
case-smoke-1005-veh_000-benign,wroot-55b2ac5119317cdc5291f96e,1005,benign,0,1,-1,veh_001,vehicle_witness,rsu-6,domain-3,cell-0-0,vehicle_witness_observation,0.78,0.8055148555230334,0.99,0.76,0.9128153965387461,2.0,clean_observation
case-smoke-1005-veh_001-benign,root-1e97471f7ad2b22033b3e1fe,1005,benign,0,1,-1,rsu-1,rsu,rsu-1,domain-1,cell-1-0,rsu_cam_plausibility,0.78,0.96,0.99,0.76,0.92,2.0,clean_observation
case-smoke-1005-veh_001-benign,root-1e97471f7ad2b22033b3e1fe,1005,benign,0,1,-1,rsu-6,rsu,rsu-6,domain-3,cell-0-1,rsu_cam_plausibility,0.78,0.88,0.99,0.76,0.68,2.0,clean_observation
case-smoke-1005-veh_001-benign,wroot-df644121a7865f0e8a3b4099,1005,benign,0,1,-1,veh_000,vehicle_witness,rsu-1,domain-1,cell-0--1,vehicle_witness_observation,0.78,0.8523715754093291,0.99,0.76,0.9037623181484238,2.0,clean_observation
case-smoke-1005-veh_000-benign,root-3edad6acb605e07ae338c301,1005,benign,0,1,-1,rsu-1,rsu,rsu-1,domain-1,cell-1-0,rsu_cam_plausibility,0.78,0.96,0.99,0.76,0.92,3.0,clean_observation
case-smoke-1005-veh_000-benign,root-3edad6acb605e07ae338c301,1005,benign,0,1,-1,rsu-6,rsu,rsu-6,domain-3,cell-0-1,rsu_cam_plausibility,0.78,0.88,0.99,0.76,0.68,3.0,clean_observation
case-smoke-1005-veh_000-benign,wroot-9bfac26ed8f6baacbc933914,1005,benign,0,1,-1,veh_002,vehicle_witness,rsu-1,domain-1,cell-0--1,vehicle_witness_observation,0.78,0.8104558414161472,0.99,0.76,0.9031523556918695,3.0,clean_observation
case-smoke-1005-veh_000-benign,wroot-36da752d6c6903c7ba60b709,1005,benign,0,1,-1,veh_001,vehicle_witness,rsu-6,domain-3,cell-0-0,vehicle_witness_observation,0.78,0.8055148555230334,0.99,0.76,0.8562278314104682,3.0,clean_observation
case-smoke-1005-veh_001-benign,root-ec3b8a5af57df814f083a227,1005,benign,0,1,-1,rsu-1,rsu,rsu-1,domain-1,cell-1-0,rsu_cam_plausibility,0.78,0.96,0.99,0.76,0.92,3.0,clean_observation
case-smoke-1005-veh_001-benign,root-ec3b8a5af57df814f083a227,1005,benign,0,1,-1,rsu-6,rsu,rsu-6,domain-3,cell-0-1,rsu_cam_plausibility,0.78,0.88,0.99,0.76,0.68,3.0,clean_observation
case-smoke-1005-veh_001-benign,wroot-c2c2142d8723223d8961db77,1005,benign,0,1,-1,veh_002,vehicle_witness,rsu-1,domain-1,cell-0--1,vehicle_witness_observation,0.78,0.8104558414161472,0.99,0.76,0.9462049653917817,3.0,clean_observation
case-smoke-1005-veh_001-benign,wroot-610959359f366884a0bf0bfb,1005,benign,0,1,-1,veh_000,vehicle_witness,rsu-1,domain-1,cell-0--1,vehicle_witness_observation,0.78,0.8523715754093291,0.99,0.76,0.8251219640957111,3.0,clean_observation
case-smoke-1005-veh_002-benign,root-786abcd345f3ab3d0356d40f,1005,benign,0,1,-1,rsu-1,rsu,rsu-1,domain-1,cell-1-0,rsu_cam_plausibility,0.78,0.96,0.99,0.76,0.92,3.0,clean_observation
case-smoke-1005-veh_002-benign,root-786abcd345f3ab3d0356d40f,1005,benign,0,1,-1,rsu-6,rsu,rsu-6,domain-3,cell-0-1,rsu_cam_plausibility,0.78,0.88,0.99,0.76,0.68,3.0,clean_observation
case-smoke-1005-veh_002-benign,wroot-fda1bb3d2543ec562e4af498,1005,benign,0,1,-1,veh_001,vehicle_witness,rsu-6,domain-3,cell-0-0,vehicle_witness_observation,0.78,0.8055148555230334,0.99,0.76,0.8521358931520329,3.0,clean_observation
