seed,case_id,source_kind,attestations,independent_roots,correlated_reports_suppressed,suppression_rate
1001,case-1001-veh_000-w0000,rsu,28,14,14,0.5
1001,case-1001-veh_000-w0000,vehicle_witness,40,40,0,0.0
1001,case-1001-veh_000-w0001,rsu,45,15,30,0.6666666666666666
1001,case-1001-veh_000-w0001,vehicle_witness,75,75,0,0.0
1001,case-1001-veh_000-w0002,rsu,46,15,31,0.6739130434782609
1001,case-1001-veh_000-w0002,vehicle_witness,75,75,0,0.0
1001,case-1001-veh_000-w0003,rsu,45,15,30,0.6666666666666666
1001,case-1001-veh_000-w0003,vehicle_witness,116,116,0,0.0
1001,case-1001-veh_000-w0004,rsu,47,15,32,0.6808510638297872
1001,case-1001-veh_000-w0004,vehicle_witness,95,95,0,0.0
1001,case-1001-veh_000-w0005,rsu,44,15,29,0.6590909090909091
1001,case-1001-veh_000-w0005,vehicle_witness,75,75,0,0.0
1001,case-1001-veh_000-w0006,rsu,12,6,6,0.5
1001,case-1001-veh_000-w0006,vehicle_witness,30,30,0,0.0
1001,case-1001-veh_001-w0000,rsu,28,13,15,0.5357142857142857
1001,case-1001-veh_001-w0000,vehicle_witness,35,35,0,0.0
1001,case-1001-veh_001-w0001,rsu,45,15,30,0.6666666666666666
1001,case-1001-veh_001-w0001,vehicle_witness,75,75,0,0.0
1001,case-1001-veh_001-w0002,rsu,47,15,32,0.6808510638297872
1001,case-1001-veh_001-w0002,vehicle_witness,75,75,0,0.0
1001,case-1001-veh_001-w0003,rsu,45,15,30,0.6666666666666666
1001,case-1001-veh_001-w0003,vehicle_witness,116,116,0,0.0
1001,case-1001-veh_001-w0004,rsu,46,15,31,0.6739130434782609
1001,case-1001-veh_001-w0004,vehicle_witness,96,96,0,0.0
1001,case-1001-veh_001-w0005,rsu,42,15,27,0.6428571428571429
1001,case-1001-veh_001-w0005,vehicle_witness,75,75,0,0.0
1001,case-1001-veh_001-w0006,rsu,12,6,6,0.5
1001,case-1001-veh_001-w0006,vehicle_witness,30,30,0,0.0
1001,case-1001-veh_002-w0000,rsu,24,12,12,0.5
1001,case-1001-veh_002-w0000,vehicle_witness,42,42,0,0.0
1001,case-1001-veh_002-w0001,rsu,42,15,27,0.6428571428571429
1001,case-1001-veh_002-w0001,vehicle_witness,90,90,0,0.0
1001,case-1001-veh_002-w0002,rsu,46,15,31,0.6739130434782609
1001,case-1001-veh_002-w0002,vehicle_witness,90,90,0,0.0
1001,case-1001-veh_002-w0003,rsu,45,15,30,0.6666666666666666
1001,case-1001-veh_002-w0003,vehicle_witness,117,117,0,0.0
1001,case-1001-veh_002-w0004,rsu,47,15,32,0.6808510638297872
1001,case-1001-veh_002-w0004,vehicle_witness,105,105,0,0.0
1001,case-1001-veh_002-w0005,rsu,45,15,30,0.6666666666666666
1001,case-1001-veh_002-w0005,vehicle_witness,90,90,0,0.0
1001,case-1001-veh_002-w0006,rsu,13,6,7,0.5384615384615384
1001,case-1001-veh_002-w0006,vehicle_witness,36,36,0,0.0
1001,case-1001-veh_003-w0000,rsu,22,11,11,0.5
1001,case-1001-veh_003-w0000,vehicle_witness,36,36,0,0.0
1001,case-1001-veh_003-w0001,rsu,45,15,30,0.6666666666666666
1001,case-1001-veh_003-w0001,vehicle_witness,90,90,0,0.0
1001,case-1001-veh_003-w0002,rsu,47,15,32,0.6808510638297872
1001,case-1001-veh_003-w0002,vehicle_witness,90,90,0,0.0
1001,case-1001-veh_003-w0003,rsu,45,15,30,0.6666666666666666
