architecture,message_type,sent,delivered,dropped,bytes_total,mean_retransmission,mean_queue_delay_ms
ahmed_inspired_witness_vpuft,COMMIT,3316,3252,64,1167232,0.019300361881785282,0.0
ahmed_inspired_witness_vpuft,LEDGER_REPLICATION,830,813,17,979400,0.020481927710843374,0.0
ahmed_inspired_witness_vpuft,PREPARE,3306,3252,54,1163712,0.017241379310344827,0.0
ahmed_inspired_witness_vpuft,PRE_PREPARE,826,813,13,449344,0.015738498789346248,0.0
ahmed_inspired_witness_vpuft,RSU_WITNESS_EVIDENCE_FORWARD,160374,157217,3157,112903296,0.020090538366568145,2098.289433235931
ahmed_inspired_witness_vpuft,WITNESS_REPORT_TO_RSU,174627,171048,3579,139701600,0.02087878735819776,4164.073769806466
centralized_vpuft,ATTESTATION_TO_SERVER,69361,67981,1380,48830144,0.02028517466587852,5914.7205741558055
distributed_rsu_vpuft,COMMIT,2885,2832,53,1015520,0.01871750433275563,0.0
distributed_rsu_vpuft,LEDGER_REPLICATION,724,708,16,810880,0.022099447513812154,0.0
distributed_rsu_vpuft,PREPARE,2874,2832,42,1011648,0.014961725817675714,0.0
distributed_rsu_vpuft,PRE_PREPARE,723,708,15,393312,0.02074688796680498,0.021151337254626514
distributed_rsu_vpuft,RSU_EVIDENCE_EXCHANGE,61290,60068,1222,43148160,0.02026431718061674,6092.329267353327
