architecture,attack_type,TP,FP,TN,FN,precision,recall,frr,mcc
ahmed_inspired_witness_vpuft,benign,0,41,1289,0,0.0,0.0,0.030827067669172932,0.0
ahmed_inspired_witness_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
ahmed_inspired_witness_vpuft,false_denm,30,0,0,0,1.0,1.0,0.0,0.0
ahmed_inspired_witness_vpuft,flood,30,0,0,0,1.0,1.0,0.0,0.0
ahmed_inspired_witness_vpuft,mixed,40,0,0,0,1.0,1.0,0.0,0.0
ahmed_inspired_witness_vpuft,position_offset,36,0,0,4,1.0,0.9,0.0,0.0
ahmed_inspired_witness_vpuft,replay,30,0,0,10,1.0,0.75,0.0,0.0
ahmed_inspired_witness_vpuft,speed_offset,34,0,0,6,1.0,0.85,0.0,0.0
centralized_vpuft,benign,0,21,1309,0,0.0,0.0,0.015789473684210527,0.0
centralized_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
centralized_vpuft,false_denm,25,0,0,5,1.0,0.8333333333333334,0.0,0.0
centralized_vpuft,flood,30,0,0,0,1.0,1.0,0.0,0.0
centralized_vpuft,mixed,20,0,0,20,1.0,0.5,0.0,0.0
centralized_vpuft,position_offset,40,0,0,0,1.0,1.0,0.0,0.0
centralized_vpuft,replay,30,0,0,10,1.0,0.75,0.0,0.0
centralized_vpuft,speed_offset,40,0,0,0,1.0,1.0,0.0,0.0
distributed_rsu_vpuft,benign,0,21,1309,0,0.0,0.0,0.015789473684210527,0.0
distributed_rsu_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
distributed_rsu_vpuft,false_denm,25,0,0,5,1.0,0.8333333333333334,0.0,0.0
distributed_rsu_vpuft,flood,30,0,0,0,1.0,1.0,0.0,0.0
distributed_rsu_vpuft,mixed,20,0,0,20,1.0,0.5,0.0,0.0
distributed_rsu_vpuft,position_offset,40,0,0,0,1.0,1.0,0.0,0.0
distributed_rsu_vpuft,replay,30,0,0,10,1.0,0.75,0.0,0.0
distributed_rsu_vpuft,speed_offset,40,0,0,0,1.0,1.0,0.0,0.0
