architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,cpu_time_seconds,peak_memory_kb,seed
centralized_vpuft,21,2,131,4,0.9130434782608695,0.84,0.015037593984962405,0.16,0.9849624060150376,0.8749999999999999,0.8536880074557871,8000.0,14153.197379619822,0.0,14058.376892364226,14198.610294600117,14213.979824544762,1.0000000000047748,6915,43.765822784810126,4868160,30811.13924050633,120,5922.512785538984,0.982646420824295,,0,0,0,23,1,0,0,1.6626414000056684,1.640625,6151.4814453125,1001
distributed_rsu_vpuft,21,2,131,4,0.9130434782608695,0.84,0.015037593984962405,0.16,0.9849624060150376,0.8749999999999999,0.8536880074557871,8000.0,14366.936337780671,44.15129613337001,14160.378144955559,14399.906817451689,14419.501808860909,14.881716983707348,6841,43.29746835443038,4634528,29332.45569620253,147,5450.03005847616,0.978511913462944,1.0,0,0,0,23,1,0,0,1.6741609000018798,1.671875,6139.302734375,1001
ahmed_inspired_witness_vpuft,22,4,129,3,0.8461538461538461,0.88,0.03007518796992481,0.12,0.9699248120300752,0.8627450980392156,0.836570783400992,8000.0,14851.988619965943,45.83434079283322,14310.452739108963,14889.909616233123,14931.783252206176,13.198525878185485,34256,216.81012658227849,25590948,161968.0253164557,661,3095.6431937193547,0.9807041102288651,1.0,0,0,0,26,1,0,0,5.425962499983143,5.375,19568.2607421875,1001
centralized_vpuft,21,2,131,4,0.9130434782608695,0.84,0.015037593984962405,0.16,0.9849624060150376,0.8749999999999999,0.8536880074557871,8000.0,14167.602412851404,0.0,14059.496073395658,14203.621697810633,14221.886686212769,1.0000000000047748,6952,44.0,4894208,30976.0,148,5909.467455696505,0.9787111622554661,,0,0,0,23,1,0,0,1.6682330999756232,1.671875,6217.5986328125,1002
distributed_rsu_vpuft,21,2,131,4,0.9130434782608695,0.84,0.015037593984962405,0.16,0.9849624060150376,0.8749999999999999,0.8536880074557871,8000.0,14395.787866202496,42.47184565684563,14161.101586980301,14430.976315557125,14449.611497296897,13.729673538684748,6850,43.35443037974684,4641920,29379.240506329115,147,5460.27565771434,0.9785401459854015,1.0,0,0,0,23,1,0,0,1.684763600002043,1.65625,6193.6650390625,1002
ahmed_inspired_witness_vpuft,24,4,129,1,0.8571428571428571,0.96,0.03007518796992481,0.04,0.9699248120300752,0.9056603773584904,0.888777330115168,8000.0,14858.614293847193,42.98645725425523,14315.631441111993,14900.688310439711,14942.792533644284,15.290685469949493,34373,217.5506329113924,25662308,162419.67088607594,701,3091.727793283789,0.979576993570535,1.0,0,0,0,28,1,0,0,4.717794299998786,4.671875,19527.6591796875,1002
centralized_vpuft,22,2,131,3,0.9166666666666666,0.88,0.015037593984962405,0.12,0.9849624060150376,0.8979591836734694,0.8794983658474717,8000.0,14151.880401849128,0.0,14060.806109343335,14195.63990116953,14212.14584889949,1.0000000000047748,6931,43.86708860759494,4879424,30882.430379746835,138,5917.026750541348,0.9800894531813591,,0,0,0,24,1,0,0,1.6319366999669,1.640625,6157.880859375,1003
distributed_rsu_vpuft,22,2,131,3,0.9166666666666666,0.88,0.015037593984962405,0.12,0.9849624060150376,0.8979591836734694,0.8794983658474717,8000.0,14370.735387589519,41.44663022205072,14161.159263246976,14404.776456310898,14419.695044887343,18.00420395113988,6853,43.37341772151899,4639648,29364.86075949367,130,5449.399568276911,0.9810302057493069,1.0,0,0,0,24,1,0,0,1.803050299989991,1.796875,6144.1875,1003
ahmed_inspired_witness_vpuft,22,4,129,3,0.8461538461538461,0.88,0.03007518796992481,0.12,0.9699248120300752,0.8627450980392156,0.836570783400992,8000.0,14845.693203197492,41.76276671858581,14305.129026749128,14887.087553160249,14943.981409857603,15.503058127420033,34308,217.13924050632912,25632932,162233.74683544305,689,3098.3872692074474,0.9799172204733589,1.0,0,0,0,26,1,0,0,4.515772400016431,4.515625,19407.7138671875,1003
centralized_vpuft,22,2,131,3,0.9166666666666666,0.88,0.015037593984962405,0.12,0.9849624060150376,0.8979591836734694,0.8794983658474717,8000.0,14159.49579781049,0.0,14059.459632441878,14209.400152655195,14238.265604791823,1.0000000000047748,6954,44.0126582278481,4895616,30984.91139240506,148,5907.696424504184,0.9787172850158182,,0,0,0,24,1,0,0,1.5926029000547715,1.59375,6160.4375,1004
