topology,architecture,attack_type,TP,FP,TN,FN,precision,recall,frr,mcc
smoke,ahmed_inspired_witness_vpuft,benign,0,40,1290,0,0.0,0.0,0.0300751879699248,0.0
smoke,ahmed_inspired_witness_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
smoke,ahmed_inspired_witness_vpuft,false_denm,30,0,0,0,1.0,1.0,0.0,0.0
smoke,ahmed_inspired_witness_vpuft,flood,30,0,0,0,1.0,1.0,0.0,0.0
smoke,ahmed_inspired_witness_vpuft,mixed,40,0,0,0,1.0,1.0,0.0,0.0
smoke,ahmed_inspired_witness_vpuft,position_offset,31,0,0,9,1.0,0.775,0.0,0.0
smoke,ahmed_inspired_witness_vpuft,replay,30,0,0,10,1.0,0.75,0.0,0.0
smoke,ahmed_inspired_witness_vpuft,speed_offset,33,0,0,7,1.0,0.825,0.0,0.0
smoke,centralized_vpuft,benign,0,21,1309,0,0.0,0.0,0.0157894736842105,0.0
smoke,centralized_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
smoke,centralized_vpuft,false_denm,20,0,0,10,1.0,0.6666666666666666,0.0,0.0
smoke,centralized_vpuft,flood,30,0,0,0,1.0,1.0,0.0,0.0
smoke,centralized_vpuft,mixed,10,0,0,30,1.0,0.25,0.0,0.0
smoke,centralized_vpuft,position_offset,38,0,0,2,1.0,0.95,0.0,0.0
smoke,centralized_vpuft,replay,30,0,0,10,1.0,0.75,0.0,0.0
smoke,centralized_vpuft,speed_offset,38,0,0,2,1.0,0.95,0.0,0.0
smoke,distributed_rsu_vpuft,benign,0,21,1309,0,0.0,0.0,0.0157894736842105,0.0
smoke,distributed_rsu_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
smoke,distributed_rsu_vpuft,false_denm,20,0,0,10,1.0,0.6666666666666666,0.0,0.0
smoke,distributed_rsu_vpuft,flood,30,0,0,0,1.0,1.0,0.0,0.0
smoke,distributed_rsu_vpuft,mixed,10,0,0,30,1.0,0.25,0.0,0.0
smoke,distributed_rsu_vpuft,position_offset,38,0,0,2,1.0,0.95,0.0,0.0
smoke,distributed_rsu_vpuft,replay,30,0,0,10,1.0,0.75,0.0,0.0
smoke,distributed_rsu_vpuft,speed_offset,38,0,0,2,1.0,0.95,0.0,0.0
corridor,ahmed_inspired_witness_vpuft,benign,0,41,1289,0,0.0,0.0,0.0308270676691729,0.0
corridor,ahmed_inspired_witness_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
corridor,ahmed_inspired_witness_vpuft,false_denm,30,0,0,0,1.0,1.0,0.0,0.0
corridor,ahmed_inspired_witness_vpuft,flood,30,0,0,0,1.0,1.0,0.0,0.0
corridor,ahmed_inspired_witness_vpuft,mixed,40,0,0,0,1.0,1.0,0.0,0.0
corridor,ahmed_inspired_witness_vpuft,position_offset,36,0,0,4,1.0,0.9,0.0,0.0
corridor,ahmed_inspired_witness_vpuft,replay,30,0,0,10,1.0,0.75,0.0,0.0
corridor,ahmed_inspired_witness_vpuft,speed_offset,34,0,0,6,1.0,0.85,0.0,0.0
corridor,centralized_vpuft,benign,0,21,1309,0,0.0,0.0,0.0157894736842105,0.0
corridor,centralized_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
corridor,centralized_vpuft,false_denm,25,0,0,5,1.0,0.8333333333333334,0.0,0.0
corridor,centralized_vpuft,flood,30,0,0,0,1.0,1.0,0.0,0.0
corridor,centralized_vpuft,mixed,20,0,0,20,1.0,0.5,0.0,0.0
corridor,centralized_vpuft,position_offset,40,0,0,0,1.0,1.0,0.0,0.0
corridor,centralized_vpuft,replay,30,0,0,10,1.0,0.75,0.0,0.0
corridor,centralized_vpuft,speed_offset,40,0,0,0,1.0,1.0,0.0,0.0
corridor,distributed_rsu_vpuft,benign,0,21,1309,0,0.0,0.0,0.0157894736842105,0.0
corridor,distributed_rsu_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
corridor,distributed_rsu_vpuft,false_denm,25,0,0,5,1.0,0.8333333333333334,0.0,0.0
corridor,distributed_rsu_vpuft,flood,30,0,0,0,1.0,1.0,0.0,0.0
corridor,distributed_rsu_vpuft,mixed,20,0,0,20,1.0,0.5,0.0,0.0
corridor,distributed_rsu_vpuft,position_offset,40,0,0,0,1.0,1.0,0.0,0.0
corridor,distributed_rsu_vpuft,replay,30,0,0,10,1.0,0.75,0.0,0.0
corridor,distributed_rsu_vpuft,speed_offset,40,0,0,0,1.0,1.0,0.0,0.0
intersection,ahmed_inspired_witness_vpuft,benign,0,42,1119,0,0.0,0.0,0.0361757105943152,0.0
intersection,ahmed_inspired_witness_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
intersection,ahmed_inspired_witness_vpuft,false_denm,24,0,0,6,1.0,0.8,0.0,0.0
intersection,ahmed_inspired_witness_vpuft,flood,31,0,0,4,1.0,0.8857142857142857,0.0,0.0
intersection,ahmed_inspired_witness_vpuft,mixed,31,0,0,9,1.0,0.775,0.0,0.0
intersection,ahmed_inspired_witness_vpuft,position_offset,33,0,0,7,1.0,0.825,0.0,0.0
intersection,ahmed_inspired_witness_vpuft,replay,40,0,0,0,1.0,1.0,0.0,0.0
intersection,ahmed_inspired_witness_vpuft,speed_offset,36,0,0,4,1.0,0.9,0.0,0.0
intersection,centralized_vpuft,benign,0,20,1149,0,0.0,0.0,0.0171086398631308,0.0
intersection,centralized_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
intersection,centralized_vpuft,false_denm,22,0,0,8,1.0,0.7333333333333333,0.0,0.0
intersection,centralized_vpuft,flood,30,0,0,5,1.0,0.8571428571428571,0.0,0.0
intersection,centralized_vpuft,mixed,8,0,0,32,1.0,0.2,0.0,0.0
intersection,centralized_vpuft,position_offset,37,0,0,3,1.0,0.925,0.0,0.0
intersection,centralized_vpuft,replay,30,0,0,10,1.0,0.75,0.0,0.0
intersection,centralized_vpuft,speed_offset,40,0,0,0,1.0,1.0,0.0,0.0
intersection,distributed_rsu_vpuft,benign,0,20,1149,0,0.0,0.0,0.0171086398631308,0.0
intersection,distributed_rsu_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
intersection,distributed_rsu_vpuft,false_denm,22,0,0,8,1.0,0.7333333333333333,0.0,0.0
intersection,distributed_rsu_vpuft,flood,30,0,0,5,1.0,0.8571428571428571,0.0,0.0
intersection,distributed_rsu_vpuft,mixed,8,0,0,32,1.0,0.2,0.0,0.0
intersection,distributed_rsu_vpuft,position_offset,37,0,0,3,1.0,0.925,0.0,0.0
intersection,distributed_rsu_vpuft,replay,30,0,0,10,1.0,0.75,0.0,0.0
intersection,distributed_rsu_vpuft,speed_offset,40,0,0,0,1.0,1.0,0.0,0.0
grid,ahmed_inspired_witness_vpuft,benign,0,30,1097,0,0.0,0.0,0.0266193433895297,0.0
grid,ahmed_inspired_witness_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
grid,ahmed_inspired_witness_vpuft,false_denm,28,0,0,10,1.0,0.7368421052631579,0.0,0.0
grid,ahmed_inspired_witness_vpuft,flood,29,0,0,1,1.0,0.9666666666666668,0.0,0.0
grid,ahmed_inspired_witness_vpuft,mixed,28,0,0,7,1.0,0.8,0.0,0.0
grid,ahmed_inspired_witness_vpuft,position_offset,31,0,0,9,1.0,0.775,0.0,0.0
grid,ahmed_inspired_witness_vpuft,replay,38,0,0,0,1.0,1.0,0.0,0.0
grid,ahmed_inspired_witness_vpuft,speed_offset,35,0,0,4,1.0,0.8974358974358975,0.0,0.0
grid,centralized_vpuft,benign,0,20,1138,0,0.0,0.0,0.0172711571675302,0.0
grid,centralized_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
grid,centralized_vpuft,false_denm,24,0,0,14,1.0,0.631578947368421,0.0,0.0
grid,centralized_vpuft,flood,30,0,0,0,1.0,1.0,0.0,0.0
grid,centralized_vpuft,mixed,14,0,0,21,1.0,0.4,0.0,0.0
grid,centralized_vpuft,position_offset,40,0,0,0,1.0,1.0,0.0,0.0
grid,centralized_vpuft,replay,28,0,0,10,1.0,0.7368421052631579,0.0,0.0
grid,centralized_vpuft,speed_offset,39,0,0,0,1.0,1.0,0.0,0.0
grid,distributed_rsu_vpuft,benign,0,20,1138,0,0.0,0.0,0.0172711571675302,0.0
grid,distributed_rsu_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
grid,distributed_rsu_vpuft,false_denm,24,0,0,14,1.0,0.631578947368421,0.0,0.0
grid,distributed_rsu_vpuft,flood,30,0,0,0,1.0,1.0,0.0,0.0
grid,distributed_rsu_vpuft,mixed,14,0,0,21,1.0,0.4,0.0,0.0
grid,distributed_rsu_vpuft,position_offset,40,0,0,0,1.0,1.0,0.0,0.0
grid,distributed_rsu_vpuft,replay,28,0,0,10,1.0,0.7368421052631579,0.0,0.0
grid,distributed_rsu_vpuft,speed_offset,39,0,0,0,1.0,1.0,0.0,0.0
