seed,case_id,source_kind,attestations,independent_roots,correlated_reports_suppressed,suppression_rate
1001,case-1001-veh_000-w0000,rsu,29,14,15,0.5172413793103449
1001,case-1001-veh_000-w0000,vehicle_witness,6,6,0,0.0
1001,case-1001-veh_000-w0001,rsu,33,15,18,0.5454545454545454
1001,case-1001-veh_000-w0001,vehicle_witness,33,33,0,0.0
1001,case-1001-veh_000-w0002,rsu,30,15,15,0.5
1001,case-1001-veh_000-w0002,vehicle_witness,34,34,0,0.0
1001,case-1001-veh_000-w0003,rsu,35,15,20,0.5714285714285714
1001,case-1001-veh_000-w0003,vehicle_witness,35,35,0,0.0
1001,case-1001-veh_000-w0004,rsu,30,15,15,0.5
1001,case-1001-veh_000-w0004,vehicle_witness,72,72,0,0.0
1001,case-1001-veh_000-w0005,rsu,30,15,15,0.5
1001,case-1001-veh_000-w0005,vehicle_witness,51,51,0,0.0
1001,case-1001-veh_000-w0006,rsu,12,6,6,0.5
1001,case-1001-veh_000-w0006,vehicle_witness,12,12,0,0.0
1001,case-1001-veh_001-w0000,rsu,26,13,13,0.5
1001,case-1001-veh_001-w0000,vehicle_witness,5,5,0,0.0
1001,case-1001-veh_001-w0001,rsu,30,15,15,0.5
1001,case-1001-veh_001-w0001,vehicle_witness,28,28,0,0.0
1001,case-1001-veh_001-w0002,rsu,31,15,16,0.5161290322580645
1001,case-1001-veh_001-w0002,vehicle_witness,65,65,0,0.0
1001,case-1001-veh_001-w0003,rsu,30,15,15,0.5
1001,case-1001-veh_001-w0003,vehicle_witness,39,39,0,0.0
1001,case-1001-veh_001-w0004,rsu,30,15,15,0.5
1001,case-1001-veh_001-w0004,vehicle_witness,75,75,0,0.0
1001,case-1001-veh_001-w0005,rsu,35,15,20,0.5714285714285714
1001,case-1001-veh_001-w0005,vehicle_witness,46,46,0,0.0
1001,case-1001-veh_001-w0006,rsu,12,6,6,0.5
1001,case-1001-veh_001-w0006,vehicle_witness,12,12,0,0.0
1001,case-1001-veh_002-w0000,rsu,24,12,12,0.5
1001,case-1001-veh_002-w0000,vehicle_witness,4,4,0,0.0
1001,case-1001-veh_002-w0001,rsu,35,15,20,0.5714285714285714
1001,case-1001-veh_002-w0001,vehicle_witness,27,27,0,0.0
1001,case-1001-veh_002-w0002,rsu,30,15,15,0.5
1001,case-1001-veh_002-w0002,vehicle_witness,23,23,0,0.0
1001,case-1001-veh_002-w0003,rsu,35,15,20,0.5714285714285714
1001,case-1001-veh_002-w0003,vehicle_witness,33,33,0,0.0
1001,case-1001-veh_002-w0004,rsu,30,15,15,0.5
1001,case-1001-veh_002-w0004,vehicle_witness,71,71,0,0.0
1001,case-1001-veh_002-w0005,rsu,30,15,15,0.5
1001,case-1001-veh_002-w0005,vehicle_witness,51,51,0,0.0
1001,case-1001-veh_002-w0006,rsu,12,6,6,0.5
1001,case-1001-veh_002-w0006,vehicle_witness,12,12,0,0.0
1001,case-1001-veh_003-w0000,rsu,22,11,11,0.5
1001,case-1001-veh_003-w0000,vehicle_witness,3,3,0,0.0
1001,case-1001-veh_003-w0001,rsu,30,15,15,0.5
1001,case-1001-veh_003-w0001,vehicle_witness,26,26,0,0.0
1001,case-1001-veh_003-w0002,rsu,31,15,16,0.5161290322580645
1001,case-1001-veh_003-w0002,vehicle_witness,62,62,0,0.0
1001,case-1001-veh_003-w0003,rsu,30,15,15,0.5
1001,case-1001-veh_003-w0003,vehicle_witness,38,38,0,0.0
1001,case-1001-veh_003-w0004,rsu,30,15,15,0.5
1001,case-1001-veh_003-w0004,vehicle_witness,70,70,0,0.0
1001,case-1001-veh_003-w0005,rsu,34,15,19,0.5588235294117647
1001,case-1001-veh_003-w0005,vehicle_witness,50,50,0,0.0
1001,case-1001-veh_003-w0006,rsu,12,6,6,0.5
1001,case-1001-veh_003-w0006,vehicle_witness,12,12,0,0.0
1001,case-1001-veh_004-w0000,rsu,30,10,20,0.6666666666666666
1001,case-1001-veh_004-w0000,vehicle_witness,2,2,0,0.0
1001,case-1001-veh_004-w0001,rsu,45,15,30,0.6666666666666666
1001,case-1001-veh_004-w0001,vehicle_witness,22,22,0,0.0
1001,case-1001-veh_004-w0002,rsu,68,15,53,0.7794117647058824
1001,case-1001-veh_004-w0002,vehicle_witness,107,107,0,0.0
1001,case-1001-veh_004-w0003,rsu,63,15,48,0.7619047619047619
1001,case-1001-veh_004-w0003,vehicle_witness,116,116,0,0.0
1001,case-1001-veh_004-w0004,rsu,45,15,30,0.6666666666666666
1001,case-1001-veh_004-w0004,vehicle_witness,35,35,0,0.0
1001,case-1001-veh_004-w0005,rsu,21,7,14,0.6666666666666666
1001,case-1001-veh_004-w0005,vehicle_witness,14,14,0,0.0
1001,case-1001-veh_005-w0000,rsu,27,9,18,0.6666666666666666
1001,case-1001-veh_005-w0000,vehicle_witness,1,1,0,0.0
1001,case-1001-veh_005-w0001,rsu,45,15,30,0.6666666666666666
1001,case-1001-veh_005-w0001,vehicle_witness,20,20,0,0.0
1001,case-1001-veh_005-w0002,rsu,65,15,50,0.7692307692307693
1001,case-1001-veh_005-w0002,vehicle_witness,110,110,0,0.0
1001,case-1001-veh_005-w0003,rsu,64,15,49,0.765625
1001,case-1001-veh_005-w0003,vehicle_witness,116,116,0,0.0
1001,case-1001-veh_005-w0004,rsu,45,15,30,0.6666666666666666
1001,case-1001-veh_005-w0004,vehicle_witness,35,35,0,0.0
1001,case-1001-veh_005-w0005,rsu,21,7,14,0.6666666666666666
1001,case-1001-veh_005-w0005,vehicle_witness,14,14,0,0.0
1001,case-1001-veh_006-w0000,rsu,16,8,8,0.5
1001,case-1001-veh_006-w0001,rsu,30,7,23,0.7666666666666667
1001,case-1001-veh_006-w0001,vehicle_witness,21,13,8,0.38095238095238093
1001,case-1001-veh_006-w0002,rsu,30,4,26,0.8666666666666667
1001,case-1001-veh_006-w0002,vehicle_witness,110,38,72,0.6545454545454545
1001,case-1001-veh_006-w0003,rsu,30,4,26,0.8666666666666667
1001,case-1001-veh_006-w0003,vehicle_witness,78,34,44,0.5641025641025641
1001,case-1001-veh_006-w0004,rsu,20,4,16,0.8
1001,case-1001-veh_006-w0004,vehicle_witness,20,8,12,0.6
1001,case-1001-veh_007-w0000,rsu,14,7,7,0.5
1001,case-1001-veh_007-w0001,rsu,44,15,29,0.6590909090909091
1001,case-1001-veh_007-w0001,vehicle_witness,19,19,0,0.0
1001,case-1001-veh_007-w0002,rsu,60,15,45,0.75
1001,case-1001-veh_007-w0002,vehicle_witness,105,105,0,0.0
1001,case-1001-veh_007-w0003,rsu,51,15,36,0.7058823529411765
1001,case-1001-veh_007-w0003,vehicle_witness,73,73,0,0.0
1001,case-1001-veh_007-w0004,rsu,20,10,10,0.5
1001,case-1001-veh_007-w0004,vehicle_witness,20,20,0,0.0
1001,case-1001-veh_008-w0000,rsu,12,6,6,0.5
1001,case-1001-veh_008-w0000,vehicle_witness,6,6,0,0.0
1001,case-1001-veh_008-w0001,rsu,34,15,19,0.5588235294117647
1001,case-1001-veh_008-w0001,vehicle_witness,35,35,0,0.0
1001,case-1001-veh_008-w0002,rsu,30,15,15,0.5
1001,case-1001-veh_008-w0002,vehicle_witness,34,34,0,0.0
1001,case-1001-veh_008-w0003,rsu,35,15,20,0.5714285714285714
1001,case-1001-veh_008-w0003,vehicle_witness,33,33,0,0.0
1001,case-1001-veh_008-w0004,rsu,30,15,15,0.5
1001,case-1001-veh_008-w0004,vehicle_witness,71,71,0,0.0
1001,case-1001-veh_008-w0005,rsu,30,15,15,0.5
1001,case-1001-veh_008-w0005,vehicle_witness,53,53,0,0.0
1001,case-1001-veh_008-w0006,rsu,12,6,6,0.5
1001,case-1001-veh_008-w0006,vehicle_witness,12,12,0,0.0
1001,case-1001-veh_009-w0000,rsu,10,5,5,0.5
1001,case-1001-veh_009-w0000,vehicle_witness,5,5,0,0.0
1001,case-1001-veh_009-w0001,rsu,30,15,15,0.5
1001,case-1001-veh_009-w0001,vehicle_witness,31,31,0,0.0
1001,case-1001-veh_009-w0002,rsu,31,15,16,0.5161290322580645
1001,case-1001-veh_009-w0002,vehicle_witness,65,65,0,0.0
1001,case-1001-veh_009-w0003,rsu,30,15,15,0.5
1001,case-1001-veh_009-w0003,vehicle_witness,38,38,0,0.0
1001,case-1001-veh_009-w0004,rsu,30,15,15,0.5
1001,case-1001-veh_009-w0004,vehicle_witness,75,75,0,0.0
1001,case-1001-veh_009-w0005,rsu,35,15,20,0.5714285714285714
1001,case-1001-veh_009-w0005,vehicle_witness,50,50,0,0.0
1001,case-1001-veh_009-w0006,rsu,12,6,6,0.5
1001,case-1001-veh_009-w0006,vehicle_witness,12,12,0,0.0
1001,case-1001-veh_010-w0000,rsu,8,4,4,0.5
1001,case-1001-veh_010-w0000,vehicle_witness,4,4,0,0.0
1001,case-1001-veh_010-w0001,rsu,66,15,51,0.7727272727272727
1001,case-1001-veh_010-w0001,vehicle_witness,78,30,48,0.6153846153846154
1001,case-1001-veh_010-w0002,rsu,150,15,135,0.9
1001,case-1001-veh_010-w0002,vehicle_witness,185,37,148,0.8
1001,case-1001-veh_010-w0003,rsu,170,15,155,0.9117647058823529
1001,case-1001-veh_010-w0003,vehicle_witness,160,32,128,0.8
1001,case-1001-veh_010-w0004,rsu,150,15,135,0.9
1001,case-1001-veh_010-w0004,vehicle_witness,355,71,284,0.8
1001,case-1001-veh_010-w0005,rsu,62,15,47,0.7580645161290323
1001,case-1001-veh_010-w0005,vehicle_witness,133,53,80,0.6015037593984962
1001,case-1001-veh_010-w0006,rsu,12,6,6,0.5
1001,case-1001-veh_010-w0006,vehicle_witness,12,12,0,0.0
1001,case-1001-veh_011-w0000,rsu,6,3,3,0.5
1001,case-1001-veh_011-w0000,vehicle_witness,3,3,0,0.0
1001,case-1001-veh_011-w0001,rsu,30,15,15,0.5
1001,case-1001-veh_011-w0001,vehicle_witness,25,25,0,0.0
1001,case-1001-veh_011-w0002,rsu,30,15,15,0.5
1001,case-1001-veh_011-w0002,vehicle_witness,64,64,0,0.0
1001,case-1001-veh_011-w0003,rsu,30,15,15,0.5
1001,case-1001-veh_011-w0003,vehicle_witness,37,37,0,0.0
1001,case-1001-veh_011-w0004,rsu,30,15,15,0.5
1001,case-1001-veh_011-w0004,vehicle_witness,69,69,0,0.0
1001,case-1001-veh_011-w0005,rsu,34,15,19,0.5588235294117647
1001,case-1001-veh_011-w0005,vehicle_witness,54,54,0,0.0
1001,case-1001-veh_011-w0006,rsu,12,6,6,0.5
1001,case-1001-veh_011-w0006,vehicle_witness,12,12,0,0.0
1001,case-1001-veh_012-w0000,rsu,6,2,4,0.6666666666666666
1001,case-1001-veh_012-w0000,vehicle_witness,2,2,0,0.0
1001,case-1001-veh_012-w0001,rsu,45,15,30,0.6666666666666666
1001,case-1001-veh_012-w0001,vehicle_witness,24,24,0,0.0
1001,case-1001-veh_012-w0002,rsu,53,15,38,0.7169811320754716
