architecture,message_type,sent,delivered,dropped,bytes_total,mean_retransmission,mean_queue_delay_ms
ahmed_inspired_witness_vpuft,COMMIT,3036,2988,48,1068672,0.016469038208168644,0.0
ahmed_inspired_witness_vpuft,LEDGER_REPLICATION,759,747,12,895620,0.015810276679841896,0.0
ahmed_inspired_witness_vpuft,PREPARE,3044,2988,56,1071488,0.018725361366622863,8.250378799602306
ahmed_inspired_witness_vpuft,PRE_PREPARE,760,747,13,413440,0.017105263157894738,6.006177350922196
ahmed_inspired_witness_vpuft,RSU_WITNESS_EVIDENCE_FORWARD,64217,63002,1215,45208768,0.01924723982746002,2251.8580992548314
ahmed_inspired_witness_vpuft,WITNESS_REPORT_TO_RSU,67865,66532,1333,54292000,0.01987769837176748,3827.1552464451283
centralized_vpuft,ATTESTATION_TO_SERVER,55015,53929,1086,38730560,0.020121784967736072,6032.218796182978
distributed_rsu_vpuft,COMMIT,2755,2700,55,969760,0.019963702359346643,0.0
distributed_rsu_vpuft,LEDGER_REPLICATION,695,675,20,778400,0.02877697841726619,0.0
distributed_rsu_vpuft,PREPARE,2758,2700,58,970816,0.021754894851341553,0.0
distributed_rsu_vpuft,PRE_PREPARE,691,675,16,375904,0.023154848046309694,1.1073497609306855
distributed_rsu_vpuft,RSU_EVIDENCE_EXCHANGE,48496,47558,938,34141184,0.01967172550313428,6165.119285420556
