architecture,attack_type,TP,FP,TN,FN,precision,recall,frr,mcc
ahmed_inspired_witness_vpuft,benign,0,30,1097,0,0.0,0.0,0.026619343389529725,0.0
ahmed_inspired_witness_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
ahmed_inspired_witness_vpuft,false_denm,28,0,0,10,1.0,0.7368421052631579,0.0,0.0
ahmed_inspired_witness_vpuft,flood,29,0,0,1,1.0,0.9666666666666667,0.0,0.0
ahmed_inspired_witness_vpuft,mixed,28,0,0,7,1.0,0.8,0.0,0.0
ahmed_inspired_witness_vpuft,position_offset,31,0,0,9,1.0,0.775,0.0,0.0
ahmed_inspired_witness_vpuft,replay,38,0,0,0,1.0,1.0,0.0,0.0
ahmed_inspired_witness_vpuft,speed_offset,35,0,0,4,1.0,0.8974358974358975,0.0,0.0
centralized_vpuft,benign,0,20,1138,0,0.0,0.0,0.017271157167530225,0.0
centralized_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
centralized_vpuft,false_denm,24,0,0,14,1.0,0.631578947368421,0.0,0.0
centralized_vpuft,flood,30,0,0,0,1.0,1.0,0.0,0.0
centralized_vpuft,mixed,14,0,0,21,1.0,0.4,0.0,0.0
centralized_vpuft,position_offset,40,0,0,0,1.0,1.0,0.0,0.0
centralized_vpuft,replay,28,0,0,10,1.0,0.7368421052631579,0.0,0.0
centralized_vpuft,speed_offset,39,0,0,0,1.0,1.0,0.0,0.0
distributed_rsu_vpuft,benign,0,20,1138,0,0.0,0.0,0.017271157167530225,0.0
distributed_rsu_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
distributed_rsu_vpuft,false_denm,24,0,0,14,1.0,0.631578947368421,0.0,0.0
distributed_rsu_vpuft,flood,30,0,0,0,1.0,1.0,0.0,0.0
distributed_rsu_vpuft,mixed,14,0,0,21,1.0,0.4,0.0,0.0
distributed_rsu_vpuft,position_offset,40,0,0,0,1.0,1.0,0.0,0.0
distributed_rsu_vpuft,replay,28,0,0,10,1.0,0.7368421052631579,0.0,0.0
distributed_rsu_vpuft,speed_offset,39,0,0,0,1.0,1.0,0.0,0.0
