architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,cpu_time_seconds,peak_memory_kb,seed
centralized_vpuft,20,2,115,5,0.9090909090909091,0.8,0.017094017094017096,0.2,0.9829059829059829,0.8510638297872342,0.824082295108704,8000.0,14103.274755343682,0.0,14060.994902784625,14159.602905301084,14186.580007559201,1.0000000000047748,5591,39.37323943661972,3936064,27718.76056338028,97,6009.152877124077,0.9826506886066894,,0,0,0,22,1,0,0,2.3712934000068344,2.3125,5005.576171875,1001
distributed_rsu_vpuft,20,2,115,5,0.9090909090909091,0.8,0.017094017094017096,0.2,0.9829059829059829,0.8510638297872342,0.824082295108704,8000.0,14310.248578308443,47.648257750818594,14153.630275791826,14351.44803208378,14360.609575688472,14.257516877373533,5613,39.528169014084504,3778912,26612.056338028167,122,5382.96401433934,0.9782647425619099,1.0,0,0,0,22,1,0,0,2.2600071000051685,2.265625,5011.689453125,1001
ahmed_inspired_witness_vpuft,23,3,112,2,0.8846153846153846,0.92,0.02608695652173913,0.08,0.9739130434782609,0.9019607843137256,0.8803899964197276,11000.0,14459.597078151386,58.84056107482927,14200.714255562929,14500.381125836839,14554.880230510298,14.580789817337347,15624,111.6,11533384,82381.31428571428,299,2949.872162714095,0.9808627752176139,1.0,0,0,0,26,1,0,0,3.317516200011596,3.3125,8753.974609375,1001
centralized_vpuft,22,2,114,4,0.9166666666666666,0.8461538461538461,0.017241379310344827,0.15384615384615385,0.9827586206896551,0.8799999999999999,0.8554166822375315,8000.0,14125.323561322319,0.0,14061.072914863453,14148.861429597337,14176.311752857107,1.0000000000047748,5554,39.11267605633803,3910016,27535.323943661973,121,6025.630555275598,0.9782138998919697,,0,0,0,24,1,0,0,1.535638100001961,1.5,5074.5810546875,1002
distributed_rsu_vpuft,22,2,114,4,0.9166666666666666,0.8461538461538461,0.017241379310344827,0.15384615384615385,0.9827586206896551,0.8799999999999999,0.8554166822375315,8000.0,14362.963690892071,45.13465740651731,14158.88015103193,14397.335254209738,14414.46340824093,18.00151950020563,5646,39.76056338028169,3788928,26682.591549295776,127,5368.6658970538365,0.9775061990789939,1.0,0,0,0,24,1,0,0,1.3549165000440553,1.3125,5031.8974609375,1002
ahmed_inspired_witness_vpuft,22,3,109,4,0.88,0.8461538461538461,0.026785714285714284,0.15384615384615385,0.9732142857142857,0.8627450980392156,0.8318892801238078,11000.0,14440.25973752078,42.18053160909107,14193.94751598658,14477.46252932097,14526.779213095846,15.28121476393238,13505,97.8623188405797,9947980,72086.8115942029,272,2790.776125572267,0.9798593113661607,1.0,0,0,0,25,1,0,0,1.898049599956721,1.890625,7645.0703125,1002
centralized_vpuft,21,2,113,4,0.9130434782608695,0.84,0.017391304347826087,0.16,0.9826086956521739,0.8749999999999999,0.8502670936332695,8049.999999999983,14108.688988906766,0.0,14059.420324820649,14137.725548276669,14149.352925199282,1.0000000000047748,5462,39.01428571428571,3845248,27466.057142857142,101,6064.0632325156785,0.9815086049066276,,0,0,0,23,1,0,0,1.713919600006193,1.640625,4939.119140625,1003
distributed_rsu_vpuft,21,2,113,4,0.9130434782608695,0.84,0.017391304347826087,0.16,0.9826086956521739,0.8749999999999999,0.8502670936332695,8049.999999999983,14329.851536075297,44.008053379481275,14158.016164978455,14371.715169716654,14395.104141246373,14.656770665629182,5511,39.364285714285714,3699200,26422.85714285714,105,5395.730566282738,0.9809471965160588,1.0,0,0,0,23,1,0,0,2.0109849000000395,1.96875,4953.130859375,1003
ahmed_inspired_witness_vpuft,18,3,109,7,0.8571428571428571,0.72,0.026785714285714284,0.28,0.9732142857142857,0.782608695652174,0.7432037250429142,11000.0,14444.999825478511,46.68595176403301,14177.476062798227,14480.13089839393,14508.731616280716,16.08271816849438,12742,93.00729927007299,9411868,68699.76642335767,241,2870.9195168693536,0.9810861717155862,1.0,0,0,0,21,1,0,0,2.19236289995024,2.1875,7234.693359375,1003
centralized_vpuft,21,2,112,5,0.9130434782608695,0.8076923076923077,0.017543859649122806,0.19230769230769232,0.9824561403508771,0.8571428571428572,0.8292604293282203,8049.999999999983,14093.722952802927,0.0,14061.423419651703,14141.423928494456,14156.341115866479,1.0000000000047748,5351,38.22142857142857,3767104,26907.885714285716,116,5974.001971967971,0.9783218090076621,,0,0,0,23,1,0,0,1.547453100036364,1.484375,4805.5380859375,1004
distributed_rsu_vpuft,21,2,112,5,0.9130434782608695,0.8076923076923077,0.017543859649122806,0.19230769230769232,0.9824561403508771,0.8571428571428572,0.8292604293282203,8049.999999999983,14308.446937218665,47.3763453726633,14166.052148016703,14345.655636119694,14376.74977851597,16.47943394275231,5391,38.50714285714286,3615072,25821.942857142858,94,5333.351992532524,0.9825635318122797,1.0,0,0,0,23,1,0,0,1.4901253000134602,1.453125,4811.572265625,1004
ahmed_inspired_witness_vpuft,21,3,107,5,0.875,0.8076923076923077,0.02727272727272727,0.19230769230769232,0.9727272727272728,0.8400000000000001,0.8050012254816592,11000.0,14443.092720793062,1766.75390362601,14186.690808600364,14474.230098462329,14516.20968090509,14.92114774652613,13053,95.9779411764706,9613184,70685.17647058824,250,2982.309540574033,0.9807707040527082,1.0,0,0,0,24,1,0,0,1.8734019999974407,1.859375,7343.5927734375,1004
centralized_vpuft,22,2,113,4,0.9166666666666666,0.8461538461538461,0.017391304347826087,0.15384615384615385,0.9826086956521739,0.8799999999999999,0.8551989444231628,8000.0,14139.980599122917,0.0,14064.432149316877,14172.36417972929,14187.006689058395,1.0000000000047748,5593,39.666666666666664,3937472,27925.333333333332,117,6099.93692544265,0.9790809940997676,,0,0,0,24,1,0,0,1.3624624999938533,1.359375,4994.7548828125,1005
distributed_rsu_vpuft,22,2,113,4,0.9166666666666666,0.8461538461538461,0.017391304347826087,0.15384615384615385,0.9826086956521739,0.8799999999999999,0.8551989444231628,8000.0,14360.601024987087,45.03362756211224,14163.57054881279,14399.369122199027,14412.988783577488,14.516699853462177,5667,40.191489361702125,3798944,26942.86524822695,109,5453.162754137066,0.980765837303688,1.0,0,0,0,24,1,0,0,1.6267003000248224,1.578125,5027.1318359375,1005
ahmed_inspired_witness_vpuft,21,3,109,5,0.875,0.8076923076923077,0.026785714285714284,0.19230769230769232,0.9732142857142857,0.8400000000000001,0.8056320376240443,11000.0,14479.056018158895,44.42079775827068,14208.451978812838,14511.914523166297,14546.055409229957,15.719558464757453,14738,106.79710144927536,10879808,78839.1884057971,263,2876.1377092162484,0.9821549735377935,1.0,0,0,0,24,1,0,0,2.6975638999720104,2.625,8268.0625,1005
centralized_vpuft,19,2,114,5,0.9047619047619048,0.7916666666666666,0.017241379310344827,0.20833333333333334,0.9827586206896551,0.8444444444444444,0.8173931859663852,8049.999999999983,14107.879095226266,0.0,14062.715556920723,14139.53362590559,14154.73231513017,1.0000000000047748,5509,39.35,3878336,27702.4,104,6035.8242918861115,0.9811218006897804,,0,0,0,21,1,0,0,1.6241240999661386,1.59375,4900.5771484375,1006
distributed_rsu_vpuft,19,2,114,5,0.9047619047619048,0.7916666666666666,0.017241379310344827,0.20833333333333334,0.9827586206896551,0.8444444444444444,0.8173931859663852,8049.999999999983,14282.001189423141,44.94735784048487,14158.10578532546,14325.560765987355,14367.907327727575,19.23356792822517,5524,39.457142857142856,3723904,26599.314285714285,111,5426.418451766163,0.9799058653149891,1.0,0,0,0,21,1,0,0,1.8353358000167646,1.734375,4912.9755859375,1006
ahmed_inspired_witness_vpuft,24,3,109,0,0.8888888888888888,1.0,0.026785714285714284,0.0,0.9732142857142857,0.9411764705882353,0.930096427839267,11250.0,14486.85380325694,44.66256027997417,14202.234540424983,14523.797734975467,14529.621865083309,15.159489858921305,13929,102.41911764705883,10247068,75346.08823529411,272,2892.8755409040136,0.9804723957211573,1.0,0,0,0,27,1,0,0,2.8625691999914125,2.765625,7943.9833984375,1006
centralized_vpuft,18,2,112,7,0.9,0.72,0.017543859649122806,0.28,0.9824561403508771,0.7999999999999999,0.7686934219071898,8099.9999999999945,14121.567963019392,0.0,14062.951249146296,14160.017527690907,14176.658614904678,1.0000000000047748,5342,38.431654676258994,3760768,27055.88489208633,100,6007.9876735306225,0.9812804193186072,,0,0,0,20,1,0,0,1.7357847999664955,1.71875,4826.1162109375,1007
distributed_rsu_vpuft,18,2,112,7,0.9,0.72,0.017543859649122806,0.28,0.9824561403508771,0.7999999999999999,0.7686934219071898,8099.9999999999945,14241.829887361078,45.05712127352679,14145.180182915208,14276.256246831945,14307.310298250373,13.67853505285197,5350,38.489208633093526,3608416,25959.827338129497,115,5410.365227724728,0.9785046728971962,1.0,0,0,0,20,1,0,0,1.5584162000450306,1.453125,4822.4404296875,1007
ahmed_inspired_witness_vpuft,23,3,109,2,0.8846153846153846,0.92,0.026785714285714284,0.08,0.9732142857142857,0.9019607843137256,0.8798051760515778,11000.0,14440.38086334424,45.96060501316046,14185.246691889653,14479.482890056608,14514.680650435614,14.221558291103165,13456,98.21897810218978,9898976,72255.299270073,245,2827.9333736291037,0.9817925089179548,1.0,0,0,0,26,1,0,0,2.141586299985647,2.0625,7615.9150390625,1007
centralized_vpuft,22,2,114,3,0.9166666666666666,0.88,0.017241379310344827,0.12,0.9827586206896551,0.8979591836734694,0.8767782234125103,8000.0,14119.515189882517,0.0,14061.006831589822,14146.157025471552,14175.025863666355,1.0000000000047748,5484,38.8936170212766,3860736,27381.106382978724,105,6084.081824945416,0.9808533916849015,,0,0,0,24,1,0,0,1.6010853000334464,1.578125,4967.2939453125,1008
distributed_rsu_vpuft,22,2,114,3,0.9166666666666666,0.88,0.017241379310344827,0.12,0.9827586206896551,0.8979591836734694,0.8767782234125103,8000.0,14339.172374433265,48.640033672703694,14164.177093598531,14377.702088681663,14407.240149890124,15.124795397061774,5572,39.5177304964539,3735616,26493.7304964539,111,5388.92382592818,0.9800789662598708,1.0,0,0,0,24,1,0,0,1.6977044999948703,1.65625,4988.1611328125,1008
ahmed_inspired_witness_vpuft,21,3,110,4,0.875,0.84,0.02654867256637168,0.16,0.9734513274336283,0.8571428571428572,0.8265759249244127,11000.0,14464.487048617611,158.45992020284896,14196.976518608522,14499.38049026018,14518.777718627189,15.233242863937413,13673,99.07971014492753,10080088,73044.11594202899,277,2881.6501276098106,0.9797410955898486,1.0,0,0,0,24,1,0,0,2.6759720999980345,2.578125,7712.564453125,1008
centralized_vpuft,21,2,111,4,0.9130434782608695,0.84,0.017699115044247787,0.16,0.9823008849557522,0.8749999999999999,0.8498203870615759,8150.0000000000055,14116.172551959744,0.0,14060.81067577185,14142.606917711455,14152.028908486836,1.0000000000047748,5386,39.028985507246375,3791744,27476.405797101448,94,6040.056883772849,0.9825473449684367,,0,0,0,23,1,0,0,1.6137532999855466,1.578125,4815.09765625,1009
distributed_rsu_vpuft,21,2,111,4,0.9130434782608695,0.84,0.017699115044247787,0.16,0.9823008849557522,0.8749999999999999,0.8498203870615759,8150.0000000000055,14329.517486243649,41.8086741089148,14144.970692402578,14367.769508513647,14374.128173355608,17.1295370085744,5451,39.5,3658528,26511.072463768116,103,5353.158707181038,0.9811043845166024,1.0,0,0,0,23,1,0,0,1.5040684000123292,1.515625,4837.453125,1009
ahmed_inspired_witness_vpuft,25,3,107,0,0.8928571428571429,1.0,0.02727272727272727,0.0,0.9727272727272728,0.9433962264150945,0.931936957903534,11000.0,14466.540341739497,56.700257815608865,14202.169576452683,14503.0858073051,14540.35602064082,16.425601677623717,14059,104.14074074074074,10334408,76551.17037037037,254,2934.11487743909,0.9819332811722029,1.0,0,0,0,28,1,0,0,2.1081375000067055,2.078125,7863.935546875,1009
