seed,case_id,source_kind,attestations,independent_roots,correlated_reports_suppressed,suppression_rate
1001,case-1001-veh_000-w0000,rsu,42,14,28,0.6666666666666666
1001,case-1001-veh_000-w0000,vehicle_witness,18,18,0,0.0
1001,case-1001-veh_000-w0001,rsu,82,15,67,0.8170731707317073
1001,case-1001-veh_000-w0001,vehicle_witness,47,47,0,0.0
1001,case-1001-veh_000-w0002,rsu,90,15,75,0.8333333333333334
1001,case-1001-veh_000-w0002,vehicle_witness,115,115,0,0.0
1001,case-1001-veh_000-w0003,rsu,90,15,75,0.8333333333333334
1001,case-1001-veh_000-w0003,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_000-w0004,rsu,89,15,74,0.8314606741573034
1001,case-1001-veh_000-w0004,vehicle_witness,102,102,0,0.0
1001,case-1001-veh_000-w0005,rsu,63,15,48,0.7619047619047619
1001,case-1001-veh_000-w0005,vehicle_witness,75,75,0,0.0
1001,case-1001-veh_000-w0006,rsu,10,5,5,0.5
1001,case-1001-veh_000-w0006,vehicle_witness,25,25,0,0.0
1001,case-1001-veh_001-w0000,rsu,37,13,24,0.6486486486486487
1001,case-1001-veh_001-w0000,vehicle_witness,15,15,0,0.0
1001,case-1001-veh_001-w0001,rsu,81,15,66,0.8148148148148148
1001,case-1001-veh_001-w0001,vehicle_witness,46,46,0,0.0
1001,case-1001-veh_001-w0002,rsu,90,15,75,0.8333333333333334
1001,case-1001-veh_001-w0002,vehicle_witness,114,114,0,0.0
1001,case-1001-veh_001-w0003,rsu,90,15,75,0.8333333333333334
1001,case-1001-veh_001-w0003,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_001-w0004,rsu,88,15,73,0.8295454545454546
1001,case-1001-veh_001-w0004,vehicle_witness,102,102,0,0.0
1001,case-1001-veh_001-w0005,rsu,64,15,49,0.765625
1001,case-1001-veh_001-w0005,vehicle_witness,75,75,0,0.0
1001,case-1001-veh_001-w0006,rsu,12,6,6,0.5
1001,case-1001-veh_001-w0006,vehicle_witness,30,30,0,0.0
1001,case-1001-veh_002-w0000,rsu,33,12,21,0.6363636363636364
1001,case-1001-veh_002-w0000,vehicle_witness,12,12,0,0.0
1001,case-1001-veh_002-w0001,rsu,82,15,67,0.8170731707317073
1001,case-1001-veh_002-w0001,vehicle_witness,47,47,0,0.0
1001,case-1001-veh_002-w0002,rsu,90,15,75,0.8333333333333334
1001,case-1001-veh_002-w0002,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_002-w0003,rsu,79,15,64,0.810126582278481
1001,case-1001-veh_002-w0003,vehicle_witness,67,67,0,0.0
1001,case-1001-veh_002-w0004,rsu,20,9,11,0.55
1001,case-1001-veh_002-w0004,vehicle_witness,27,27,0,0.0
1001,case-1001-veh_003-w0000,rsu,25,11,14,0.56
1001,case-1001-veh_003-w0000,vehicle_witness,10,10,0,0.0
1001,case-1001-veh_003-w0001,rsu,78,15,63,0.8076923076923077
1001,case-1001-veh_003-w0001,vehicle_witness,44,44,0,0.0
1001,case-1001-veh_003-w0002,rsu,90,15,75,0.8333333333333334
1001,case-1001-veh_003-w0002,vehicle_witness,115,115,0,0.0
1001,case-1001-veh_003-w0003,rsu,88,15,73,0.8295454545454546
1001,case-1001-veh_003-w0003,vehicle_witness,108,108,0,0.0
