architecture,message_type,sent,delivered,dropped,bytes_total,mean_retransmission,mean_queue_delay_ms
ahmed_inspired_witness_vpuft,COMMIT,3280,3204,76,1154560,0.02378048780487805,0.0
ahmed_inspired_witness_vpuft,LEDGER_REPLICATION,811,801,10,956980,0.012330456226880395,0.0
ahmed_inspired_witness_vpuft,PREPARE,3266,3204,62,1149632,0.0192896509491733,4.03756220957993
ahmed_inspired_witness_vpuft,PRE_PREPARE,816,801,15,443904,0.01838235294117647,11.489077731099439
ahmed_inspired_witness_vpuft,RSU_WITNESS_EVIDENCE_FORWARD,106153,104040,2113,74731712,0.020282045726451443,2492.578414662912
ahmed_inspired_witness_vpuft,WITNESS_REPORT_TO_RSU,115475,113212,2263,92380000,0.019935050876813163,4027.5155557479547
centralized_vpuft,ATTESTATION_TO_SERVER,107023,104866,2157,75344192,0.020500266297898584,6436.287900059084
distributed_rsu_vpuft,COMMIT,2659,2604,55,935968,0.02068446784505453,0.0
distributed_rsu_vpuft,LEDGER_REPLICATION,661,651,10,740320,0.015128593040847202,0.0
distributed_rsu_vpuft,PREPARE,2653,2604,49,933856,0.018469656992084433,0.0
distributed_rsu_vpuft,PRE_PREPARE,666,651,15,362304,0.02252252252252252,0.0
distributed_rsu_vpuft,RSU_EVIDENCE_EXCHANGE,89897,88113,1784,63287488,0.020178648898183476,6525.208227907159
