architecture,attack_type,TP,FP,TN,FN,precision,recall,frr,mcc
ahmed_inspired_witness_vpuft,benign,0,42,1119,0,0.0,0.0,0.03617571059431524,0.0
ahmed_inspired_witness_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
ahmed_inspired_witness_vpuft,false_denm,24,0,0,6,1.0,0.8,0.0,0.0
ahmed_inspired_witness_vpuft,flood,31,0,0,4,1.0,0.8857142857142857,0.0,0.0
ahmed_inspired_witness_vpuft,mixed,31,0,0,9,1.0,0.775,0.0,0.0
ahmed_inspired_witness_vpuft,position_offset,33,0,0,7,1.0,0.825,0.0,0.0
ahmed_inspired_witness_vpuft,replay,40,0,0,0,1.0,1.0,0.0,0.0
ahmed_inspired_witness_vpuft,speed_offset,36,0,0,4,1.0,0.9,0.0,0.0
centralized_vpuft,benign,0,20,1149,0,0.0,0.0,0.01710863986313088,0.0
centralized_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
centralized_vpuft,false_denm,22,0,0,8,1.0,0.7333333333333333,0.0,0.0
centralized_vpuft,flood,30,0,0,5,1.0,0.8571428571428571,0.0,0.0
centralized_vpuft,mixed,8,0,0,32,1.0,0.2,0.0,0.0
centralized_vpuft,position_offset,37,0,0,3,1.0,0.925,0.0,0.0
centralized_vpuft,replay,30,0,0,10,1.0,0.75,0.0,0.0
centralized_vpuft,speed_offset,40,0,0,0,1.0,1.0,0.0,0.0
distributed_rsu_vpuft,benign,0,20,1149,0,0.0,0.0,0.01710863986313088,0.0
distributed_rsu_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
distributed_rsu_vpuft,false_denm,22,0,0,8,1.0,0.7333333333333333,0.0,0.0
distributed_rsu_vpuft,flood,30,0,0,5,1.0,0.8571428571428571,0.0,0.0
distributed_rsu_vpuft,mixed,8,0,0,32,1.0,0.2,0.0,0.0
distributed_rsu_vpuft,position_offset,37,0,0,3,1.0,0.925,0.0,0.0
distributed_rsu_vpuft,replay,30,0,0,10,1.0,0.75,0.0,0.0
distributed_rsu_vpuft,speed_offset,40,0,0,0,1.0,1.0,0.0,0.0
