architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,cpu_time_seconds,peak_memory_kb,seed
centralized_vpuft,20,2,116,5,0.9090909090909091,0.8,0.01694915254237288,0.2,0.9830508474576272,0.8510638297872342,0.8243221055778025,8000.0,14152.260197663929,0.0,14086.547910962452,14224.054178117889,14258.3633868369,1.0000000000047748,10743,75.12587412587412,7563072,52888.61538461538,198,6445.977574979281,0.9815693940240157,,0,0,0,22,1,0,0,3.227817699953448,3.21875,9467.22265625,1001
distributed_rsu_vpuft,20,2,116,5,0.9090909090909091,0.8,0.01694915254237288,0.2,0.9830508474576272,0.8510638297872342,0.8243221055778025,8000.0,14331.299743585818,40.024495872034294,14170.172638657124,14370.752408039574,14434.250008961042,17.22288122100579,9735,68.07692307692308,6681568,46724.25174825175,209,6055.357218353182,0.9785310734463277,1.0,0,0,0,22,1,0,0,2.8512174999923445,2.828125,9233.251953125,1001
ahmed_inspired_witness_vpuft,23,4,114,2,0.8518518518518519,0.92,0.03389830508474576,0.08,0.9661016949152542,0.8846153846153846,0.8599707868951425,8000.0,14542.17109177978,196.38355173828754,14205.59641411727,14579.587463428075,14623.206435887834,15.519638329251606,24267,169.6993006993007,18054740,126256.92307692308,459,3176.1764011487585,0.9810854246507603,1.0,0,0,0,27,1,0,0,4.863512100011576,4.734375,13714.4716796875,1001
centralized_vpuft,19,2,117,6,0.9047619047619048,0.76,0.01680672268907563,0.24,0.9831932773109243,0.8260869565217391,0.797596160087009,8000.0,14155.572391805379,0.0,14077.318631556693,14228.121513082833,14255.61719121203,1.0000000000047748,10749,74.64583333333333,7567296,52550.666666666664,223,6440.46045957785,0.9792538840822402,,0,0,0,21,1,0,0,3.2954784000176005,3.25,9440.537109375,1002
distributed_rsu_vpuft,19,2,117,6,0.9047619047619048,0.76,0.01680672268907563,0.24,0.9831932773109243,0.8260869565217391,0.797596160087009,8000.0,14313.218958482877,42.68706410033474,14162.176960716068,14354.070445744625,14369.702559644182,15.92837980731332,9677,67.20138888888889,6648128,46167.555555555555,196,6088.61760585651,0.9797457889841893,1.0,0,0,0,21,1,0,0,4.339779100031592,4.296875,9428.0048828125,1002
ahmed_inspired_witness_vpuft,23,5,112,2,0.8214285714285714,0.92,0.042735042735042736,0.08,0.9572649572649573,0.8679245283018867,0.8397737119755241,8000.0,14463.332073358453,131.66490090372156,14198.361213410593,14496.00329876035,14553.233528624934,15.211764966358386,22673,159.66901408450704,16837712,118575.43661971831,455,3158.3584009779333,0.9799320778017907,1.0,0,0,0,28,1,0,0,3.69409619999351,3.65625,12845.2626953125,1002
centralized_vpuft,21,2,114,5,0.9130434782608695,0.8076923076923077,0.017241379310344827,0.19230769230769232,0.9827586206896551,0.8571428571428572,0.8297613157787037,8000.0,14143.719410868729,0.0,14078.82297747047,14215.72315332891,14238.320588875882,1.0000000000047748,10625,74.82394366197182,7480000,52676.05633802817,217,6436.596065882572,0.9795764705882353,,0,0,0,23,1,0,0,2.649843299994245,2.625,9441.38671875,1003
distributed_rsu_vpuft,21,2,114,5,0.9130434782608695,0.8076923076923077,0.017241379310344827,0.19230769230769232,0.9827586206896551,0.8571428571428572,0.8297613157787037,8000.0,14324.995788010614,43.00048471895295,14171.028868632653,14360.170656655455,14394.624166926902,13.47844327381793,9623,67.76760563380282,6593568,46433.57746478873,182,6058.995334154739,0.9810869791125428,1.0,0,0,0,23,1,0,0,2.956288899993524,2.8125,9201.4130859375,1003
ahmed_inspired_witness_vpuft,22,5,109,4,0.8148148148148148,0.8461538461538461,0.043859649122807015,0.15384615384615385,0.956140350877193,0.830188679245283,0.7907726620184067,8049.999999999983,14512.58997718243,107.5051490955612,14208.962570586322,14553.969583444983,14591.6934487341,15.705573309096367,22094,157.81428571428572,16407156,117193.97142857143,428,3187.8614800221744,0.9806282248574274,1.0,0,0,0,27,1,0,0,4.62893060001079,4.53125,12491.291015625,1003
centralized_vpuft,21,2,115,5,0.9130434782608695,0.8076923076923077,0.017094017094017096,0.19230769230769232,0.9829059829059829,0.8571428571428572,0.8300054323396717,8000.0,14161.602059223102,0.0,14085.334604489866,14245.641750519007,14263.115940261214,1.0000000000047748,10720,74.96503496503496,7546880,52775.38461538462,219,6442.487247015141,0.9795708955223881,,0,0,0,23,1,0,0,3.5344219999969937,3.484375,9437.439453125,1004
distributed_rsu_vpuft,21,2,115,5,0.9130434782608695,0.8076923076923077,0.017094017094017096,0.19230769230769232,0.9829059829059829,0.8571428571428572,0.8300054323396717,8000.0,14322.91936367026,40.99478239326508,14175.05428902509,14366.562128666988,14405.610842486152,15.652388665517947,9690,67.76223776223776,6641856,46446.545454545456,175,6064.32205713137,0.9819401444788441,1.0,0,0,0,23,1,0,0,3.4411440000403672,3.328125,9215.6171875,1004
ahmed_inspired_witness_vpuft,24,4,112,2,0.8571428571428571,0.9230769230769231,0.034482758620689655,0.07692307692307693,0.9655172413793104,0.888888888888889,0.8637492516096532,8000.0,14569.749190601442,137.4433049894771,14219.969603259204,14603.401830785699,14658.99755333007,13.52322861275912,23146,163.0,17197840,121111.54929577465,440,3172.3087303352345,0.9809470318845589,1.0,0,0,0,28,1,0,0,4.197812400001567,4.109375,13095.884765625,1004
centralized_vpuft,19,2,117,6,0.9047619047619048,0.76,0.01680672268907563,0.24,0.9831932773109243,0.8260869565217391,0.797596160087009,8000.0,14136.573464806104,0.0,14081.703328307885,14231.069915410379,14248.166995524905,1.0000000000047748,11180,77.63888888888889,7870720,54657.77777777778,215,6450.920707692587,0.9807692307692307,,0,0,0,21,1,0,0,3.497316299995873,3.453125,9843.9052734375,1005
