seed,case_id,source_kind,attestations,independent_roots,correlated_reports_suppressed,suppression_rate
1001,case-1001-veh_000-w0000,rsu,28,14,14,0.5
1001,case-1001-veh_000-w0000,vehicle_witness,73,73,0,0.0
1001,case-1001-veh_000-w0001,rsu,35,15,20,0.5714285714285714
1001,case-1001-veh_000-w0001,vehicle_witness,98,98,0,0.0
1001,case-1001-veh_000-w0002,rsu,30,15,15,0.5
1001,case-1001-veh_000-w0002,vehicle_witness,105,105,0,0.0
1001,case-1001-veh_000-w0003,rsu,36,15,21,0.5833333333333334
1001,case-1001-veh_000-w0003,vehicle_witness,105,105,0,0.0
1001,case-1001-veh_000-w0004,rsu,30,15,15,0.5
1001,case-1001-veh_000-w0004,vehicle_witness,107,107,0,0.0
1001,case-1001-veh_000-w0005,rsu,35,15,20,0.5714285714285714
1001,case-1001-veh_000-w0005,vehicle_witness,117,117,0,0.0
1001,case-1001-veh_000-w0006,rsu,18,6,12,0.6666666666666666
1001,case-1001-veh_000-w0006,vehicle_witness,30,30,0,0.0
1001,case-1001-veh_001-w0000,rsu,30,13,17,0.5666666666666667
1001,case-1001-veh_001-w0000,vehicle_witness,75,75,0,0.0
1001,case-1001-veh_001-w0001,rsu,45,15,30,0.6666666666666666
1001,case-1001-veh_001-w0001,vehicle_witness,94,94,0,0.0
1001,case-1001-veh_001-w0002,rsu,30,15,15,0.5
1001,case-1001-veh_001-w0002,vehicle_witness,110,110,0,0.0
1001,case-1001-veh_001-w0003,rsu,30,15,15,0.5
1001,case-1001-veh_001-w0003,vehicle_witness,101,101,0,0.0
1001,case-1001-veh_001-w0004,rsu,35,15,20,0.5714285714285714
1001,case-1001-veh_001-w0004,vehicle_witness,58,58,0,0.0
1001,case-1001-veh_001-w0005,rsu,31,15,16,0.5161290322580645
1001,case-1001-veh_001-w0005,vehicle_witness,68,68,0,0.0
1001,case-1001-veh_001-w0006,rsu,16,6,10,0.625
1001,case-1001-veh_001-w0006,vehicle_witness,30,30,0,0.0
1001,case-1001-veh_002-w0000,rsu,24,12,12,0.5
1001,case-1001-veh_002-w0000,vehicle_witness,75,75,0,0.0
1001,case-1001-veh_002-w0001,rsu,36,15,21,0.5833333333333334
1001,case-1001-veh_002-w0001,vehicle_witness,110,110,0,0.0
1001,case-1001-veh_002-w0002,rsu,30,15,15,0.5
1001,case-1001-veh_002-w0002,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_002-w0003,rsu,35,15,20,0.5714285714285714
1001,case-1001-veh_002-w0003,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_002-w0004,rsu,30,15,15,0.5
1001,case-1001-veh_002-w0004,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_002-w0005,rsu,32,15,17,0.53125
1001,case-1001-veh_002-w0005,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_002-w0006,rsu,18,6,12,0.6666666666666666
1001,case-1001-veh_002-w0006,vehicle_witness,38,38,0,0.0
1001,case-1001-veh_003-w0000,rsu,23,11,12,0.5217391304347826
1001,case-1001-veh_003-w0000,vehicle_witness,73,73,0,0.0
1001,case-1001-veh_003-w0001,rsu,45,15,30,0.6666666666666666
1001,case-1001-veh_003-w0001,vehicle_witness,119,119,0,0.0
1001,case-1001-veh_003-w0002,rsu,33,15,18,0.5454545454545454
1001,case-1001-veh_003-w0002,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_003-w0003,rsu,30,15,15,0.5
1001,case-1001-veh_003-w0003,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_003-w0004,rsu,36,15,21,0.5833333333333334
1001,case-1001-veh_003-w0004,vehicle_witness,75,75,0,0.0
1001,case-1001-veh_003-w0005,rsu,30,15,15,0.5
1001,case-1001-veh_003-w0005,vehicle_witness,89,89,0,0.0
1001,case-1001-veh_003-w0006,rsu,14,6,8,0.5714285714285714
1001,case-1001-veh_003-w0006,vehicle_witness,36,36,0,0.0
1001,case-1001-veh_004-w0000,rsu,20,10,10,0.5
1001,case-1001-veh_004-w0000,vehicle_witness,70,70,0,0.0
1001,case-1001-veh_004-w0001,rsu,34,15,19,0.5588235294117647
1001,case-1001-veh_004-w0001,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_004-w0002,rsu,31,15,16,0.5161290322580645
1001,case-1001-veh_004-w0002,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_004-w0003,rsu,35,15,20,0.5714285714285714
1001,case-1001-veh_004-w0003,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_004-w0004,rsu,30,15,15,0.5
1001,case-1001-veh_004-w0004,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_004-w0005,rsu,31,15,16,0.5161290322580645
1001,case-1001-veh_004-w0005,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_004-w0006,rsu,18,6,12,0.6666666666666666
1001,case-1001-veh_004-w0006,vehicle_witness,42,42,0,0.0
1001,case-1001-veh_005-w0000,rsu,18,9,9,0.5
1001,case-1001-veh_005-w0000,vehicle_witness,66,66,0,0.0
1001,case-1001-veh_005-w0001,rsu,45,15,30,0.6666666666666666
1001,case-1001-veh_005-w0001,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_005-w0002,rsu,35,15,20,0.5714285714285714
1001,case-1001-veh_005-w0002,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_005-w0003,rsu,30,15,15,0.5
1001,case-1001-veh_005-w0003,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_005-w0004,rsu,34,15,19,0.5588235294117647
1001,case-1001-veh_005-w0004,vehicle_witness,88,88,0,0.0
1001,case-1001-veh_005-w0005,rsu,32,15,17,0.53125
1001,case-1001-veh_005-w0005,vehicle_witness,90,90,0,0.0
1001,case-1001-veh_005-w0006,rsu,12,6,6,0.5
1001,case-1001-veh_005-w0006,vehicle_witness,36,36,0,0.0
1001,case-1001-veh_006-w0000,rsu,16,8,8,0.5
1001,case-1001-veh_006-w0000,vehicle_witness,61,61,0,0.0
1001,case-1001-veh_006-w0001,rsu,30,7,23,0.7666666666666667
1001,case-1001-veh_006-w0001,vehicle_witness,120,56,64,0.5333333333333333
1001,case-1001-veh_006-w0002,rsu,30,4,26,0.8666666666666667
1001,case-1001-veh_006-w0002,vehicle_witness,120,32,88,0.7333333333333333
1001,case-1001-veh_006-w0003,rsu,30,4,26,0.8666666666666667
1001,case-1001-veh_006-w0003,vehicle_witness,120,32,88,0.7333333333333333
1001,case-1001-veh_006-w0004,rsu,30,4,26,0.8666666666666667
1001,case-1001-veh_006-w0004,vehicle_witness,120,32,88,0.7333333333333333
1001,case-1001-veh_006-w0005,rsu,30,15,15,0.5
1001,case-1001-veh_006-w0005,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_006-w0006,rsu,15,6,9,0.6
1001,case-1001-veh_006-w0006,vehicle_witness,48,48,0,0.0
1001,case-1001-veh_007-w0000,rsu,14,7,7,0.5
1001,case-1001-veh_007-w0000,vehicle_witness,55,55,0,0.0
1001,case-1001-veh_007-w0001,rsu,43,15,28,0.6511627906976745
1001,case-1001-veh_007-w0001,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_007-w0002,rsu,36,15,21,0.5833333333333334
1001,case-1001-veh_007-w0002,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_007-w0003,rsu,30,15,15,0.5
1001,case-1001-veh_007-w0003,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_007-w0004,rsu,30,15,15,0.5
1001,case-1001-veh_007-w0004,vehicle_witness,111,111,0,0.0
1001,case-1001-veh_007-w0005,rsu,35,15,20,0.5714285714285714
1001,case-1001-veh_007-w0005,vehicle_witness,105,105,0,0.0
1001,case-1001-veh_007-w0006,rsu,12,6,6,0.5
1001,case-1001-veh_007-w0006,vehicle_witness,42,42,0,0.0
1001,case-1001-veh_008-w0000,rsu,12,6,6,0.5
1001,case-1001-veh_008-w0000,vehicle_witness,48,48,0,0.0
1001,case-1001-veh_008-w0001,rsu,31,15,16,0.5161290322580645
1001,case-1001-veh_008-w0001,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_008-w0002,rsu,34,15,19,0.5588235294117647
1001,case-1001-veh_008-w0002,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_008-w0003,rsu,35,15,20,0.5714285714285714
1001,case-1001-veh_008-w0003,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_008-w0004,rsu,30,15,15,0.5
1001,case-1001-veh_008-w0004,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_008-w0005,rsu,30,15,15,0.5
1001,case-1001-veh_008-w0005,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_008-w0006,rsu,14,6,8,0.5714285714285714
1001,case-1001-veh_008-w0006,vehicle_witness,48,48,0,0.0
1001,case-1001-veh_009-w0000,rsu,10,5,5,0.5
1001,case-1001-veh_009-w0000,vehicle_witness,40,40,0,0.0
1001,case-1001-veh_009-w0001,rsu,41,15,26,0.6341463414634146
1001,case-1001-veh_009-w0001,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_009-w0002,rsu,38,15,23,0.6052631578947368
1001,case-1001-veh_009-w0002,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_009-w0003,rsu,30,15,15,0.5
1001,case-1001-veh_009-w0003,vehicle_witness,120,120,0,0.0
1001,case-1001-veh_009-w0004,rsu,30,15,15,0.5
