architecture,message_type,sent,delivered,dropped,bytes_total,mean_retransmission,mean_queue_delay_ms
ahmed_inspired_witness_vpuft,COMMIT,3244,3168,76,1141888,0.02435265104808878,0.0
ahmed_inspired_witness_vpuft,LEDGER_REPLICATION,812,792,20,958160,0.024630541871921183,0.0
ahmed_inspired_witness_vpuft,PREPARE,3226,3168,58,1135552,0.01828890266584005,0.0
ahmed_inspired_witness_vpuft,PRE_PREPARE,807,792,15,439008,0.01858736059479554,0.8123844793834153
ahmed_inspired_witness_vpuft,RSU_WITNESS_EVIDENCE_FORWARD,126847,124306,2541,89300288,0.020402532184442674,1077.243743270386
ahmed_inspired_witness_vpuft,WITNESS_REPORT_TO_RSU,167342,164025,3317,133873600,0.02021608442590623,5068.796177887159
centralized_vpuft,ATTESTATION_TO_SERVER,53873,52809,1064,37926592,0.020139958791973715,5858.983735377819
distributed_rsu_vpuft,COMMIT,2657,2604,53,935264,0.019947308995107264,0.0
distributed_rsu_vpuft,LEDGER_REPLICATION,662,651,11,741440,0.01661631419939577,0.0
distributed_rsu_vpuft,PREPARE,2659,2604,55,935968,0.021060549078600978,0.0
distributed_rsu_vpuft,PRE_PREPARE,669,651,18,363936,0.026905829596412557,11.053617654759767
distributed_rsu_vpuft,RSU_EVIDENCE_EXCHANGE,42434,41607,827,29873536,0.019819013055568647,5777.353243436031
