architecture,attack_type,TP,FP,TN,FN,precision,recall,frr,mcc
ahmed_inspired_witness_vpuft,benign,0,40,1290,0,0.0,0.0,0.03007518796992481,0.0
ahmed_inspired_witness_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
ahmed_inspired_witness_vpuft,false_denm,30,0,0,0,1.0,1.0,0.0,0.0
ahmed_inspired_witness_vpuft,flood,30,0,0,0,1.0,1.0,0.0,0.0
ahmed_inspired_witness_vpuft,mixed,40,0,0,0,1.0,1.0,0.0,0.0
ahmed_inspired_witness_vpuft,position_offset,31,0,0,9,1.0,0.775,0.0,0.0
ahmed_inspired_witness_vpuft,replay,30,0,0,10,1.0,0.75,0.0,0.0
ahmed_inspired_witness_vpuft,speed_offset,33,0,0,7,1.0,0.825,0.0,0.0
centralized_vpuft,benign,0,21,1309,0,0.0,0.0,0.015789473684210527,0.0
centralized_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
centralized_vpuft,false_denm,20,0,0,10,1.0,0.6666666666666666,0.0,0.0
centralized_vpuft,flood,30,0,0,0,1.0,1.0,0.0,0.0
centralized_vpuft,mixed,10,0,0,30,1.0,0.25,0.0,0.0
centralized_vpuft,position_offset,38,0,0,2,1.0,0.95,0.0,0.0
centralized_vpuft,replay,30,0,0,10,1.0,0.75,0.0,0.0
centralized_vpuft,speed_offset,38,0,0,2,1.0,0.95,0.0,0.0
distributed_rsu_vpuft,benign,0,21,1309,0,0.0,0.0,0.015789473684210527,0.0
distributed_rsu_vpuft,certificate_tamper,30,0,0,0,1.0,1.0,0.0,0.0
distributed_rsu_vpuft,false_denm,20,0,0,10,1.0,0.6666666666666666,0.0,0.0
distributed_rsu_vpuft,flood,30,0,0,0,1.0,1.0,0.0,0.0
distributed_rsu_vpuft,mixed,10,0,0,30,1.0,0.25,0.0,0.0
distributed_rsu_vpuft,position_offset,38,0,0,2,1.0,0.95,0.0,0.0
distributed_rsu_vpuft,replay,30,0,0,10,1.0,0.75,0.0,0.0
distributed_rsu_vpuft,speed_offset,38,0,0,2,1.0,0.95,0.0,0.0
