seed,event_id,case_id,source_kind,attack_type,ground_truth_attack_type,direction,ground_truth_malicious
1001,det-5ecd25e720e6bf386f97aa54,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-f4791f76fde449f92ea2817c,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-0fd6c879620b0a039a7cc388,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-5a7072bed06a3e4d3135dc4c,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-93d8656c1b5e2e19b8a2bde9,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-d735c8622de7267871a029d6,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,wdet-1b47eda81cd2923fc2aec676,case-1001-veh_001-w0000,vehicle_witness,benign,benign,-1,0
1001,wdet-e05424f6d47303d427699f5a,case-1001-veh_000-w0000,vehicle_witness,position_offset,benign,-1,0
1001,det-3d984fb5a0cda1eea296dc27,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-4ba682d9dabd8868286fe44e,case-1001-veh_002-w0000,rsu,benign,benign,-1,0
1001,det-592af6755487bea631ee3379,case-1001-veh_002-w0000,rsu,benign,benign,-1,0
1001,det-ae8c984ac6b91889adbb1c38,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-c42137e404f7f46f2b0b9e85,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-fc83c56715404b7fcca41e53,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,wdet-065e34aac9839e122381cba1,case-1001-veh_001-w0000,vehicle_witness,benign,benign,-1,0
1001,wdet-2d1d797d2988696ce69fa06c,case-1001-veh_001-w0000,vehicle_witness,benign,benign,-1,0
1001,wdet-4d9e670006dec0376fc02600,case-1001-veh_000-w0000,vehicle_witness,position_offset,benign,-1,0
1001,wdet-8f0ebbb0f735dfe4e0331847,case-1001-veh_002-w0000,vehicle_witness,benign,benign,-1,0
1001,wdet-cd4c4cb6312ded903bd464e4,case-1001-veh_002-w0000,vehicle_witness,benign,benign,-1,0
1001,wdet-cf74d525557410506a2bf171,case-1001-veh_000-w0000,vehicle_witness,position_offset,benign,-1,0
1001,det-1828404f09b2bc992bb638ba,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-261ce7c0e1535265451e4fec,case-1001-veh_002-w0000,rsu,benign,benign,-1,0
1001,det-659bcbc60f5a814841b78190,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-7b28c080342dc980baecc38b,case-1001-veh_002-w0000,rsu,benign,benign,-1,0
1001,det-b07d8a0580bd6457ed740330,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-ca7fb497425fcbab8d4628e3,case-1001-veh_003-w0000,rsu,benign,benign,-1,0
1001,det-f302533c43d4b11a6ecc39ec,case-1001-veh_003-w0000,rsu,benign,benign,-1,0
1001,det-f6e14e834447b727cb9b5405,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,wdet-33c3a79824cb8a7e332d981e,case-1001-veh_003-w0000,vehicle_witness,benign,benign,-1,0
1001,wdet-516af38c089f2e14fab6ad30,case-1001-veh_001-w0000,vehicle_witness,benign,benign,-1,0
1001,wdet-621b63598cd37008adb18eb9,case-1001-veh_002-w0000,vehicle_witness,benign,benign,-1,0
1001,wdet-78f78f57980a52de28ae884e,case-1001-veh_002-w0000,vehicle_witness,benign,benign,-1,0
1001,wdet-8a64a238b2a83022cb76b969,case-1001-veh_002-w0000,vehicle_witness,benign,benign,-1,0
1001,wdet-a0525835ceebf57150197a7f,case-1001-veh_003-w0000,vehicle_witness,benign,benign,-1,0
1001,wdet-b31c215841ad1b048f194cc3,case-1001-veh_000-w0000,vehicle_witness,position_offset,benign,-1,0
1001,wdet-c64d42b92962a713bf3971a4,case-1001-veh_000-w0000,vehicle_witness,position_offset,benign,-1,0
1001,wdet-dc77858702c46d28f0bf3dc3,case-1001-veh_000-w0000,vehicle_witness,position_offset,benign,-1,0
1001,wdet-e3a2194ec13c86ea4956f059,case-1001-veh_003-w0000,vehicle_witness,benign,benign,-1,0
1001,wdet-f35bef89974cd38f77840f26,case-1001-veh_001-w0000,vehicle_witness,benign,benign,-1,0
1001,wdet-fdea50dd8fb2400c385749c9,case-1001-veh_001-w0000,vehicle_witness,benign,benign,-1,0
1001,det-0429a24a54d99b8cb9aae446,case-1001-veh_004-w0000,rsu,benign,benign,-1,0
1001,det-44a8b196b4c9429a97e19a23,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-8261aa3ccf2aee6bf970ad26,case-1001-veh_004-w0000,rsu,benign,benign,-1,0
1001,det-997a943f71c3bae4513c924d,case-1001-veh_000-w0000,rsu,position_offset,benign,-1,0
1001,det-9b2dcd3c9b6cb070b84fc653,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,det-9ef90fe0ac86dcf7ee36229c,case-1001-veh_002-w0000,rsu,benign,benign,-1,0
1001,det-c2d84a64536db1699ad681e3,case-1001-veh_002-w0000,rsu,benign,benign,-1,0
1001,det-da7e92850520f0c67b9e4447,case-1001-veh_003-w0000,rsu,benign,benign,-1,0
1001,det-e42154af8d514a85d5b1e61b,case-1001-veh_003-w0000,rsu,benign,benign,-1,0
1001,det-e4966a9de7a9dd33e37d3fe6,case-1001-veh_001-w0000,rsu,benign,benign,-1,0
1001,wdet-11c8560a8cb091bbd0f9d74a,case-1001-veh_000-w0000,vehicle_witness,position_offset,benign,-1,0
1001,wdet-164ebbad80f4aa137899d40b,case-1001-veh_001-w0000,vehicle_witness,benign,benign,-1,0
