architecture,message_type,sent,delivered,dropped,bytes_total,mean_queue_delay_ms,mean_retransmission
ahmed_inspired_witness_vpuft,COMMIT,12876,12612,264,4532352,0.0,0.021046908977943462
ahmed_inspired_witness_vpuft,LEDGER_REPLICATION,3212,3153,59,3790160,0.0,0.018368617683686177
ahmed_inspired_witness_vpuft,PREPARE,12842,12612,230,4520384,2.9824662235226187,0.018377199813113223
ahmed_inspired_witness_vpuft,PRE_PREPARE,3209,3153,56,1745696,4.548263163022882,0.017450919289498285
ahmed_inspired_witness_vpuft,RSU_WITNESS_EVIDENCE_FORWARD,457591,448565,9026,322144064,1928.2688135910832,0.020103105174708417
ahmed_inspired_witness_vpuft,WITNESS_REPORT_TO_RSU,525309,514817,10492,420247200,4378.736038788561,0.02033089096131991
centralized_vpuft,ATTESTATION_TO_SERVER,285272,279585,5687,200831488,6122.526296026459,0.02030693513558989
distributed_rsu_vpuft,COMMIT,10956,10740,216,3856512,0.0,0.01980649872216137
distributed_rsu_vpuft,LEDGER_REPLICATION,2742,2685,57,3071040,0.0,0.020787746170678335
distributed_rsu_vpuft,PREPARE,10944,10740,204,3852288,0.0,0.019005847953216373
distributed_rsu_vpuft,PRE_PREPARE,2749,2685,64,1495456,2.9739328165414634,0.02328119316114951
distributed_rsu_vpuft,RSU_EVIDENCE_EXCHANGE,242117,237346,4771,170450368,6212.431746874342,0.020035767831255137
