architecture,stage,stage_column,interpretation_scope,median,q1,q3,min,max,mean,n_seeds
Centralized V-PUFT,Detection / evidence acquisition,detection_latency_p95_ms,Evidence acquisition/detection; may vary with evidence view and delivery path,8000.0,8000.0,8000.0,8000.0,8150.000000000005,8012.499999999997,40
Centralized V-PUFT,Qualification (V-PUFT),qualification_latency_p95_ms,V-PUFT qualification after detection,14130.11797192221,14103.50761850646,14149.905452167166,14092.444802737082,14167.602412851404,14127.977343649947,40
Centralized V-PUFT,Finalization (central or PBFT),consensus_latency_p95_ms,Finalization path; cleanest Central-vs-PBFT comparison,0.0,0.0,0.0,0.0,0.0,0.0,40
Centralized V-PUFT,End-to-end (NOT the sum of the stages above),latency_p95_ms,End-to-end case latency from case opening to finalization,14184.00204044941,14156.848006729308,14210.980902823625,14137.725548276669,14245.641750519007,14183.849747286306,40
Distributed RSU V-PUFT,Detection / evidence acquisition,detection_latency_p95_ms,Evidence acquisition/detection; may vary with evidence view and delivery path,8000.0,8000.0,8000.0,8000.0,8150.000000000005,8012.499999999997,40
Distributed RSU V-PUFT,Qualification (V-PUFT),qualification_latency_p95_ms,V-PUFT qualification after detection,14323.957575840437,14283.032199830013,14351.339796021733,14241.829887361078,14395.787866202496,14317.596996404482,40
Distributed RSU V-PUFT,Finalization (central or PBFT),consensus_latency_p95_ms,Finalization path; cleanest Central-vs-PBFT comparison,44.95041023886222,42.660482741862715,65.88939877097388,40.02449587203429,125.0001182244432,61.27062623453683,40
Distributed RSU V-PUFT,End-to-end (NOT the sum of the stages above),latency_p95_ms,End-to-end case latency from case opening to finalization,14361.688421656849,14323.418761804292,14391.523746738796,14276.256246831945,14430.976315557124,14356.600514393178,40
Ahmed-Inspired Witness V-PUFT,Detection / evidence acquisition,detection_latency_p95_ms,Evidence acquisition/detection; may vary with evidence view and delivery path,8000.0,8000.0,8774.999999999984,8000.0,11250.0,8758.749999999998,40
Ahmed-Inspired Witness V-PUFT,Qualification (V-PUFT),qualification_latency_p95_ms,V-PUFT qualification after detection,14589.16693449056,14478.28629240991,14817.051874594144,14440.25973752078,14883.427505261894,14645.391685451988,40
Ahmed-Inspired Witness V-PUFT,Finalization (central or PBFT),consensus_latency_p95_ms,Finalization path; cleanest Central-vs-PBFT comparison,45.62911812110349,43.852661337910305,113.54508704760129,41.68784139416459,1766.75390362601,118.65075798145244,40
Ahmed-Inspired Witness V-PUFT,End-to-end (NOT the sum of the stages above),latency_p95_ms,End-to-end case latency from case opening to finalization,14623.086814768805,14511.31329761471,14854.905881876883,14474.230098462329,14918.582685639894,14682.748980079265,40
