repeat,alpha_C,alpha_rho,alpha_F,alpha_Q,alpha_eta,TP,FP,TN,FN,recall,frr,precision,specificity,f1,mcc,balanced_accuracy
0,0.24941804215425473,0.1335951292533616,0.10087363977443363,0.5109901668695779,0.005123021948372288,1385,194,7761,221,0.8623910336239103,0.02438717787554997,0.8771374287523749,0.97561282212445,0.869701726844584,0.8437075833267418,0.9190019278741801
1,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1377,192,7781,231,0.8563432835820896,0.024081274300765083,0.8776290630975143,0.9759187256992349,0.8668555240793202,0.8404889977254104,0.9161310046406622
2,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1372,184,7747,234,0.8542963885429639,0.023200100870003782,0.8817480719794345,0.9767998991299962,0.8678051865907654,0.8416947844691943,0.9155481438364801
3,0.24941804215425473,0.1335951292533616,0.10087363977443363,0.5109901668695779,0.005123021948372288,1376,196,7795,226,0.8589263420724095,0.02452759354273558,0.8753180661577609,0.9754724064572644,0.8670447385003149,0.8407462448353479,0.917199374264837
4,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1383,182,7784,231,0.8568773234200744,0.022847100175746926,0.8837060702875399,0.9771528998242531,0.8700849323686694,0.8443932844348301,0.9170151116221638
5,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1369,188,7752,239,0.8513681592039801,0.02367758186397985,0.8792549775208734,0.9763224181360202,0.8650868878357029,0.8384485401511592,0.9138452886700001
6,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1382,182,7739,226,0.8594527363184079,0.02297689685645752,0.8836317135549873,0.9770231031435425,0.8713745271122321,0.84581457745275,0.9182379197309751
7,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1374,187,7769,234,0.8544776119402985,0.023504273504273504,0.8802049967969251,0.9764957264957265,0.8671505206689807,0.8409102365111379,0.9154866692180125
8,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1387,183,7749,219,0.8636363636363636,0.023071104387291982,0.8834394904458599,0.976928895612708,0.8734256926952142,0.8482250048209453,0.9202826296245359
9,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1379,184,7760,239,0.8522867737948084,0.023162134944612285,0.8822776711452335,0.9768378650553877,0.8670229487582521,0.8406812476907225,0.914562319425098
10,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1389,187,7768,221,0.8627329192546583,0.023507228158390948,0.8813451776649747,0.9764927718416091,0.871939736346516,0.8464230530582758,0.9196128455481337
11,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1384,186,7758,228,0.858560794044665,0.023413897280966767,0.8815286624203822,0.9765861027190332,0.8698931489629164,0.8440157073769088,0.9175734483818492
12,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1386,183,7760,232,0.8566131025957973,0.023039153972050863,0.8833652007648184,0.9769608460279492,0.8697834954502668,0.8438912110727882,0.9167869743118733
13,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1373,189,7763,235,0.8538557213930348,0.023767605633802816,0.8790012804097311,0.9762323943661971,0.8662460567823344,0.8397967496489062,0.915044057879616
14,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1355,188,7791,243,0.8479349186483104,0.023561849855871664,0.8781594296824368,0.9764381501441284,0.8627825533269659,0.8360601790575324,0.9121865343962194
15,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1368,188,7795,240,0.8507462686567164,0.02355004384316673,0.8791773778920309,0.9764499561568333,0.8647281921618205,0.8381792277140478,0.9135981124067749
16,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1365,197,7794,241,0.8499377334993773,0.024652734326116883,0.8738796414852753,0.9753472656738831,0.8617424242424242,0.8345336091426533,0.9126424995866302
17,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1376,195,7785,230,0.8567870485678705,0.02443609022556391,0.875875238701464,0.9755639097744361,0.8662259993704753,0.8397322723441032,0.9161754791711533
18,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1378,190,7744,228,0.8580323785803238,0.023947567431308294,0.8788265306122449,0.9760524325686917,0.8683049779458099,0.8421169464618087,0.9170424055745077
19,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1376,188,7758,230,0.8567870485678705,0.02365970299521772,0.8797953964194374,0.9763402970047823,0.8681388012618296,0.8420173451242485,0.9165636727863264
20,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1375,184,7745,231,0.8561643835616438,0.023205952831378485,0.881975625400898,0.9767940471686215,0.8688783570300157,0.8429264416593281,0.9164792153651327
21,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1365,192,7774,233,0.8541927409261577,0.024102435350238514,0.8766859344894027,0.9758975646497615,0.8652931854199682,0.8387927341979615,0.9150451527879596
22,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1374,192,7763,230,0.8566084788029925,0.024135763670647393,0.8773946360153256,0.9758642363293526,0.8668769716088328,0.8405073135281073,0.9162363575661725
23,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1369,186,7778,241,0.8503105590062112,0.0233550979407333,0.8803858520900322,0.9766449020592667,0.865086887835703,0.8385623893656019,0.913477730532739
24,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1381,185,7749,235,0.8545792079207921,0.023317368288379128,0.8818646232439336,0.9766826317116208,0.8680075424261471,0.8417797562208373,0.9156309198162065
25,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1377,188,7764,233,0.8552795031055901,0.023641851106639838,0.8798722044728434,0.9763581488933601,0.8674015748031496,0.8411327606998595,0.9158188259994751
26,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1389,186,7762,223,0.8616625310173698,0.023402113739305487,0.8819047619047619,0.9765978862606945,0.8716661437088171,0.8460824132880612,0.9191302086390322
27,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1374,192,7782,228,0.8576779026217228,0.024078254326561323,0.8773946360153256,0.9759217456734387,0.8674242424242424,0.8412300101248198,0.9167998241475808
28,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1382,184,7732,224,0.8605230386052304,0.023244062657908033,0.8825031928480205,0.976755937342092,0.8713745271122322,0.8457705978525644,0.9186394879736612
29,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1377,185,7764,233,0.8552795031055901,0.023273367719209962,0.881562099871959,0.97672663228079,0.8682219419924337,0.8421542653507752,0.9160030676931901
30,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1361,197,7799,237,0.8516896120150188,0.024637318659329666,0.8735558408215661,0.9753626813406704,0.8624841571609634,0.8355146317167519,0.9135261466778446
31,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1373,183,7766,237,0.8527950310559006,0.023021763743867153,0.8823907455012854,0.9769782362561329,0.8673404927353127,0.8411964299158803,0.9148866336560167
32,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1382,183,7774,232,0.8562577447335812,0.022998617569435716,0.8830670926517572,0.9770013824305643,0.8694558037118592,0.8436096905360236,0.9166295635820727
33,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1381,191,7792,223,0.8609725685785536,0.023925842415132157,0.878498727735369,0.9760741575848678,0.8696473551637279,0.8438337948865793,0.9185233630817107
34,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1367,187,7768,247,0.8469640644361834,0.023507228158390948,0.8796653796653797,0.9764927718416091,0.8630050505050507,0.836056111704479,0.9117284181388963
35,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1369,193,7785,237,0.8524283935242839,0.024191526698420656,0.8764404609475032,0.9758084733015794,0.8642676767676768,0.8375148204829428,0.9141184334129316
36,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1381,181,7775,231,0.8566997518610422,0.02275012569130216,0.884122919334187,0.9772498743086978,0.8701953371140517,0.8445423194238226,0.91697481308487
37,0.24941804215425473,0.1335951292533616,0.10087363977443363,0.5109901668695779,0.005123021948372288,1385,196,7772,215,0.865625,0.02459839357429719,0.8760278304870335,0.9754016064257028,0.8707953473750393,0.8450581840147766,0.9205133032128514
38,0.3652673861753211,0.16195260151983162,0.06370517641034751,0.40608957775126925,0.0029852581432305157,1367,183,7756,239,0.8511830635118306,0.023050762060712937,0.8819354838709678,0.9769492379392871,0.8662864385297845,0.8400019863253408,0.9140661507255589
