family,comparison,arch_a,arch_b,metric,value_a,value_b,difference,ci_low,ci_high,excludes_zero,n_clusters
primary,Distributed RSU V-PUFT vs Centralized V-PUFT,Centralized V-PUFT,Distributed RSU V-PUFT,recall,0.808955223880597,0.808955223880597,0.0,0.0,0.0,False,40
primary,Distributed RSU V-PUFT vs Centralized V-PUFT,Centralized V-PUFT,Distributed RSU V-PUFT,frr,0.016442751152997793,0.016442751152997793,0.0,0.0,0.0,False,40
secondary,Distributed RSU V-PUFT vs Centralized V-PUFT,Centralized V-PUFT,Distributed RSU V-PUFT,precision,0.9083798882681564,0.9083798882681564,0.0,0.0,0.0,False,40
secondary,Distributed RSU V-PUFT vs Centralized V-PUFT,Centralized V-PUFT,Distributed RSU V-PUFT,f1,0.8557894736842105,0.8557894736842105,0.0,0.0,0.0,False,40
primary,Distributed RSU V-PUFT vs Centralized V-PUFT,Centralized V-PUFT,Distributed RSU V-PUFT,mcc,0.8306919206114666,0.8306919206114666,0.0,0.0,0.0,False,40
primary,Ahmed-Inspired Witness V-PUFT vs Centralized V-PUFT,Centralized V-PUFT,Ahmed-Inspired Witness V-PUFT,recall,0.808955223880597,0.8935323383084577,0.08457711442786064,0.06349206349206349,0.10568295114656034,True,40
primary,Ahmed-Inspired Witness V-PUFT vs Centralized V-PUFT,Centralized V-PUFT,Ahmed-Inspired Witness V-PUFT,frr,0.016442751152997793,0.030921584478577204,0.01447883332557941,0.013849879452203867,0.015119478352599648,True,40
secondary,Ahmed-Inspired Witness V-PUFT vs Centralized V-PUFT,Centralized V-PUFT,Ahmed-Inspired Witness V-PUFT,precision,0.9083798882681564,0.8544243577545195,-0.053955530513636885,-0.057707122205051566,-0.050259080475290374,True,40
secondary,Ahmed-Inspired Witness V-PUFT vs Centralized V-PUFT,Centralized V-PUFT,Ahmed-Inspired Witness V-PUFT,f1,0.8557894736842105,0.8735408560311283,0.017751382346917755,0.005477266631271571,0.029842787217819425,True,40
primary,Ahmed-Inspired Witness V-PUFT vs Centralized V-PUFT,Centralized V-PUFT,Ahmed-Inspired Witness V-PUFT,mcc,0.8306919206114666,0.8474707796909425,0.01677885907947596,0.0023846128566841207,0.03087391402344686,True,40
primary,Ahmed-Inspired Witness V-PUFT vs Distributed RSU V-PUFT,Distributed RSU V-PUFT,Ahmed-Inspired Witness V-PUFT,recall,0.808955223880597,0.8935323383084577,0.08457711442786064,0.06342913776015857,0.10599999999999998,True,40
primary,Ahmed-Inspired Witness V-PUFT vs Distributed RSU V-PUFT,Distributed RSU V-PUFT,Ahmed-Inspired Witness V-PUFT,frr,0.016442751152997793,0.030921584478577204,0.01447883332557941,0.013852529971724642,0.0151199279950808,True,40
secondary,Ahmed-Inspired Witness V-PUFT vs Distributed RSU V-PUFT,Distributed RSU V-PUFT,Ahmed-Inspired Witness V-PUFT,precision,0.9083798882681564,0.8544243577545195,-0.053955530513636885,-0.057887338503225465,-0.05020022732468365,True,40
secondary,Ahmed-Inspired Witness V-PUFT vs Distributed RSU V-PUFT,Distributed RSU V-PUFT,Ahmed-Inspired Witness V-PUFT,f1,0.8557894736842105,0.8735408560311283,0.017751382346917755,0.005524501885331607,0.030019471119944765,True,40
primary,Ahmed-Inspired Witness V-PUFT vs Distributed RSU V-PUFT,Distributed RSU V-PUFT,Ahmed-Inspired Witness V-PUFT,mcc,0.8306919206114666,0.8474707796909425,0.01677885907947596,0.002491970616625353,0.03112244465916022,True,40
