,,bytes_per_decision,bytes_per_decision,bytes_per_decision,false_revocation_rate,false_revocation_rate,false_revocation_rate,latency_p95_ms,latency_p95_ms,latency_p95_ms,malicious_revocation_recall,malicious_revocation_recall,malicious_revocation_recall,mcc,mcc,mcc,messages_per_decision,messages_per_decision,messages_per_decision,peak_memory_kb,peak_memory_kb,peak_memory_kb,trust_f1,trust_f1,trust_f1,trust_precision,trust_precision,trust_precision
architecture,,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft,ahmed_inspired_witness_vpuft,centralized_vpuft,distributed_rsu_vpuft
topology,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,
corridor,1001,161968.0253164557,30811.13924050633,29332.45569620253,0.0300751879699248,0.0150375939849624,0.0150375939849624,14889.909616233124,14198.610294600116,14399.906817451689,0.88,0.84,0.84,0.836570783400992,0.8536880074557871,0.8536880074557871,216.81012658227849,43.765822784810126,43.29746835443038,19568.2607421875,6151.4814453125,6139.302734375,0.8627450980392156,0.8749999999999999,0.8749999999999999,0.8461538461538461,0.9130434782608696,0.9130434782608696
corridor,1002,162419.67088607594,30976.0,29379.240506329115,0.0300751879699248,0.0150375939849624,0.0150375939849624,14900.688310439711,14203.621697810631,14430.976315557124,0.96,0.84,0.84,0.888777330115168,0.8536880074557871,0.8536880074557871,217.5506329113924,44.0,43.35443037974684,19527.6591796875,6217.5986328125,6193.6650390625,0.9056603773584904,0.8749999999999999,0.8749999999999999,0.8571428571428571,0.9130434782608696,0.9130434782608696
corridor,1003,162233.74683544305,30882.430379746835,29364.86075949367,0.0300751879699248,0.0150375939849624,0.0150375939849624,14887.087553160249,14195.63990116953,14404.776456310898,0.88,0.88,0.88,0.836570783400992,0.8794983658474717,0.8794983658474717,217.13924050632912,43.86708860759494,43.37341772151899,19407.7138671875,6157.880859375,6144.1875,0.8627450980392156,0.8979591836734694,0.8979591836734694,0.8461538461538461,0.9166666666666666,0.9166666666666666
corridor,1004,162377.3924050633,30984.91139240506,29363.645569620254,0.0300751879699248,0.0150375939849624,0.0150375939849624,14906.392845018649,14209.400152655197,14398.035951300111,0.92,0.88,0.88,0.8628426628216331,0.8794983658474717,0.8794983658474717,217.40506329113924,44.0126582278481,43.39873417721519,19375.373046875,6160.4375,6149.4912109375,0.8846153846153846,0.8979591836734694,0.8979591836734694,0.8518518518518519,0.9166666666666666,0.9166666666666666
corridor,1005,162069.2658227848,30984.91139240506,29405.569620253165,0.0300751879699248,0.0150375939849624,0.0150375939849624,14898.013375667497,14198.139002090877,14424.43792320439,0.88,0.88,0.88,0.836570783400992,0.8794983658474717,0.8794983658474717,216.93037974683543,44.0126582278481,43.462025316455694,19522.2998046875,6146.015625,6142.4345703125,0.8627450980392156,0.8979591836734694,0.8979591836734694,0.8461538461538461,0.9166666666666666,0.9166666666666666
corridor,1006,162289.2658227848,30846.78481012658,29294.37974683544,0.0300751879699248,0.0150375939849624,0.0150375939849624,14897.501935066908,14195.899227756348,14389.089285513388,0.88,0.84,0.84,0.836570783400992,0.8536880074557871,0.8536880074557871,217.2405063291139,43.81645569620253,43.221518987341774,19501.7353515625,6201.4423828125,6179.150390625,0.8627450980392156,0.8749999999999999,0.8749999999999999,0.8461538461538461,0.9130434782608696,0.9130434782608696
corridor,1007,162247.79746835443,30877.974683544304,29205.46835443038,0.0300751879699248,0.0150375939849624,0.0150375939849624,14871.093421788437,14197.596819489898,14391.215227731776,0.96,0.8,0.8,0.888777330115168,0.8274921602653108,0.8274921602653108,217.3417721518988,43.86075949367088,43.050632911392405,19426.4111328125,6159.7451171875,6133.2275390625,0.9056603773584904,0.8510638297872342,0.8510638297872342,0.8571428571428571,0.9090909090909092,0.9090909090909092
corridor,1008,162404.91139240508,30860.151898734177,29367.49367088608,0.0300751879699248,0.0150375939849624,0.0150375939849624,14918.582685639894,14204.026546374922,14394.1671770709,0.96,0.88,0.88,0.888777330115168,0.8794983658474717,0.8794983658474717,217.5379746835443,43.83544303797469,43.40506329113924,19393.3388671875,6144.8134765625,6142.6845703125,0.9056603773584904,0.8979591836734694,0.8979591836734694,0.8571428571428571,0.9166666666666666,0.9166666666666666
