topology,vehicle_count,seed,architecture,backhaul_extra_latency_ms,attack_type,cases,TP,FP,TN,FN,attack_recall,benign_false_revocation_rate
urban_roundabout,20,1001,centralized_remote_0ms_control,0.0,benign,26,0,0,26,0,,0.0
urban_roundabout,20,1001,centralized_remote_0ms_control,0.0,certificate_tamper,3,2,1,0,0,1.0,1.0
urban_roundabout,20,1001,centralized_remote_0ms_control,0.0,mixed,3,0,0,0,3,0.0,
urban_roundabout,20,1001,centralized_remote_0ms_control,0.0,replay,1,1,0,0,0,1.0,
urban_roundabout,20,1001,centralized_remote_0ms_control,0.0,speed_offset,4,1,0,1,2,0.3333333333333333,0.0
urban_roundabout,20,1001,centralized_remote_100ms,100.0,benign,26,0,0,26,0,,0.0
urban_roundabout,20,1001,centralized_remote_100ms,100.0,certificate_tamper,3,2,1,0,0,1.0,1.0
urban_roundabout,20,1001,centralized_remote_100ms,100.0,mixed,3,0,0,0,3,0.0,
urban_roundabout,20,1001,centralized_remote_100ms,100.0,replay,1,1,0,0,0,1.0,
urban_roundabout,20,1001,centralized_remote_100ms,100.0,speed_offset,4,1,0,1,2,0.3333333333333333,0.0
urban_roundabout,20,1001,distributed_density_honest,,benign,26,0,0,26,0,,0.0
urban_roundabout,20,1001,distributed_density_honest,,certificate_tamper,3,2,1,0,0,1.0,1.0
urban_roundabout,20,1001,distributed_density_honest,,mixed,3,0,0,0,3,0.0,
urban_roundabout,20,1001,distributed_density_honest,,replay,1,1,0,0,0,1.0,
urban_roundabout,20,1001,distributed_density_honest,,speed_offset,4,1,0,1,2,0.3333333333333333,0.0
urban_roundabout,20,1002,centralized_remote_0ms_control,0.0,benign,26,0,0,26,0,,0.0
urban_roundabout,20,1002,centralized_remote_0ms_control,0.0,certificate_tamper,3,2,1,0,0,1.0,1.0
urban_roundabout,20,1002,centralized_remote_0ms_control,0.0,mixed,3,0,0,0,3,0.0,
urban_roundabout,20,1002,centralized_remote_0ms_control,0.0,position_offset,1,0,0,1,0,,0.0
urban_roundabout,20,1002,centralized_remote_0ms_control,0.0,replay,1,1,0,0,0,1.0,
urban_roundabout,20,1002,centralized_remote_0ms_control,0.0,speed_offset,3,1,0,0,2,0.3333333333333333,
urban_roundabout,20,1002,centralized_remote_100ms,100.0,benign,26,0,0,26,0,,0.0
urban_roundabout,20,1002,centralized_remote_100ms,100.0,certificate_tamper,3,2,1,0,0,1.0,1.0
urban_roundabout,20,1002,centralized_remote_100ms,100.0,mixed,3,0,0,0,3,0.0,
urban_roundabout,20,1002,centralized_remote_100ms,100.0,position_offset,1,0,0,1,0,,0.0
urban_roundabout,20,1002,centralized_remote_100ms,100.0,replay,1,1,0,0,0,1.0,
urban_roundabout,20,1002,centralized_remote_100ms,100.0,speed_offset,3,1,0,0,2,0.3333333333333333,
urban_roundabout,20,1002,distributed_density_honest,,benign,26,0,0,26,0,,0.0
urban_roundabout,20,1002,distributed_density_honest,,certificate_tamper,3,2,1,0,0,1.0,1.0
urban_roundabout,20,1002,distributed_density_honest,,mixed,3,0,0,0,3,0.0,
urban_roundabout,20,1002,distributed_density_honest,,position_offset,1,0,0,1,0,,0.0
urban_roundabout,20,1002,distributed_density_honest,,replay,1,1,0,0,0,1.0,
urban_roundabout,20,1002,distributed_density_honest,,speed_offset,3,1,0,0,2,0.3333333333333333,
urban_roundabout,20,1003,centralized_remote_0ms_control,0.0,benign,25,0,0,25,0,,0.0
urban_roundabout,20,1003,centralized_remote_0ms_control,0.0,certificate_tamper,3,2,1,0,0,1.0,1.0
urban_roundabout,20,1003,centralized_remote_0ms_control,0.0,mixed,3,0,0,0,3,0.0,
urban_roundabout,20,1003,centralized_remote_0ms_control,0.0,replay,1,1,0,0,0,1.0,
urban_roundabout,20,1003,centralized_remote_0ms_control,0.0,speed_offset,3,1,0,0,2,0.3333333333333333,
urban_roundabout,20,1003,centralized_remote_100ms,100.0,benign,25,0,0,25,0,,0.0
urban_roundabout,20,1003,centralized_remote_100ms,100.0,certificate_tamper,3,2,1,0,0,1.0,1.0
urban_roundabout,20,1003,centralized_remote_100ms,100.0,mixed,3,0,0,0,3,0.0,
urban_roundabout,20,1003,centralized_remote_100ms,100.0,replay,1,1,0,0,0,1.0,
urban_roundabout,20,1003,centralized_remote_100ms,100.0,speed_offset,3,1,0,0,2,0.3333333333333333,
urban_roundabout,20,1003,distributed_density_honest,,benign,25,0,0,25,0,,0.0
urban_roundabout,20,1003,distributed_density_honest,,certificate_tamper,3,2,1,0,0,1.0,1.0
urban_roundabout,20,1003,distributed_density_honest,,mixed,3,0,0,0,3,0.0,
urban_roundabout,20,1003,distributed_density_honest,,replay,1,1,0,0,0,1.0,
urban_roundabout,20,1003,distributed_density_honest,,speed_offset,3,1,0,0,2,0.3333333333333333,
urban_roundabout,20,1004,centralized_remote_0ms_control,0.0,benign,27,0,0,27,0,,0.0
urban_roundabout,20,1004,centralized_remote_0ms_control,0.0,certificate_tamper,3,2,1,0,0,1.0,1.0
urban_roundabout,20,1004,centralized_remote_0ms_control,0.0,mixed,3,0,0,0,3,0.0,
urban_roundabout,20,1004,centralized_remote_0ms_control,0.0,replay,1,0,0,0,1,0.0,
urban_roundabout,20,1004,centralized_remote_0ms_control,0.0,speed_offset,3,1,0,0,2,0.3333333333333333,
urban_roundabout,20,1004,centralized_remote_100ms,100.0,benign,27,0,0,27,0,,0.0
urban_roundabout,20,1004,centralized_remote_100ms,100.0,certificate_tamper,3,2,1,0,0,1.0,1.0
urban_roundabout,20,1004,centralized_remote_100ms,100.0,mixed,3,0,0,0,3,0.0,
urban_roundabout,20,1004,centralized_remote_100ms,100.0,replay,1,0,0,0,1,0.0,
urban_roundabout,20,1004,centralized_remote_100ms,100.0,speed_offset,3,1,0,0,2,0.3333333333333333,
urban_roundabout,20,1004,distributed_density_honest,,benign,27,0,0,27,0,,0.0
urban_roundabout,20,1004,distributed_density_honest,,certificate_tamper,3,2,1,0,0,1.0,1.0
urban_roundabout,20,1004,distributed_density_honest,,mixed,3,0,0,0,3,0.0,
urban_roundabout,20,1004,distributed_density_honest,,replay,1,0,0,0,1,0.0,
urban_roundabout,20,1004,distributed_density_honest,,speed_offset,3,1,0,0,2,0.3333333333333333,
urban_roundabout,20,1005,centralized_remote_0ms_control,0.0,benign,27,0,0,27,0,,0.0
urban_roundabout,20,1005,centralized_remote_0ms_control,0.0,certificate_tamper,3,2,1,0,0,1.0,1.0
urban_roundabout,20,1005,centralized_remote_0ms_control,0.0,mixed,3,0,0,0,3,0.0,
urban_roundabout,20,1005,centralized_remote_0ms_control,0.0,position_offset,1,0,0,1,0,,0.0
urban_roundabout,20,1005,centralized_remote_0ms_control,0.0,replay,1,1,0,0,0,1.0,
urban_roundabout,20,1005,centralized_remote_0ms_control,0.0,speed_offset,3,1,0,0,2,0.3333333333333333,
urban_roundabout,20,1005,centralized_remote_100ms,100.0,benign,27,0,0,27,0,,0.0
urban_roundabout,20,1005,centralized_remote_100ms,100.0,certificate_tamper,3,2,1,0,0,1.0,1.0
urban_roundabout,20,1005,centralized_remote_100ms,100.0,mixed,3,0,0,0,3,0.0,
