architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,topology,vehicle_count,seed,backhaul_extra_latency_ms,cpu_time_seconds,peak_memory_kb,fault_activated_count,invalid_proposal_attempt_count
distributed_density_honest,4,1,27,5,0.8,0.4444444444444444,0.03571428571428571,0.5555555555555556,0.9642857142857143,0.5714285714285714,0.5129522781726773,9199.999999999996,14092.560450017498,71.49494163791275,14081.012514378379,14158.462877471538,14163.068743202657,14.89037789323362,1046,28.27027027027027,1079264,29169.297297297297,19,3380.253946239097,0.9818355640535373,1.0,0,0,0,5,1,0,0,0.5461748000016087,urban_roundabout,20,1001,,0.546875,1262.359375,0,0
centralized_remote_0ms_control,4,1,27,5,0.8,0.4444444444444444,0.03571428571428571,0.5555555555555556,0.9642857142857143,0.5714285714285714,0.5129522781726773,9199.999999999996,14045.054811370568,0.0,14029.556623597075,14057.900473973596,14063.71552432819,1.0000000000012221,1337,36.13513513513514,941248,25439.135135135137,19,4167.716559461475,0.9857890800299177,,0,0,0,5,1,0,0,0.30996939999749884,urban_roundabout,20,1001,0.0,0.296875,1271.7197265625,0,0
centralized_remote_100ms,4,1,27,5,0.8,0.4444444444444444,0.03571428571428571,0.5555555555555556,0.9642857142857143,0.5714285714285714,0.5129522781726773,9199.999999999996,14145.054811370568,0.0,14129.556623597075,14157.900473973597,14163.715524328189,1.0000000000012221,1337,36.13513513513514,941248,25439.135135135137,19,4167.716559461475,0.9857890800299177,,0,0,0,5,1,0,0,0.30497810000088066,urban_roundabout,20,1001,100.0,0.28125,1269.26953125,0,0
distributed_density_honest,4,1,27,5,0.8,0.4444444444444444,0.03571428571428571,0.5555555555555556,0.9642857142857143,0.5714285714285714,0.5129522781726773,6599.999999999987,14100.702376891599,75.22350514476486,14087.805987398657,14169.322353523325,14176.319943520473,13.511830558778115,1060,28.64864864864865,1090368,29469.405405405407,26,3298.9763745049213,0.9754716981132076,1.0,0,0,0,5,1,0,0,0.7492326999999932,urban_roundabout,20,1002,,0.703125,1194.73828125,0,0
centralized_remote_0ms_control,4,1,27,5,0.8,0.4444444444444444,0.03571428571428571,0.5555555555555556,0.9642857142857143,0.5714285714285714,0.5129522781726773,6599.999999999987,14042.449421254072,0.0,14029.694907925395,14052.47827869735,14069.823239017485,1.0000000000012221,1309,35.37837837837838,921536,24906.37837837838,25,4017.838906035135,0.9809014514896868,,0,0,0,5,1,0,0,0.5055002000008244,urban_roundabout,20,1002,0.0,0.484375,1236.642578125,0,0
centralized_remote_100ms,4,1,27,5,0.8,0.4444444444444444,0.03571428571428571,0.5555555555555556,0.9642857142857143,0.5714285714285714,0.5129522781726773,6599.999999999987,14142.449421254067,0.0,14129.694907925397,14152.478278697352,14169.823239017487,1.0000000000012221,1309,35.37837837837838,921536,24906.37837837838,25,4017.838906035135,0.9809014514896868,,0,0,0,5,1,0,0,0.5333281999992323,urban_roundabout,20,1002,100.0,0.5,1227.2197265625,0,0
distributed_density_honest,4,1,25,5,0.8,0.4444444444444444,0.038461538461538464,0.5555555555555556,0.9615384615384616,0.5714285714285714,0.5070724870494426,6899.999999999992,14094.406412705648,67.49563716837201,14079.890012365926,14161.32964173313,14167.373987642537,17.561891073243174,1084,30.97142857142857,1160000,33142.857142857145,20,3320.137361341855,0.981549815498155,1.0,0,0,0,5,1,0,0,0.8830453999980818,urban_roundabout,20,1003,,0.828125,1249.21484375,0,0
centralized_remote_0ms_control,4,1,25,5,0.8,0.4444444444444444,0.038461538461538464,0.5555555555555556,0.9615384615384616,0.5714285714285714,0.5070724870494426,6899.999999999992,14041.718505794026,0.0,14028.684916996226,14053.854622168994,14072.460746152485,1.0000000000012221,1377,39.34285714285714,969408,27697.371428571427,28,4126.725501815535,0.9796659404502541,,0,0,0,5,1,0,0,0.5075818000041181,urban_roundabout,20,1003,0.0,0.453125,1298.5537109375,0,0
centralized_remote_100ms,4,1,25,5,0.8,0.4444444444444444,0.038461538461538464,0.5555555555555556,0.9615384615384616,0.5714285714285714,0.5070724870494426,6899.999999999992,14141.718505794028,0.0,14128.684916996228,14153.854622168996,14172.460746152487,1.0000000000012221,1377,39.34285714285714,969408,27697.371428571427,28,4126.725501815535,0.9796659404502541,,0,0,0,5,1,0,0,0.4606590999974287,urban_roundabout,20,1003,100.0,0.4375,1281.4677734375,0,0
distributed_density_honest,3,1,27,6,0.75,0.3333333333333333,0.03571428571428571,0.6666666666666666,0.9642857142857143,0.46153846153846156,0.41121980934985564,12399.99999999999,14103.836777631108,88.74253380307593,14086.119298690606,14174.116959604404,14184.316180415171,13.056271872551406,978,26.43243243243243,1102592,29799.783783783783,14,2911.0014887692223,0.9856850715746421,1.0,0,0,0,4,1,0,0,0.8447058000019751,urban_roundabout,20,1004,,0.796875,1163.474609375,0,0
