topology,requested_vehicle_count,ttl_seconds,seed_count,observed_vehicle_count,interactions,mean_active_vehicles,peak_active_vehicles,cache_hits,cache_misses,cache_hit_rate,v2i_queries,v2i_queries_avoided,query_failures,accepted,rejected,anomaly_escalations,stale_trust_acceptances,stale_acceptance_rate,authorization_latency_mean_ms,authorization_latency_p95_ms,messages_total,messages_per_interaction,bytes_total,bytes_per_interaction,cache_entries_final,cache_entries_peak
urban_roundabout,20,0.0,10,20.0,1553.1,17.8,20.0,0.0,1553.1,0.0,1553.1,0.0,0.0,1356.7,196.4,31.4,0.0,0.0,16.96747484900165,24.179992505066853,3171.9,2.0422952468052045,2233241.6,1437.927794166155,72.8,72.8
urban_roundabout,20,1.0,10,20.0,1553.1,17.8,20.0,741.2,811.9,0.477241813123766,811.9,741.2,0.0,1358.4,194.7,30.8,1.6,0.00103025210428324,8.967898064009267,22.468079552870797,1654.8,1.0654891350016795,1165337.6,750.3398534515347,72.8,72.8
urban_roundabout,20,2.0,10,20.0,1553.1,17.8,20.0,986.9,566.2,0.6354378627994841,566.2,986.9,0.0,1360.0,193.1,31.9,3.0,0.0019347330911963002,6.332859591686492,21.5802218132678,1157.6,0.7453432567360773,815756.8,525.2413529935359,72.8,72.8
urban_roundabout,20,5.0,10,20.0,1553.1,17.8,20.0,1233.3,319.8,0.7940926735133427,319.8,1233.3,0.0,1365.0,188.1,31.0,7.7,0.00497125221826698,3.697966086498964,19.91355610518587,652.9,0.42037942303999865,458432.0,295.1676736145338,72.8,72.8
urban_roundabout,20,10.0,10,20.0,1553.1,17.8,20.0,1343.5,209.6,0.8650456627543888,209.6,1343.5,0.0,1367.4,185.7,31.6,11.0,0.007091883728779121,2.476389582652554,18.131286382879093,427.3,0.2751144197660968,299968.0,193.1346964236756,72.8,72.8
urban_roundabout,20,30.0,10,20.0,1553.1,17.8,20.0,1426.0,127.1,0.9181740113611211,127.1,1426.0,0.0,1393.0,160.1,30.2,35.2,0.02265310398575049,1.6112476083924943,15.543299784640705,259.4,0.16699599068897716,182886.4,117.73807897295164,72.8,72.8
urban_roundabout,40,0.0,10,40.0,3333.7,35.44,40.0,0.0,3333.7,0.0,3333.7,0.0,0.0,3139.8,193.9,64.6,0.0,0.0,16.901174101936522,24.17733769976214,6807.4,2.0419938302545506,4792320.0,1437.5401330753916,202.0,202.0
urban_roundabout,40,1.0,10,40.0,3333.7,35.44,40.0,1549.3,1784.4,0.4647447991934984,1784.4,1549.3,0.1,3137.4,196.3,67.9,1.0,0.00030008449585548996,9.176150636335873,22.56625122114476,3638.0,1.0912716053003417,2561420.8,768.3346027361029,202.0,202.0
urban_roundabout,40,2.0,10,40.0,3333.7,35.44,40.0,2073.1,1260.6,0.6218650101686799,1260.6,2073.1,0.1,3142.6,191.1,64.6,3.6,0.0010806532823922298,6.573498917167235,21.797743649365678,2576.0,0.7727094316391112,1815744.0,544.659273290263,202.0,202.0
urban_roundabout,40,5.0,10,40.0,3333.7,35.44,40.0,2584.7,749.0,0.775332420900146,749.0,2584.7,0.0,3142.0,191.7,66.7,4.4,0.00132061131851429,4.0079227781416025,20.184409897904068,1529.2,0.4586900468712097,1075302.4,322.5440964958193,202.0,202.0
urban_roundabout,40,10.0,10,40.0,3333.7,35.44,40.0,2823.8,509.9,0.8470527319139277,509.9,2823.8,0.0,3147.3,186.4,64.2,6.5,0.0019492175181654299,2.7837332910702584,18.657689381084563,1040.9,0.3122258010301076,731315.2,219.36474925983856,202.0,202.0
urban_roundabout,40,30.0,10,40.0,3333.7,35.44,40.0,3003.7,330.0,0.9010178721724204,330.0,3003.7,0.0,3168.1,165.6,69.1,31.2,0.00935525860437624,1.9121969128451668,16.94498971521893,673.9,0.20213318932469915,474470.4,142.3146281382176,202.0,202.0
urban_roundabout,60,0.0,10,60.0,4983.2,52.601052631578945,60.0,0.0,4983.2,0.0,4983.2,0.0,0.0,4642.3,340.9,100.5,0.0,0.0,16.91634934993558,24.158164880274647,10175.6,2.0419826569438424,7162278.4,1437.2871439639162,345.5,345.5
urban_roundabout,60,1.0,10,60.0,4983.2,52.601052631578945,60.0,2255.4,2727.8,0.45260051948830854,2727.8,2255.4,0.2,4647.1,336.1,99.1,3.1,0.0006222321967836099,9.37711277237974,22.69591928399613,5565.1,1.116772651840488,3918144.0,786.2693420216749,345.5,345.5
urban_roundabout,60,2.0,10,60.0,4983.2,52.601052631578945,60.0,3018.4,1964.8,0.6057109778078082,1964.8,3018.4,0.1,4649.5,333.7,96.3,3.6,0.00072277241931388,6.835366319272413,21.90430203568411,4012.9,0.8052959756046917,2827456.0,567.4050475547862,345.5,345.5
urban_roundabout,60,5.0,10,60.0,4983.2,52.601052631578945,60.0,3791.2,1192.0,0.7607958878679298,1192.0,3791.2,0.0,4650.6,332.6,104.7,12.7,0.00254914532420825,4.241747667840834,20.35301158326212,2432.2,0.4880800019862372,1711283.2,343.4109451707217,345.5,345.5
urban_roundabout,60,10.0,10,60.0,4983.2,52.601052631578945,60.0,4153.3,829.9,0.8334610816976298,829.9,4153.3,0.0,4659.0,324.2,98.2,16.1,0.00323177876694712,3.0160411640519955,19.035047518587362,1694.2,0.3399813907542433,1192358.4,239.27530116063758,345.5,345.5
urban_roundabout,60,30.0,10,60.0,4983.2,52.601052631578945,60.0,4441.6,541.6,0.8913151640933765,541.6,4441.6,0.0,4699.8,283.4,93.1,51.3,0.01029209473698004,2.0725179841497363,17.350223124873555,1105.5,0.2218450284762432,778316.8,156.18791504603445,345.5,345.5
urban_roundabout,80,0.0,10,80.0,6512.3,68.68526315789474,80.0,0.0,6512.3,0.0,6512.3,0.0,0.0,6047.3,465.0,133.1,0.0,0.0,16.921270558777998,24.170943008819016,13302.1,2.0426120888385744,9363916.8,1437.8829923212788,524.9,524.9
urban_roundabout,80,1.0,10,80.0,6512.3,68.68526315789474,80.0,2834.8,3677.5,0.43529438755228644,3677.5,2834.8,0.2,6052.3,460.0,130.2,2.9,0.00044549630867010996,9.671498604601107,22.776701982365957,7503.0,1.1521372398474865,5283456.0,811.3099101724209,524.8,524.8
urban_roundabout,80,2.0,10,80.0,6512.3,68.68526315789474,80.0,3827.1,2685.2,0.5876685401576603,2685.2,3827.1,0.1,6054.5,457.8,131.4,6.1,0.0009372041337333299,7.144063988430685,22.0384781206223,5486.0,0.8424152297368929,3864204.8,593.3767318258708,524.9,524.9
urban_roundabout,80,5.0,10,80.0,6512.3,68.68526315789474,80.0,4836.9,1675.4,0.7427305563856847,1675.4,4836.9,0.1,6071.2,441.1,120.8,12.6,0.00193496741181096,4.548032640534922,20.651175054382797,3418.5,0.5249343561051949,2405414.4,369.3683219602042,524.8,524.8
urban_roundabout,80,10.0,10,80.0,6512.3,68.68526315789474,80.0,5325.1,1187.2,0.8176979229101095,1187.2,5325.1,0.0,6066.7,445.6,130.4,18.7,0.00287240122750135,3.280361509655603,19.38635410000186,2421.8,0.3718833075128532,1703782.4,261.62726475943623,524.9,524.9
urban_roundabout,80,30.0,10,80.0,6512.3,68.68526315789474,80.0,5707.8,804.5,0.8764652244321937,804.5,5707.8,0.0,6125.6,386.7,129.2,74.0,0.0113646157884816,2.3173208338554643,17.965205662902758,1642.2,0.2521672925809817,1156825.6,177.63627976320723,524.9,524.9
urban_roundabout,100,0.0,10,100.0,7891.0,83.17473684210526,100.0,0.0,7891.0,0.0,7891.0,0.0,0.0,7184.7,706.3,157.7,0.0,0.0,16.92912560666761,24.202766263601024,16114.6,2.042148733624712,11343424.0,1437.514786184683,670.2,670.2
urban_roundabout,100,1.0,10,100.0,7891.0,83.17473684210526,100.0,3381.8,4509.2,0.42855946054214833,4509.2,3381.8,0.2,7188.5,702.5,156.0,3.1,0.00039296679655840004,9.78118543500749,22.805756830342414,9200.5,1.165957125378195,6479436.8,821.1225323595914,670.2,670.2
urban_roundabout,100,2.0,10,100.0,7891.0,83.17473684210526,100.0,4575.3,3315.7,0.5798071943282724,3315.7,4575.3,0.1,7190.7,700.3,157.7,6.8,0.00086179628028639,7.27028917355293,22.09198877885609,6773.5,0.8583948942600822,4769216.0,604.3952456878136,670.2,670.2
urban_roundabout,100,5.0,10,100.0,7891.0,83.17473684210526,100.0,5809.1,2081.9,0.7361639196778543,2081.9,5809.1,0.1,7202.3,688.7,160.4,19.5,0.00247161986736089,4.656759884429499,20.738062599525865,4245.6,0.5380386796483032,2988185.6,378.688352551222,670.2,670.2
urban_roundabout,100,10.0,10,100.0,7891.0,83.17473684210526,100.0,6413.9,1477.1,0.8128104086633183,1477.1,6413.9,0.0,7224.2,666.8,147.9,30.3,0.00384132004276563,3.3636622430771546,19.47938841151665,3013.8,0.381932724652699,2120998.4,268.7897734641445,670.2,670.2
urban_roundabout,100,30.0,10,100.0,7891.0,83.17473684210526,100.0,6885.5,1005.5,0.872577393891048,1005.5,6885.5,0.0,7302.0,589.0,155.6,114.5,0.014510056042613611,2.382656806590444,18.081578589997743,2051.3,0.2599516968689043,1444608.0,183.06850655613175,670.2,670.2
