topology,vehicle_count,seed,observed_vehicle_count,peak_concurrent_vehicles,cases,v2x_messages,detection_events,attack_vehicle_count,attack_vehicle_ratio,trace_path
urban_roundabout,20,1001,20,20,131,1904,7718,7,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_20\seed_1001\shared_detection_trace.jsonl
urban_roundabout,20,1002,20,20,130,1904,7195,7,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_20\seed_1002\shared_detection_trace.jsonl
urban_roundabout,20,1003,20,20,131,1904,6865,7,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_20\seed_1003\shared_detection_trace.jsonl
urban_roundabout,20,1004,20,20,131,1904,7431,7,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_20\seed_1004\shared_detection_trace.jsonl
urban_roundabout,20,1005,20,20,131,1904,7184,7,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_20\seed_1005\shared_detection_trace.jsonl
urban_roundabout,20,1006,20,20,131,1904,7227,7,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_20\seed_1006\shared_detection_trace.jsonl
urban_roundabout,20,1007,20,20,131,1904,7374,7,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_20\seed_1007\shared_detection_trace.jsonl
urban_roundabout,20,1008,20,20,131,1904,7170,7,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_20\seed_1008\shared_detection_trace.jsonl
urban_roundabout,20,1009,20,20,131,1904,7305,7,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_20\seed_1009\shared_detection_trace.jsonl
urban_roundabout,20,1010,20,20,131,1904,7320,7,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_20\seed_1010\shared_detection_trace.jsonl
urban_roundabout,40,1001,40,40,263,3792,24661,14,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_40\seed_1001\shared_detection_trace.jsonl
urban_roundabout,40,1002,40,40,266,3789,24299,14,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_40\seed_1002\shared_detection_trace.jsonl
urban_roundabout,40,1003,40,40,263,3789,23548,14,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_40\seed_1003\shared_detection_trace.jsonl
urban_roundabout,40,1004,40,40,266,3790,23604,14,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_40\seed_1004\shared_detection_trace.jsonl
urban_roundabout,40,1005,40,40,266,3789,23888,14,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_40\seed_1005\shared_detection_trace.jsonl
urban_roundabout,40,1006,40,40,265,3790,23933,14,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_40\seed_1006\shared_detection_trace.jsonl
urban_roundabout,40,1007,40,40,266,3790,23894,14,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_40\seed_1007\shared_detection_trace.jsonl
urban_roundabout,40,1008,40,40,266,3790,24271,14,0.35,C:\Users\reemg\OneDrive\Desktop\master\6\v10\results\urban_roundabout_campaign\traces\urban_roundabout\vehicles_40\seed_1008\shared_detection_trace.jsonl
